ID,Created_EST,Transport_Arrival_EST,Exit_EST
1,1/1/2013 23:11,1/1/2013 23:38,1/2/2013 0:14
2,1/1/2013 23:13,1/2/2013 0:00,1/2/2013 0:30
3,1/1/2013 23:13,,1/1/2013 23:14
4,1/1/2013 23:16,1/1/2013 23:50,1/2/2013 0:22
5,1/1/2013 23:18,1/2/2013 0:08,1/2/2013 0:35
6,1/1/2013 23:22,1/1/2013 23:54,1/2/2013 0:16
7,1/1/2013 23:47,1/2/2013 0:10,1/2/2013 0:34
8,1/1/2013 23:52,,1/1/2013 23:56
9,1/1/2013 23:55,,1/2/2013 0:26
10,1/1/2013 23:58,1/2/2013 0:38,1/2/2013 1:39
11,1/2/2013 0:03,,1/2/2013 0:05
12,1/2/2013 0:12,,1/2/2013 1:19
13,1/2/2013 0:16,,1/2/2013 0:17
14,1/2/2013 0:20,,1/2/2013 0:22
15,1/2/2013 0:32,1/2/2013 0:45,1/2/2013 1:05
16,1/2/2013 0:41,1/2/2013 1:05,1/2/2013 1:54
17,1/2/2013 1:15,1/2/2013 1:53,1/2/2013 2:55
18,1/2/2013 1:16,1/2/2013 2:06,1/2/2013 2:37
19,1/2/2013 1:19,,1/2/2013 1:20
20,1/2/2013 1:21,1/2/2013 1:48,1/2/2013 1:58
21,1/2/2013 1:22,1/2/2013 1:49,1/2/2013 2:08
22,1/2/2013 1:33,1/2/2013 2:10,1/2/2013 3:10
23,1/2/2013 1:37,1/2/2013 2:25,1/2/2013 3:11
24,1/2/2013 1:38,1/2/2013 2:13,1/2/2013 2:54
25,1/2/2013 1:46,1/2/2013 2:25,1/2/2013 2:53
26,1/2/2013 2:28,,1/2/2013 2:48
27,1/2/2013 2:29,1/2/2013 2:53,1/2/2013 3:16
28,1/2/2013 2:35,1/2/2013 3:27,1/2/2013 4:15
29,1/2/2013 2:57,,1/2/2013 3:32
30,1/2/2013 3:04,1/2/2013 3:26,1/2/2013 3:49
31,1/2/2013 3:08,1/2/2013 3:33,1/2/2013 4:17
32,1/2/2013 3:08,,1/2/2013 3:53
33,1/2/2013 3:09,,1/2/2013 3:11
34,1/2/2013 3:19,1/2/2013 4:09,1/2/2013 4:24
35,1/2/2013 3:23,1/2/2013 4:06,1/2/2013 4:41
36,1/2/2013 3:24,1/2/2013 4:07,1/2/2013 4:45
37,1/2/2013 3:29,1/2/2013 4:05,1/2/2013 4:41
38,1/2/2013 3:39,,1/2/2013 3:42
39,1/2/2013 4:03,1/2/2013 4:22,1/2/2013 5:08
40,1/2/2013 4:33,1/2/2013 5:25,1/2/2013 6:08
41,1/2/2013 4:38,1/2/2013 5:13,1/2/2013 5:35
42,1/2/2013 4:50,1/2/2013 5:34,1/2/2013 6:27
43,1/2/2013 4:53,1/2/2013 5:33,1/2/2013 5:56
44,1/2/2013 5:00,1/2/2013 5:47,1/2/2013 6:45
45,1/2/2013 5:09,1/2/2013 5:46,1/2/2013 6:28
46,1/2/2013 5:43,1/2/2013 6:17,1/2/2013 6:42
47,1/2/2013 5:46,1/2/2013 6:15,1/2/2013 6:41
48,1/2/2013 5:52,1/2/2013 6:27,1/2/2013 6:52
49,1/2/2013 5:53,1/2/2013 6:36,1/2/2013 6:52
50,1/2/2013 6:00,1/2/2013 6:54,1/2/2013 7:32
51,1/2/2013 6:04,1/2/2013 6:34,1/2/2013 6:53
52,1/2/2013 6:17,1/2/2013 6:56,1/2/2013 7:17
53,1/2/2013 6:26,,1/2/2013 6:50
54,1/2/2013 6:42,1/2/2013 7:00,1/2/2013 7:22
55,1/2/2013 6:51,1/2/2013 7:19,1/2/2013 7:40
56,1/2/2013 7:01,1/2/2013 7:42,1/2/2013 8:16
57,1/2/2013 7:02,,1/2/2013 7:40
58,1/2/2013 7:08,1/2/2013 7:53,1/2/2013 8:18
59,1/2/2013 7:09,1/2/2013 7:47,1/2/2013 8:06
60,1/2/2013 7:18,1/2/2013 7:55,1/2/2013 9:11
61,1/2/2013 7:25,,1/2/2013 7:48
62,1/2/2013 7:32,1/2/2013 7:58,1/2/2013 8:43
63,1/2/2013 7:34,,1/2/2013 8:00
64,1/2/2013 7:37,1/2/2013 8:25,1/2/2013 8:58
65,1/2/2013 7:38,,1/2/2013 7:52
