OBJECTID,FEATURE1,FEATURE2,FEATURE3,SHAPE.LEN
126,Ridge,Transverse, ,0.0279745473233649
134,Ridge,Transverse, ,0.00783531261051603
150,Ridge,Transverse, ,0.0208427848302006
164,Ridge,Transverse, ,0.0147743864995009
170,Ridge,Transverse, ,0.0127968663673734
180,Ridge,Transverse, ,0.00781153091476895
185,Ridge,Transverse, ,0.00780994962510111
193,Ridge,Transverse, ,0.00911408645018102
201,Ridge,Transverse, ,0.0161469749423787
222,Ridge,Transverse, ,0.0154436932890963
224,Ridge,Transverse, ,0.0171825457118835
230,Ridge,Transverse, ,0.0104335121472669
231,Ridge,Transverse, ,0.0188652513302017
234,Ridge,Transverse, ,0.0181879692543501
235,Ridge,Transverse, ,0.0195739613895534
236,Ridge,Transverse, ,0.0221119873048838
237,Ridge,Transverse, ,0.0329306011225199
240,Ridge,Transverse, ,0.0254695815582306
242,Ridge,Transverse, ,0.0230975439882143
246,Ridge,Transverse, ,0.0164366485494213
248,Ridge,Transverse, ,0.0121246497419233
249,Ridge,Transverse, ,0.0177356008927677
250,Ridge,Transverse, ,0.0134103998189277
254,Ridge,Transverse, ,0.0211755027159974
255,Ridge,Transverse, ,0.0112079968846683
258,Ridge,Transverse, ,0.0167869305823404
261,Ridge,Transverse, ,0.0189312563107941
262,Ridge,Transverse, ,0.0190827753687936
264,Ridge,Transverse, ,0.0151401482545918
266,Ridge,Transverse, ,0.0121822107562803
267,Ridge,Transverse, ,0.00753605027688411
269,Ridge,Transverse, ,0.0154330121761982
270,Ridge,Transverse, ,0.0175166789714384
271,Ridge,Transverse, ,0.024068999216255
278,Ridge,Transverse, ,0.00930535066910995
279,Ridge,Transverse, ,0.0218029548281697
280,Ridge,Transverse, ,0.0146291723568392
281,Ridge,Transverse, ,0.018145561355348
286,Ridge,Transverse, ,0.0166611313120656
287,Ridge,Transverse, ,0.0202114576566439
288,Ridge,Transverse, ,0.0142029898400728
289,Ridge,Transverse, ,0.0278968277812704
292,Ridge,Transverse, ,0.014689211736572
293,Ridge,Transverse, ,0.0155134902734262
298,Ridge,Transverse, ,0.0187820851117978
299,Ridge,Transverse, ,0.0122259824257945
301,Ridge,Transverse, ,0.0138603322962378
304,Ridge,Transverse, ,0.0171980081316521
306,Ridge,Transverse, ,0.0142925271661902
307,Ridge,Transverse, ,0.0123847279381661
310,Ridge,Transverse, ,0.0245710862926286
313,Ridge,Transverse, ,0.00869217039972852
314,Ridge,Transverse, ,0.0120388314261226
316,Ridge,Transverse, ,0.0118411587962686
321,Ridge,Transverse, ,0.0262624997705884
329,Ridge,Transverse, ,0.00420220965749235
333,Ridge,Transverse, ,0.00687635690141774
334,Ridge,Transverse, ,0.00288113104094295
335,Ridge,Transverse, ,0.00446502138649055
337,Ridge,Transverse, ,0.00375581283754156
340,Ridge,Transverse, ,0.022509255108087
341,Ridge,Transverse, ,0.0165167520227356
345,Ridge,Transverse, ,0.0106323900304671
348,Ridge,Transverse, ,0.0215282676931969
353,Ridge,Transverse, ,0.040683778748783
360,River Channel,Small,Partly Buried,0.000471608111944653
368,River Channel,Small,Partly Buried,0.00972507124530387
369,Ridge,Longitudinal, ,0.0169692930496802
371,River Channel,Small,Partly Buried,0.0325259112262607
374,River Channel,Small,Partly Buried,0.0347414561914727
376,River Channel,Small,Partly Buried,7.63892730165695e-005
381,River Channel,Small,Partly Buried,0.0145019684937859
382,River Channel,Small,Partly Buried,0.0235147208731246
383,River Channel,Small,Partly Buried,0.0361022349614179
389,Ridge,Longitudinal, ,0.000300490191728449
2,Esker, , ,0.14713166969556
5,River Channel,Small,Not Buried,0.000530880959298787
6,River Channel,Small,Not Buried,0.0281509366525668
8,River Channel,Small,Not Buried,0.0179654894437007
11,River Channel,Small,Not Buried,0.000372459395941356
16,Ridge,Longitudinal, ,0.0161230479164397
18,River Channel,Small,Not Buried,0.00986356811210443
19,River Channel,Small,Not Buried,0.0405645095108807
21,Ridge,Longitudinal, ,0.0154316987761719
25,Ridge,Longitudinal, ,0.000363194479586351
26,Ridge,Longitudinal, ,0.0047931483227072
27,Ridge,Longitudinal, ,0.000583667965279062
31,River Channel,Small,Not Buried,0.106654055374837
37,River Channel,Small,Not Buried,0.022157925342881
41,Esker, , ,0.00854201579099533
42,Ridge,Longitudinal, ,0.00281156725781369
44,Ridge,Longitudinal, ,0.0121985686043913
45,River Channel,Small,Not Buried,0.0226583168771011
47,River Channel,Small,Not Buried,0.0117817152558296
49,Ridge,Longitudinal, ,0.0254285399655657
56,Ridge,Longitudinal, ,0.0555493899441558
57,Ridge,Longitudinal, ,0.0611086455596225
58,Ridge,Longitudinal, ,0.0642310439182315
60,Ridge,Longitudinal, ,0.0334816795889793
61,Ridge,Longitudinal, ,0.0328629129332722
67,River Channel,Small,Partly Buried,0.0543499994752112
69,Ridge,Longitudinal, ,0.0201326280438749
75,Ridge,Longitudinal, ,0.0215184707202292
76,Ridge,Longitudinal, ,0.0181826821291055
82,Ridge,Transverse, ,0.0104383270618116
83,Ridge,Transverse, ,0.0115246678624043
86,Ridge,Transverse, ,0.0202529957708436
87,Ridge,Transverse, ,0.019965036938582
88,Ridge,Transverse, ,0.0136316791075816
90,Ridge,Transverse, ,0.0242000945477238
92,Ridge,Transverse, ,0.0288705551149272
95,Ridge,Transverse, ,0.0169817828866015
96,Ridge,Transverse, ,0.0200269957662958
97,Ridge,Transverse, ,0.0249463255537686
99,Ridge,Transverse, ,0.0130687416681427
101,Ridge,Transverse, ,0.01139897206657
103,Ridge,Transverse, ,0.016360888348321
106,Ridge,Transverse, ,0.0142640370601391
107,Ridge,Transverse, ,0.011247768279301
111,Ridge,Transverse, ,0.0153737988458178
112,Ridge,Transverse, ,0.00808927718311952
116,Ridge,Transverse, ,0.0128223996922487
118,Ridge,Transverse, ,0.0551997250862688
122,Ridge,Transverse, ,0.0223225050422212
128,Ridge,Transverse, ,0.0284131106158623
132,Ridge,Transverse, ,0.00645121325946884
133,Ridge,Transverse, ,0.0139016551079168
142,Ridge,Transverse, ,0.0104260769274951
149,Ridge,Transverse, ,0.00872542007362385
151,Ridge,Transverse, ,0.00822720979653478
153,Ridge,Transverse, ,0.00761103020618103
157,Ridge,Transverse, ,0.0136083974206583
160,Ridge,Transverse, ,0.00884092959738449
166,Ridge,Transverse, ,0.0158215509130076
168,Ridge,Transverse, ,0.0185337899805681
169,Ridge,Transverse, ,0.0234535418576774
171,Ridge,Transverse, ,0.0115289939249937
174,Ridge,Transverse, ,0.00928700124273498
176,Ridge,Transverse, ,0.00830066179480473
177,Ridge,Transverse, ,0.00744289122793426
181,Ridge,Transverse, ,0.00848301396593284
182,Ridge,Transverse, ,0.00734915512157196
183,Ridge,Transverse, ,0.00674327141587984
188,Ridge,Transverse, ,0.0175641643317562
192,Ridge,Transverse, ,0.0165406205411287
194,Ridge,Transverse, ,0.0158473804095584
195,Ridge,Transverse, ,0.00947305153930353
196,Ridge,Transverse, ,0.00906952088955535
198,Ridge,Transverse, ,0.00932782027186566
207,Ridge,Transverse, ,0.0150293110514134
208,Ridge,Transverse, ,0.0125232478061122
209,Ridge,Transverse, ,0.0171958846733635
213,Ridge,Transverse, ,0.0183551404228774
220,Ridge,Transverse, ,0.0206047982614238
17,River Channel,Small,Not Buried,0.13018030320171
22,River Channel,Small,Not Buried,0.0394441992827118
29,River Channel,Small,Not Buried,0.0790099503828078
30,River Channel,Small,Not Buried,0.0773009684484658
32,River Channel,Large,Not Buried,0.274709647370479
38,Esker, , ,0.0419844557177726
46,River Channel,Small,Not Buried,0.0388488980702037
48,River Channel,Small,Not Buried,0.0284783585339925
51,River Channel,Small,Not Buried,0.0834342397581034
62,River Channel,Small,Not Buried,0.15718070865227
65,Ice Margin,Uncertain, ,0.374010345391967
120,Ridge,Transverse, ,0.0155709651407732
635,River Channel,Small,Not Buried,0.119834731671955
637,River Channel,Small,Not Buried,0.07847825787683
638,River Channel,Small,Not Buried,0.00570499944076591
642,River Channel,Small,Not Buried,0.193000499158391
649,River Channel,Small,Not Buried,0.0682603447118771
654,River Channel,Small,Not Buried,0.0452781672851813
660,River Channel,Small,Not Buried,0.00452513549090843
663,River Channel,Small,Not Buried,0.0553313234698816
666,River Channel,Small,Not Buried,0.0426594689163963
