start_date,end_date,therms,cost
12/8/2009,1/12/2010,3635.484,2618.02
1/12/2010,2/9/2010,2442.15,1998.45
2/9/2010,3/9/2010,2533.612,1958.53
3/9/2010,4/12/2010,1315.142,1151.52
4/12/2010,5/11/2010,1002.99,801.5
5/11/2010,6/9/2010,811.035,660.81
6/9/2010,7/9/2010,581.895,525.84
7/9/2010,8/10/2010,278.385,290.09
8/10/2010,9/10/2010,648.225,567.38
9/10/2010,10/8/2010,718.284,579.62
10/8/2010,11/8/2010,1190.561,943.09
11/8/2010,12/8/2010,1927.848,1450.06
12/8/2010,1/10/2011,3277.548,2303.35
1/10/2011,2/8/2011,6628.98,4843.98
2/8/2011,3/9/2011,5120.474,3985.31
3/9/2011,4/8/2011,1322.58,1039.47
4/8/2011,5/9/2011,1082.312,918.48
5/9/2011,6/8/2011,732.368,630.21
6/8/2011,7/12/2011,392.73,349.26
7/12/2011,8/9/2011,447.48,395.51
8/9/2011,9/13/2011,856.314,718.61
9/13/2011,10/12/2011,965.448,778.96
10/12/2011,11/8/2011,1082.897,823.84
11/8/2011,12/8/2011,1481.115,1126.82
12/8/2011,1/11/2012,1849.028,1441.92
1/11/2012,2/9/2012,2029.102,1508.28
2/9/2012,3/12/2012,1746.96,1262.42
3/12/2012,4/10/2012,941.752,815.66
4/10/2012,5/9/2012,932.23,596
5/9/2012,6/11/2012,843.866,564.29
6/11/2012,7/12/2012,634.908,495.25
7/12/2012,8/13/2012,510.048,416.74
8/13/2012,9/12/2012,561.295,445.83
9/12/2012,10/10/2012,844.662,597.13
10/10/2012,11/9/2012,1015.056,693.59
11/9/2012,12/10/2012,1330.17,967.04
12/10/2012,1/11/2013,2233.728,1568.4
1/9/2013,2/8/2013,2330.198,1587.74
2/8/2013,3/11/2013,2372.832,1637.34
3/11/2013,4/8/2013,1885.968,1254.77
4/8/2013,5/9/2013,1045.416,872.82
5/9/2013,6/11/2013,277.836,290.36
6/11/2013,7/10/2013,53.901,97.13
7/10/2013,8/8/2013,20.36,64.46
8/8/2013,9/10/2013,24.504,64.43
9/10/2013,10/9/2013,22.44,64.27
10/9/2013,11/8/2013,709.168,528.9
11/8/2013,12/9/2013,1672.463,1177
12/9/2013,1/10/2014,3075.432,2148.25
1/10/2014,2/10/2014,3668.112,2661.16
2/10/2014,3/10/2014,2802.75,2152.06
3/10/2014,4/8/2014,1682.956,1348.81
4/8/2014,5/8/2014,1168.57,1003.67
5/8/2014,6/9/2014,828.24,725.87
6/9/2014,7/16/2014,894.822,788.52
7/16/2014,8/18/2014,271.32,259.14
8/18/2014,9/17/2014,220.375,224.73
9/17/2014,10/16/2014,783.069,631.42
10/16/2014,11/14/2014,1173.744,871.73
11/14/2014,12/16/2014,1727.691,1285.6
12/16/2014,1/16/2015,3729.54,2642.55
1/16/2015,2/13/2015,2541.825,1781.76
2/13/2015,3/16/2015,3011.883,1949.75
3/16/2015,4/15/2015,1174.089,882.99
4/15/2015,5/15/2015,762.648,545.43
5/15/2015,6/12/2015,498.648,434.08
6/12/2015,7/16/2015,567.91,567.91
7/16/2015,8/14/2015,364.007,383.86
8/14/2015,9/16/2015,655.609,578.61
9/16/2015,10/14/2015,1224.08,963.81
10/14/2015,11/12/2015,1441.093,964.25
11/12/2015,12/15/2015,1525.741,918.62
12/15/2015,1/15/2016,2198.718,1209.14
1/15/2016,2/13/2016,2655.775,1363.42
2/13/2016,3/14/2016,1636.222,920.43
3/14/2016,4/14/2016,1079.35,580.39
