start_date,end_date,kgal
2009-12-30T00:00:00Z,2010-01-26T00:00:00Z,23
2010-01-26T00:00:00Z,2010-02-24T00:00:00Z,26
2010-02-24T00:00:00Z,2010-03-26T00:00:00Z,32
2010-03-26T00:00:00Z,2010-04-28T00:00:00Z,23
2010-04-28T00:00:00Z,2010-05-26T00:00:00Z,20
2010-05-26T00:00:00Z,2010-06-28T00:00:00Z,23
2010-06-28T00:00:00Z,2010-07-26T00:00:00Z,21
2010-07-26T00:00:00Z,2010-08-26T00:00:00Z,27
2010-08-26T00:00:00Z,2010-09-27T00:00:00Z,24
2010-09-27T00:00:00Z,2010-10-26T00:00:00Z,20
2010-10-26T00:00:00Z,2010-11-24T00:00:00Z,19
2010-11-24T00:00:00Z,2010-12-28T00:00:00Z,24
2010-12-28T00:00:00Z,2011-01-27T00:00:00Z,27
2011-01-27T00:00:00Z,2011-02-25T00:00:00Z,22
2011-02-25T00:00:00Z,2011-03-28T00:00:00Z,20
2011-03-28T00:00:00Z,2011-04-27T00:00:00Z,21
2011-04-27T00:00:00Z,2011-05-26T00:00:00Z,21
2011-05-26T00:00:00Z,2011-06-28T00:00:00Z,21
2011-06-28T00:00:00Z,2011-07-27T00:00:00Z,19
2011-07-27T00:00:00Z,2011-08-26T00:00:00Z,26
2011-08-26T00:00:00Z,2011-09-28T00:00:00Z,26
2011-09-28T00:00:00Z,2011-10-27T00:00:00Z,24
2011-10-27T00:00:00Z,2011-11-22T00:00:00Z,16
2011-11-22T00:00:00Z,2011-12-27T00:00:00Z,25
2011-12-27T00:00:00Z,2012-01-31T00:00:00Z,27
2012-01-31T00:00:00Z,2012-02-27T00:00:00Z,25
2012-02-27T00:00:00Z,2012-03-28T00:00:00Z,25
2012-03-28T00:00:00Z,2012-04-25T00:00:00Z,18
2012-04-25T00:00:00Z,2012-05-30T00:00:00Z,22
2012-05-30T00:00:00Z,2012-06-27T00:00:00Z,26
2012-06-27T00:00:00Z,2012-07-26T00:00:00Z,16
2012-07-26T00:00:00Z,2012-08-28T00:00:00Z,14
2012-08-28T00:00:00Z,2012-10-01T00:00:00Z,20
2012-10-01T00:00:00Z,2012-10-26T00:00:00Z,20
2012-10-26T00:00:00Z,2012-11-29T00:00:00Z,20
2012-11-29T00:00:00Z,2012-12-31T00:00:00Z,4
2012-12-31T00:00:00Z,2013-01-29T00:00:00Z,20
2013-01-29T00:00:00Z,2013-02-26T00:00:00Z,21
2013-02-26T00:00:00Z,2013-03-28T00:00:00Z,24
2013-03-28T00:00:00Z,2013-04-29T00:00:00Z,20
2013-04-29T00:00:00Z,2013-05-29T00:00:00Z,19
2013-05-29T00:00:00Z,2013-07-01T00:00:00Z,20
2013-07-01T00:00:00Z,2013-07-29T00:00:00Z,23
2013-07-29T00:00:00Z,2013-08-27T00:00:00Z,22
2013-08-27T00:00:00Z,2013-09-25T00:00:00Z,20
2013-09-25T00:00:00Z,2013-10-30T00:00:00Z,26
2013-10-30T00:00:00Z,2013-11-22T00:00:00Z,16
2013-11-22T00:00:00Z,2013-12-28T00:00:00Z,18
2013-12-28T00:00:00Z,2014-01-30T00:00:00Z,22
2014-01-30T00:00:00Z,2014-02-25T00:00:00Z,19
2014-02-25T00:00:00Z,2014-03-28T00:00:00Z,26
2014-03-28T00:00:00Z,2014-04-28T00:00:00Z,17
2014-04-28T00:00:00Z,2014-05-29T00:00:00Z,22
2014-05-29T00:00:00Z,2014-06-30T00:00:00Z,19
2014-06-30T00:00:00Z,2014-07-30T00:00:00Z,10
2014-07-30T00:00:00Z,2014-08-27T00:00:00Z,27
2014-08-27T00:00:00Z,2014-09-29T00:00:00Z,20
2014-09-29T00:00:00Z,2014-10-30T00:00:00Z,24
2014-10-30T00:00:00Z,2014-11-26T00:00:00Z,16
2014-11-26T00:00:00Z,2014-12-26T00:00:00Z,17
2014-12-26T00:00:00Z,2015-01-29T00:00:00Z,18
2015-01-29T00:00:00Z,2015-02-25T00:00:00Z,23
2015-02-25T00:00:00Z,2015-03-30T00:00:00Z,19
2015-03-30T00:00:00Z,2015-04-26T00:00:00Z,24
2015-04-26T00:00:00Z,2015-05-27T00:00:00Z,18
2015-05-27T00:00:00Z,2015-06-29T00:00:00Z,23
2015-06-29T00:00:00Z,2015-07-29T00:00:00Z,18
2015-07-29T00:00:00Z,2015-08-28T00:00:00Z,19
2015-08-28T00:00:00Z,2015-09-29T00:00:00Z,20
2015-09-29T00:00:00Z,2015-10-27T00:00:00Z,16
2015-10-27T00:00:00Z,2015-11-24T00:00:00Z,17
2015-11-24T00:00:00Z,2015-12-29T00:00:00Z,19
2015-12-29T00:00:00Z,2016-01-28T00:00:00Z,20
2016-01-28T00:00:00Z,2016-02-25T00:00:00Z,26
2016-02-25T00:00:00Z,2016-03-29T00:00:00Z,23
2016-03-29T00:00:00Z,2016-04-27T00:00:00Z,23
2016-04-27T00:00:00Z,2016-06-02T00:00:00Z,27
2016-06-02T00:00:00Z,2016-06-29T00:00:00Z,20
2016-06-29T00:00:00Z,2016-07-26T00:00:00Z,7
2016-07-26T00:00:00Z,2016-08-25T00:00:00Z,30
2016-08-25T00:00:00Z,2016-09-28T00:00:00Z,16
2016-09-28T00:00:00Z,2016-10-26T00:00:00Z,19
2016-10-26T00:00:00Z,2016-11-28T00:00:00Z,6
2016-11-28T00:00:00Z,2016-12-28T00:00:00Z,30
2016-12-28T00:00:00Z,2017-01-27T00:00:00Z,19
2017-01-27T00:00:00Z,2017-02-24T00:00:00Z,18
2017-02-24T00:00:00Z,2017-03-29T00:00:00Z,25
2017-03-29T00:00:00Z,2017-04-27T00:00:00Z,23
2017-04-27T00:00:00Z,2017-05-25T00:00:00Z,20
2017-05-25T00:00:00Z,2017-06-28T00:00:00Z,19
2017-06-28T00:00:00Z,2017-07-27T00:00:00Z,14
2017-07-27T00:00:00Z,2017-08-28T00:00:00Z,18
2017-08-28T00:00:00Z,2017-09-27T00:00:00Z,16
2017-09-27T00:00:00Z,2017-10-25T00:00:00Z,16
2017-10-25T00:00:00Z,2017-12-08T00:00:00Z,16
