,,,
,,,
,,,
""Estimated"",""Sales by Fore"",""igners of U.S. Securit"",""ies Owing to ABS Principal Repayments""
,""(Mi"",""llions of Dollars)"",
,,,
,,,
,,,
,,,
,""U.S. Agency"",""of which: Agency ABS"",""U.S. Corporate""
,""ABS Bonds"",""by Fgrn. Off. Inst."",""ABS Bonds""
,,,
""2020-Nov"",39130,22397,1907
""2020-Oct"",39436,22357,1913
""2020-Sep"",38008,21341,1939
""2020-Aug"",39124,21540,1946
""2020-Jul"",40167,22932,1900
""2020-Jun"",40444,23067,1909
""2020-May"",33841,19177,1883
""2020-Apr"",29809,16969,2024
""2020-Mar"",25216,14376,2449
""2020-Feb"",21649,12181,2270
""2020-Jan"",21834,12470,2238
""2019-Dec"",22340,12968,2161
""2019-Nov"",24021,13675,2156
""2019-Oct"",24696,14149,2137
""2019-Sep"",22551,13013,2120
""2019-Aug"",21927,12586,1963
""2019-Jul"",18934,11157,1997
""2019-Jun"",16626,9811,2090
""2019-May"",15280,9181,1963
""2019-Apr"",13229,7879,1980
""2019-Mar"",11072,6669,2018
""2019-Feb"",9917,5895,2014
""2019-Jan"",9480,5545,2045
""2018-Dec"",9822,5812,2021
""2018-Nov"",10057,6022,2066
""2018-Oct"",10803,6357,2103
""2018-Sep"",11207,6536,2186
""2018-Aug"",12287,7168,2349
""2018-Jul"",12200,7054,2405
""2018-Jun"",12171,7010,2625
""2018-May"",11766,6708,2740
""2018-Apr"",11046,6355,2782
""2018-Mar"",10741,6051,2825
""2018-Feb"",10422,5847,2933
""2018-Jan"",11691,6543,3033
""2017-Dec"",12557,5401,3114
""2017-Nov"",13389,5695,3086
""2017-Oct"",13144,5649,3040
""2017-Sep"",13116,5671,3010
""2017-Aug"",13355,5759,2909
""2017-Jul"",12877,5652,2848
""2017-Jun"",12959,5735,2817
""2017-May"",11642,5133,2739
""2017-Apr"",10797,4851,2657
""2017-Mar"",10735,4846,2633
""2017-Feb"",10485,4678,2586
""2017-Jan"",12618,5664,2592
""2016-Dec"",15556,6993,2572
""2016-Nov"",17598,7850,2581
""2016-Oct"",17969,8027,2610
""2016-Sep"",18736,8490,2585
""2016-Aug"",17413,8063,2550
""2016-Jul"",15573,7241,2540
""2016-Jun"",15446,7338,2545
""2016-May"",14092,6747,2541
""2016-Apr"",13568,6558,2594
""2016-Mar"",12192,6033,2548
""2016-Feb"",9787,4858,2615
""2016-Jan"",10096,5056,2692
""2015-Dec"",10552,5291,2651
""2015-Nov"",10287,5188,2537
""2015-Oct"",11204,5687,2439
""2015-Sep"",11603,5891,2320
""2015-Aug"",12167,6215,2259
""2015-Jul"",13707,7014,2105
""2015-Jun"",14537,7328,1942
""2015-May"",14000,7115,1806
""2015-Apr"",15021,7570,1620
""2015-Mar"",14883,7482,1459
""2015-Feb"",12488,6354,1290
""2015-Jan"",9923,5012,1106
""2014-Dec"",10793,5511,990
""2014-Nov"",10011,5045,1053
""2014-Oct"",9617,4845,1126
""2014-Sep"",9445,4746,1197
""2014-Aug"",9619,4954,1295
""2014-Jul"",9641,4961,1399
""2014-Jun"",9354,4832,1465
""2014-May"",8729,4477,1537
""2014-Apr"",8148,4218,1606
""2014-Mar"",7316,3766,1655
""2014-Feb"",6958,3603,1724
""2014-Jan"",7395,3809,1808
""2013-Dec"",8223,4226,1909
""2013-Nov"",8696,4457,1891
""2013-Oct"",9129,4618,1886
""2013-Sep"",10129,5101,1985
""2013-Aug"",12439,6147,2043
""2013-Jul"",13884,6772,2040
""2013-Jun"",15703,7640,2178
""2013-May"",16837,8089,2255
""2013-Apr"",16708,7880,2204
""2013-Mar"",16154,7578,2220
""2013-Feb"",17480,8389,2237
""2013-Jan"",18922,8911,2329
""2012-Dec"",19145,9041,2336
""2012-Nov"",19972,9576,2341
""2012-Oct"",19072,9318,2363
""2012-Sep"",18986,9455,2360
""2012-Aug"",18078,9023,2342
""2012-Jul"",16409,8284,2329
""2012-Jun"",15213,7915,2321
""2012-May"",14505,7602,2359
""2012-Apr"",16337,8549,2384
""2012-Mar"",16216,8718,2480
""2012-Feb"",13952,7585,2379
""2012-Jan"",14471,7929,2429
""2011-Dec"",14489,8350,2457
""2011-Nov"",14624,8428,1449
""2011-Oct"",13477,7767,1445
""2011-Sep"",10767,6205,1790
""2011-Aug"",9652,5562,921
""2011-Jul"",9467,5456,3260
""2011-Jun"",8299,4783,2158
""2011-May"",8881,5118,1855
""2011-Apr"",9875,5691,2351
""2011-Mar"",10245,5904,1749
""2011-Feb"",12965,7472,1911
""2011-Jan"",17388,10021,2536
""2010-Dec"",18830,10852,1940
""2010-Nov"",18163,10467,1866
""2010-Oct"",17999,10373,2760
""2010-Sep"",17784,10249,3223
""2010-Aug"",14690,8466,2937
""2010-Jul"",14728,8488,2991
""2010-Jun"",18782,11803,2655
""2010-May"",19371,12173,1948
""2010-Apr"",18873,11882,2036
""2010-Mar"",18264,11520,1931
""2010-Feb"",11728,7411,1623
""2010-Jan"",14089,8920,2054
