""ID"",""Occupancy ID Number"",""Street"",""Zip Code"",""Census Tract""
""1"",""000262         "",""E ST CATHERINE ST"",""40203     "",""0062.00""
""2"",""004317         "",""S 38TH ST"",""40211     "",""0009.00""
""3"",""022555         "",""S SHELBY ST"",""40203     "",""0062.00""
""4"",""003707         "",""E BRECKINRIDGE ST"",""40203     "",""0062.00""
""5"",""005461         "",""W MAIN ST"",""40212     "",""0023.00""
""6"",""002437         "",""S 3RD ST"",""40208     "",""       ""
""7"",""022921         "",""WILSON AVE"",""40210     "",""       ""
""8"",""022941         "",""N 29TH ST"",""40212     "",""       ""
""9"",""022941         "",""N 29TH ST"",""40212     "",""       ""
""10"",""022960         "",""MAPLE ST"",""40211     "",""       ""
""11"",""022960         "",""MAPLE ST"",""40211     "",""       ""
""12"",""005461         "",""W MAIN ST"",""40212     "",""0023.00""
""13"",""023213         "",""LARKSPUR AVE"",""40213     "",""       ""
""14"",""023220         "",""S 40TH ST"",""40211     "",""0011.00""
""15"",""015310         "",""PORTLAND AVE"",""40203     "",""0002.00""
""16"",""013953         "",""W MARKET ST"",""40212     "",""0007.00""
""17"",""022588         "",""S 24TH ST"",""40211     "",""0018.00""
""18"",""023418         "",""ARLING AVE"",""40215     "",""       ""
""19"",""001468         "",""CARLTON TER"",""40205     "",""0089.00""
""20"",""001469         "",""CARLTON TER"",""40205     "",""0089.00""
""21"",""004426         "",""CARLTON TER"",""40205     "",""0089.00""
""22"",""002475         "",""S 3RD ST"",""40203     "",""0051.00""
""23"",""002475         "",""S 3RD ST"",""40203     "",""0051.00""
""24"",""023576         "",""KILMORY AVE"",""40214     "",""0091.03""
""25"",""023578         "",""PARK AVE"",""40208     "",""0052.00""
""26"",""014673         "",""PARK AVE"",""40208     "",""0052.00""
""27"",""023579         "",""ALPINE WAY"",""40214     "",""0090.00""
""28"",""023580         "",""INVERNESS AVE"",""40214     "",""0090.00""
""29"",""023581         "",""DEVERS AVE"",""40214     "",""0090.00""
""30"",""023594         "",""LAWTON CT"",""40204     "",""0071.00""
""31"",""023595         "",""EHRLER DR"",""40213     "",""0093.00""
""32"",""024274         "",""JULIA AVE"",""40204     "",""0069.00""
""33"",""024275         "",""LARKWOOD AVE"",""402       "",""0007.00""
""34"",""024276         "",""N 37TH ST"",""40212     "",""0003.00""
""35"",""024289         "",""CHRISTY AVE"",""40204     "",""0064.00""
""36"",""024291         "",""HENDON RD"",""40220     "",""0109.01""
""37"",""024315         "",""DUNCAN ST"",""40203     "",""0023.00""
""38"",""024320         "",""CHRISTY AVE"",""40204     "",""0064.00""
""39"",""024330         "",""DUNCAN ST"",""40203     "",""0023.00""
""40"",""024331         "",""DUNCAN ST"",""40203     "",""0023.00""
""41"",""024344         "",""CHRISTY AVE"",""40204     "",""0064.00""
""42"",""024372         "",""CHRISTY AVE"",""40204     "",""0064.00""
""43"",""027957         "",""BOHANNON AVE"",""40215     "",""0038.00""
""44"",""027958         "",""RUFER AVE"",""40204     "",""0064.00""
""45"",""027971         "",""S PRESTON ST"",""402       "",""0065.00""
""46"",""027988         "",""HULL ST"",""402       "",""0081.00""
""47"",""027989         "",""EVERETT AVE"",""40204     "",""0082.00""
""48"",""027992         "",""PAYNE ST"",""40204     "",""0081.00""
""49"",""027993         "",""PAYNE ST"",""40204     "",""0081.00""
""50"",""027998         "",""S 41ST ST"",""40211     "",""0014.00""
""51"",""028027         "",""S 40TH ST"",""40211     "",""0014.00""
""52"",""028028         "",""S 40TH ST"",""40211     "",""0014.00""
""53"",""028029         "",""S 40TH ST"",""40211     "",""0014.00""
""54"",""028034         "",""S 40TH ST"",""40211     "",""0014.00""
""55"",""028035         "",""S 40TH ST"",""40211     "",""0014.00""
""56"",""028040         "",""RUFER AVE"",""40204     "",""0064.00""
""57"",""028051         "",""RUFER AVE"",""40204     "",""0064.00""
""58"",""028073         "",""RUFER AVE"",""40204     "",""0064.00""
""59"",""028074         "",""RUFER AVE"",""40204     "",""0064.00""
""60"",""028086         "",""RUFER AVE"",""40204     "",""0064.00""
""61"",""028087         "",""RUFER AVE"",""40204     "",""0064.00""
""62"",""028088         "",""RUFER AVE"",""40204     "",""0064.00""
""63"",""028090         "",""RUFER AVE"",""40204     "",""0064.00""
""64"",""028785         "",""HEPBURN AVE"",""40204     "",""0069.00""
""65"",""028786         "",""HEPBURN AVE"",""40204     "",""0064.00""
""66"",""028787         "",""HEPBURN AVE"",""40204     "",""0064.00""
""67"",""028788         "",""HEPBURN AVE"",""40204     "",""0064.00""
""68"",""028811         "",""DATE ST"",""402       "",""0027.00""
""69"",""028812         "",""LEXINGTON RD"",""40206     "",""0079.00""
""70"",""028813         "",""S 3RD ST"",""40203     "",""0066.00""
""71"",""028814         "",""FAIRFIELD DR"",""40206     "",""0087.00""
""72"",""028819         "",""GREENLEAF RD"",""40213     "",""0093.00""
""73"",""028821         "",""LINCOLN AVE"",""40213     "",""0094.00""
""74"",""028821         "",""LINCOLN AVE"",""40213     "",""0094.00""
""75"",""028830         "",""LYTLE ST"",""40203     "",""0002.00""
""76"",""028831         "",""LYTLE ST"",""40203     "",""0002.00""
""77"",""028832         "",""LYTLE ST"",""40203     "",""0023.00""
""78"",""028834         "",""LYTLE ST"",""40203     "",""0002.00""
""79"",""028768         "",""LYTLE ST"",""40203     "",""0002.00""
""80"",""028846         "",""DRESDEN AVE"",""40215     "",""0038.00""
""81"",""028847         "",""S 23RD ST"",""402       "",""0030.00""
""82"",""028768         "",""LYTLE ST"",""40203     "",""0002.00""
""83"",""028848         "",""W BURNETT AVE"",""402       "",""0027.00""
""84"",""028853         "",""W HILL ST"",""40210     "",""0027.00""
""85"",""028856         "",""UNIVERSITY AVE"",""40206     "",""0076.02""
""86"",""028858         "",""EDENSIDE AVE"",""40204     "",""0083.00""
""87"",""028859         "",""GARDINER LN"",""40205     "",""0096.00""
""88"",""028870         "",""HULL ST"",""40204     "",""0081.00""
""89"",""028879         "",""HULL ST"",""40204     "",""0081.00""
""90"",""028880         "",""HULL ST"",""40204     "",""0081.00""
""91"",""028916         "",""W MARKET ST"",""40212     "",""0024.00""
""92"",""028917         "",""W MARKET ST"",""40212     "",""0024.00""
""93"",""028919         "",""ROXBURY RD"",""40218     "",""0110.04""
""94"",""028921         "",""COLIN AVE"",""40213     "",""0093.00""
""95"",""022816         "",""W MARKET ST"",""40212     "",""0024.00""
""96"",""028931         "",""S 23RD ST"",""40212     "",""0024.00""
""97"",""028933         "",""S 23RD ST"",""40212     "",""0024.00""
""98"",""028934         "",""S 23RD ST"",""40212     "",""0024.00""
""99"",""028936         "",""S 23RD ST"",""40212     "",""0024.00""
""100"",""027957         "",""BOHANNON AVE"",""40215     "",""0038.00""
""101"",""028949         "",""E LIBERTY ST"",""40204     "",""0059.00""
""102"",""028970         "",""W MUHAMMAD ALI BLVD"",""40212     "",""0024.00""
""103"",""028976         "",""W MUHAMMAD ALI BLVD"",""40212     "",""0024.00""
""104"",""029375         "",""MORNINGSIDE DR"",""40206     "",""0087.00""
""105"",""024385         "",""DRESDEN AVE"",""40215     "",""0038.00""
