DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Belle of Louisville           ,6/22/2013,4,65
Belle of Louisville           ,12/31/2016,2,26
Codes & Regulations,10/13/2012,36,127
Codes & Regulations,11/8/2014,30,122
Commonwealth Attorney         ,11/12/2011,0,19
Commonwealth Attorney         ,4/14/2012,0,20
Commonwealth Attorney         ,5/25/2013,0,19
Commonwealth Attorney         ,10/8/2016,0,24
Commonwealth Attorney         ,3/11/2017,0,20
Community Services,3/30/2013,98,234
Community Services,4/12/2014,46,148
Community Services,8/16/2014,45,133
Community Services,6/20/2015,44,140
Community Services,12/19/2015,42,138
Community Services,3/26/2016,43,132
Community Services,4/8/2017,53,141
Coroner                       ,5/12/2012,0,20
Coroner                       ,12/21/2013,0,19
Coroner                       ,1/3/2015,0,18
Coroner                       ,8/1/2015,0,17
Coroner                       ,8/29/2015,0,16
Coroner                       ,11/21/2015,0,15
Corrections                   ,8/31/2013,109,533
Corrections                   ,5/10/2014,131,535
Corrections                   ,12/19/2015,96,528
Corrections                   ,2/25/2017,155,530
County Attorney               ,10/1/2011,0,93
County Attorney               ,11/12/2011,0,93
County Attorney               ,1/21/2012,0,91
County Attorney               ,5/11/2013,0,96
County Attorney               ,12/17/2016,0,100
County Attorney               ,8/12/2017,0,105
Dept of Information Technology,12/24/2011,11,58
Dept of Information Technology,1/30/2016,8,56
Develop Louisville,6/22/2013,20,97
Develop Louisville,12/21/2013,22,106
Econ Growth & Innovation ,9/1/2012,5,28
Econ Growth & Innovation ,10/22/2016,0,21
Econ Growth & Innovation ,8/26/2017,0,25
Econ Growth & Innovation-APCD,4/12/2014,19,58
Econ Growth & Innovation-APCD,6/21/2014,16,54
Econ Growth & Innovation-APCD,7/5/2014,18,54
Econ Growth & Innovation-APCD,7/2/2016,16,52
Econ Growth & Innovation-APCD,4/8/2017,11,51
Emergency Mgt Agency/MetroSafe,6/9/2012,32,194
Emergency Mgt Agency/MetroSafe,9/1/2012,33,198
Emergency Mgt Agency/MetroSafe,6/21/2014,29,195
Fire & Rescue                 ,10/15/2011,48,457
Fire & Rescue                 ,1/21/2012,55,459
Fire & Rescue                 ,8/31/2013,87,457
Fire & Rescue                 ,5/24/2014,63,489
Fleet & Facilities,9/15/2012,76,200
Fleet & Facilities,12/8/2012,72,197
Fleet & Facilities,11/8/2014,51,201
Fleet & Facilities,9/26/2015,63,200
Fleet & Facilities,1/28/2017,67,192
Fleet & Facilities,2/11/2017,67,191
Human Relations Commission    ,2/18/2012,3,19
Human Relations Commission    ,3/2/2013,2,16
Human Relations Commission    ,8/13/2016,2,19
Human Relations Commission    ,7/1/2017,3,18
Human Resources,3/31/2012,5,32
Human Resources,8/17/2013,3,33
Human Resources,10/10/2015,2,37
Human Resources,6/18/2016,4,36
Internal Auditor              ,11/10/2012,1,7
Internal Auditor              ,4/13/2013,0,7
Internal Auditor              ,8/17/2013,1,6
Internal Auditor              ,10/10/2015,0,6
