""ID"",""DepartmentID"",""Department"",""ZipCode"",""EmployeeCount""
""1"",""105"",""Louisville Metro Council      "",""40031"",""1""
""2"",""105"",""Louisville Metro Council      "",""40059       "",""2""
""3"",""105"",""Louisville Metro Council      "",""40071"",""1""
""4"",""105"",""Louisville Metro Council      "",""40165"",""1""
""5"",""105"",""Louisville Metro Council      "",""40203       "",""1""
""6"",""105"",""Louisville Metro Council      "",""40204"",""2""
""7"",""105"",""Louisville Metro Council      "",""40205"",""2""
""8"",""105"",""Louisville Metro Council      "",""40206"",""3""
""9"",""105"",""Louisville Metro Council      "",""40207"",""1""
""10"",""105"",""Louisville Metro Council      "",""40208"",""1""
""11"",""105"",""Louisville Metro Council      "",""40210       "",""1""
""12"",""105"",""Louisville Metro Council      "",""40213"",""4""
""13"",""105"",""Louisville Metro Council      "",""40214"",""5""
""14"",""105"",""Louisville Metro Council      "",""40215"",""1""
""15"",""105"",""Louisville Metro Council      "",""40216"",""4""
""16"",""105"",""Louisville Metro Council      "",""40218       "",""1""
""17"",""105"",""Louisville Metro Council      "",""40219"",""1""
""18"",""105"",""Louisville Metro Council      "",""40220       "",""1""
""19"",""105"",""Louisville Metro Council      "",""40222"",""2""
""20"",""105"",""Louisville Metro Council      "",""40223       "",""1""
""21"",""105"",""Louisville Metro Council      "",""40228"",""3""
""22"",""105"",""Louisville Metro Council      "",""40229       "",""1""
""23"",""105"",""Louisville Metro Council      "",""40241"",""1""
""24"",""105"",""Louisville Metro Council      "",""40258       "",""1""
""25"",""105"",""Louisville Metro Council      "",""40272"",""2""
""26"",""105"",""Louisville Metro Council      "",""40291"",""2""
""27"",""105"",""Louisville Metro Council      "",""40299       "",""2""
""28"",""105"",""Louisville Metro Council      "",""47130"",""1""
""29"",""110"",""Mayor's Office                "",""40204"",""1""
""30"",""110"",""Mayor's Office                "",""40205"",""3""
""31"",""110"",""Mayor's Office                "",""40217"",""1""
""32"",""110"",""Mayor's Office                "",""40222       "",""1""
""33"",""110"",""Mayor's Office                "",""40245"",""1""
""34"",""110"",""Mayor's Office                "",""40291"",""1""
""35"",""110"",""Mayor's Office                "",""47129"",""1""
""36"",""111"",""Office of Performance Improvmt"",""40245"",""1""
""37"",""155"",""Internal Auditor              "",""40216"",""1""
""38"",""155"",""Internal Auditor              "",""40228"",""1""
""39"",""155"",""Internal Auditor              "",""40229"",""1""
""40"",""155"",""Internal Auditor              "",""40245"",""1""
""41"",""155"",""Internal Auditor              "",""42701"",""1""
""42"",""210"",""OMB - Finance"",""40047"",""2""
""43"",""210"",""OMB - Finance"",""40055"",""1""
""44"",""210"",""OMB - Finance"",""40059"",""1""
""45"",""210"",""OMB - Finance"",""40118       "",""1""
""46"",""210"",""OMB - Finance"",""40165"",""1""
""47"",""210"",""OMB - Finance"",""40203"",""2""
""48"",""210"",""OMB - Finance"",""40205       "",""3""
""49"",""210"",""OMB - Finance"",""40206"",""3""
""50"",""210"",""OMB - Finance"",""40207       "",""4""
""51"",""210"",""OMB - Finance"",""40208"",""1""
""52"",""210"",""OMB - Finance"",""40210       "",""1""
""53"",""210"",""OMB - Finance"",""40211       "",""3""
""54"",""210"",""OMB - Finance"",""40212"",""2""
""55"",""210"",""OMB - Finance"",""40213"",""2""
""56"",""210"",""OMB - Finance"",""40214       "",""3""
""57"",""210"",""OMB - Finance"",""40215       "",""1""
""58"",""210"",""OMB - Finance"",""40216       "",""2""
""59"",""210"",""OMB - Finance"",""40218"",""4""
""60"",""210"",""OMB - Finance"",""40220"",""5""
""61"",""210"",""OMB - Finance"",""40222       "",""2""
""62"",""210"",""OMB - Finance"",""40223"",""2""
""63"",""210"",""OMB - Finance"",""40228       "",""2""
""64"",""210"",""OMB - Finance"",""40229"",""2""
""65"",""210"",""OMB - Finance"",""40241       "",""4""
""66"",""210"",""OMB - Finance"",""40245"",""1""
""67"",""210"",""OMB - Finance"",""40258       "",""4""
""68"",""210"",""OMB - Finance"",""40272       "",""3""
""69"",""210"",""OMB - Finance"",""40291"",""4""
""70"",""210"",""OMB - Finance"",""40299"",""1""
""71"",""210"",""OMB - Finance"",""47111"",""1""
""72"",""210"",""OMB - Finance"",""47112"",""1""
""73"",""210"",""OMB - Finance"",""47122"",""1""
""74"",""210"",""OMB - Finance"",""47124"",""1""
""75"",""210"",""OMB - Finance"",""47129"",""1""
""76"",""210"",""OMB - Finance"",""47130"",""1""
