,,
,,
,,
,,
,,
,,
,,
,,
,,
,""U.S. Acquisitions"",""Foreign Acquisitions""
,""of Foreign Stocks"",""of U.S. Stocks""
,""through Stock"",""through Stock""
,""Swaps"",""Swaps""
,""($ millions)"",""($ millions)""
,,
""2020-Nov"",0,5170
""2020-Oct"",0,0
""2020-Sep"",0,0
""2020-Aug"",0,0
""2020-Jul"",0,1000
""2020-Jun"",0,0
""2020-May"",0,0
""2020-Apr"",0,0
""2020-Mar"",0,0
""2020-Feb"",0,0
""2020-Jan"",0,0
""2019-Dec"",0,0
""2019-Nov"",0,0
""2019-Oct"",0,0
""2019-Sep"",2360,0
""2019-Aug"",0,0
""2019-Jul"",0,0
""2019-Jun"",0,0
""2019-May"",0,0
""2019-Apr"",0,9500
""2019-Mar"",0,0
""2019-Feb"",5950,0
""2019-Jan"",0,0
""2018-Dec"",0,0
""2018-Nov"",0,0
""2018-Oct"",0,0
""2018-Sep"",0,0
""2018-Aug"",0,0
""2018-Jul"",3243,0
""2018-Jun"",0,0
""2018-May"",0,0
""2018-Apr"",-77000,20000
""2018-Mar"",0,0
""2018-Feb"",0,0
""2018-Jan"",0,0
""2017-Dec"",0,0
""2017-Nov"",0,0
""2017-Oct"",2700,0
""2017-Sep"",6300,0
""2017-Aug"",0,0
""2017-Jul"",1200,0
""2017-Jun"",2400,0
""2017-May"",2600,0
""2017-Apr"",0,0
""2017-Mar"",0,0
""2017-Feb"",28000,0
""2017-Jan"",0,0
""2016-Dec"",0,0
""2016-Nov"",0,0
""2016-Oct"",3400,0
""2016-Sep"",16700,0
""2016-Aug"",0,0
""2016-Jul"",0,0
""2016-Jun"",27250,6100
""2016-May"",8400,0
""2016-Apr"",9800,0
""2016-Mar"",0,0
""2016-Feb"",18600,0
""2016-Jan"",24700,0
""2015-Dec"",0,0
""2015-Nov"",2355,0
""2015-Oct"",0,0
""2015-Sep"",1620,0
""2015-Aug"",0,0
""2015-Jul"",0,0
""2015-Jun"",0,0
""2015-May"",0,0
""2015-Apr"",1020,0
""2015-Mar"",33500,0
""2015-Feb"",0,0
""2015-Jan"",75467,0
""2014-Dec"",750,10998
""2014-Nov"",1140,500
""2014-Oct"",0,0
""2014-Sep"",0,0
""2014-Aug"",1970,0
""2014-Jul"",20000,0
""2014-Jun"",0,0
""2014-May"",4570,0
""2014-Apr"",0,0
""2014-Mar"",0,62300
""2014-Feb"",1538,0
""2014-Jan"",0,0
""2013-Dec"",14500,0
""2013-Nov"",0,0
""2013-Oct"",7000,0
""2013-Sep"",0,0
""2013-Aug"",0,0
""2013-Jul"",0,0
""2013-Jun"",14000,0
""2013-May"",3000,2268
""2013-Apr"",0,0
""2013-Mar"",0,0
""2013-Feb"",850,0
""2013-Jan"",0,0
""2012-Dec"",0,0
""2012-Nov"",-14600,3000
""2012-Oct"",0,0
""2012-Sep"",0,0
""2012-Aug"",0,2982
""2012-Jul"",0,0
""2012-Jun"",0,0
""2012-May"",0,0
""2012-Apr"",13747,0
""2012-Mar"",0,0
""2012-Feb"",0,2800
""2012-Jan"",0,0
""2011-Dec"",0,0
""2011-Nov"",0,0
""2011-Oct"",-740,0
""2011-Sep"",0,0
""2011-Aug"",0,0
""2011-Jul"",4095,0
""2011-Jun"",1099,0
""2011-May"",4566,0
""2011-Apr"",2000,1224
""2011-Mar"",0,0
""2011-Feb"",0,0
""2011-Jan"",907,96
""2010-Dec"",0,0
""2010-Nov"",0,0
""2010-Oct"",0,0
""2010-Sep"",0,0
""2010-Aug"",10500,0
""2010-Jul"",0,0
""2010-Jun"",0,0
""2010-May"",1380,1051
""2010-Apr"",0,0
""2010-Mar"",0,0
""2010-Feb"",0,7280
""2010-Jan"",0,0
""2009-Dec"",0,837
""2009-Nov"",0,0
""2009-Oct"",0,0
""2009-Sep"",0,0
""2009-Aug"",0,0
""2009-Jul"",0,0
""2009-Jun"",0,0
""2009-May"",0,0
""2009-Apr"",0,0
""2009-Mar"",0,0
""2009-Feb"",0,0
""2009-Jan"",1910,0
""2008-Dec"",0,0
""2008-Nov"",0,0
""2008-Oct"",800,0
""2008-Sep"",0,0
""2008-Aug"",0,206
""2008-Jul"",0,0
""2008-Jun"",2000,0
""2008-May"",0,0
""2008-Apr"",0,0
""2008-Mar"",0,0
""2008-Feb"",800,0
""2008-Jan"",0,0
""2007-Dec"",0,1100
""2007-Nov"",0,0
""2007-Oct"",2500,2200
""2007-Sep"",4503,0
""2007-Aug"",0,0
""2007-Jul"",0,0
""2007-Jun"",0,0
""2007-May"",0,0
""2007-Apr"",0,7355
""2007-Mar"",2450,0
""2007-Feb"",0,0
""2007-Jan"",1753,0
""2006-Dec"",0,0
""2006-Nov"",12440,2000
""2006-Oct"",0,1200
""2006-Sep"",0,0
""2006-Aug"",0,0
""2006-Jul"",0,0
""2006-Jun"",2400,0
""2006-May"",0,1011
""2006-Apr"",0,0
""2006-Mar"",0,0
""2006-Feb"",0,0
""2006-Jan"",4000,0
""2005-Dec"",0,0
""2005-Nov"",0,985
""2005-Oct"",0,1449
""2005-Sep"",0,0
""2005-Aug"",0,0
""2005-Jul"",0,0
""2005-Jun"",0,0
""2005-May"",0,0
""2005-Apr"",1900,0
""2005-Mar"",2095,261
""2005-Feb"",0,3339
""2005-Jan"",0,0
""2004-Dec"",0,0
""2004-Nov"",-25513,22614
""2004-Oct"",0,0
""2004-Sep"",0,0
""2004-Aug"",564,0
""2004-Jul"",0,0
""2004-Jun"",0,0
""2004-May"",0,0
""2004-Apr"",12726,10733
""2004-Mar"",0,0
""2004-Feb"",0,2788
""2004-Jan"",0,0
""2003-Dec"",2783,846
""2003-Nov"",0,0
""2003-Oct"",0,1354
""2003-Sep"",0,0
""2003-Aug"",0,0
""2003-Jul"",0,0
""2003-Jun"",0,0
""2003-May"",0,0
""2003-Apr"",0,0
""2003-Mar"",14658,0
""2003-Feb"",0,0
""2003-Jan"",0,0
""2002-Dec"",0,0
""2002-Nov"",0,0
""2002-Oct"",0,0
""2002-Sep"",1400,0
""2002-Aug"",0,0
""2002-Jul"",0,0
""2002-Jun"",0,0
""2002-May"",0,0
""2002-Apr"",0,0
""2002-Mar"",0,2502
""2002-Feb"",1797,4126
""2002-Jan"",0,0
""2001-Dec"",8719,0
""2001-Nov"",0,0
""2001-Oct"",0,0
""2001-Sep"",0,0
""2001-Aug"",1781,6571
""2001-Jul"",0,0
""2001-Jun"",30482,0
""2001-May"",1594,0
""2001-Apr"",1819,871
""2001-Mar"",0,0
""2001-Feb"",0,0
""2001-Jan"",2580,0
""2000-Dec"",0,1171
""2000-Nov"",6148,2493
""2000-Oct"",18552,0
""2000-Sep"",0,0
""2000-Aug"",0,3621
""2000-Jul"",7700,2263
""2000-Jun"",8731,0
""2000-May"",12487,7132
""2000-Apr"",26807,0
""2000-Mar"",0,1117
""2000-Feb"",0,3545
""2000-Jan"",0,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
