OBJECTID,ZI_TOWN,ZI_ZIP,ZI_PHONE,ZI_UPD_DATE,SHAPE_Length,SHAPE_Area
1,ASHBURN,20147,703-729-2022,2020/10/02 00:00:00+00,122170.231034537,558237454.319141
2,HAMILTON,20158,540-338-4500,2019/09/13 00:00:00+00,141577.704312127,393817361.382406
3,PAEONIAN SPRINGS,20129,540-338-4422,2019/08/28 00:00:00+00,39986.6059826406,28961100.0507856
4,CHANTILLY,20151, ,2020/02/05 00:00:00+00,2974.35397517096,389572.074514085#missingZI_PHONE
5,ASHBURN,20148,703-729-2022,2020/08/14 00:00:00+00,35502.3785495731,25113621.2108039
6,ALDIE,20105,703-327-6975,2018/03/19 00:00:00+00,1550.07183739958,93690.2959507497
7,PARIS,20130,540-592-3687,2020/02/05 00:00:00+00,50777.7135010849,64177156.8977224
8,THE PLAINS,20198,,2020/02/05 00:00:00+00,41302.8324411273,31132332.0034537#missingZI_PHONE
9,HERNDON,20170,,2020/02/05 00:00:00+00,3716.67547284964,105162.307823694#missingZI_PHONE
10,PARIS,20130,540-592-3687,2020/02/05 00:00:00+00,8340.87018921183,2970822.83010229
11,LEESBURG,20175,703-771-3421,2018/03/19 00:00:00+00,4699.53134706997,1003059.97969514
12,BLUEMONT,20135,540-554-8447,2020/02/05 00:00:00+00,2275.21198129422,192607.729983127
13,BLUEMONT,20135,540-554-8447,2020/02/05 00:00:00+00,11432.7269267433,4674403.81014314
14,ROUND HILL,20141,540-338-7700,2020/03/19 00:00:00+00,225002.498425594,737983744.910285
15,CHANTILLY,20152,703-968-7272,2020/08/17 00:00:00+00,144527.03705038,391324074.434906
16,CENTREVILLE,20120,703-830-3685,2020/02/05 00:00:00+00,35057.8087832992,41054062.4636801
17,CENTREVILLE,20120,703-830-3685,2020/02/05 00:00:00+00,3558.28500957515,300686.331960305
18,HERNDON,20170, ,2020/02/05 00:00:00+00,2858.2534972705,312547.676937365#missingZI_PHONE
19,HERNDON,20170, ,2020/02/05 00:00:00+00,1279.04784216165,81568.1098970259#missingZI_PHONE
20,GREAT FALLS,22066,703-759-2885,2020/02/05 00:00:00+00,1521.47229973364,98497.6258523485
21,GREAT FALLS,22066,703-759-2885,2020/02/05 00:00:00+00,15504.7681950295,6728209.36826304
22,GREAT FALLS,22066,703-759-2885,2020/02/05 00:00:00+00,4304.11099050653,935562.161763783
23,STERLING,20165,703-430-6363,2020/05/12 00:00:00+00,119442.677827223,275363728.532435
24,PAEONIAN SPRINGS,20129,540-338-4422,2019/10/04 00:00:00+00,60612.0208062433,94131629.5752178
25,WATERFORD,20197,540-822-3545,2020/04/20 00:00:00+00,150130.762528504,441190060.641008
26,MIDDLEBURG,20117,540-687-5486,2020/08/21 00:00:00+00,222086.843120696,1177752873.65836
27,ALDIE,20105,703-327-6975,2020/08/21 00:00:00+00,297146.398302217,1076548735.82481
28,LEESBURG,20176,703-771-3421,2020/08/11 00:00:00+00,316259.480898499,1518945451.30517
29,UPPERVILLE,20184,540-592-3687,2020/11/19 00:00:00+00,168028.72929884,574409089.437563
30,BLUEMONT,20135,540-554-8447,2020/11/19 00:00:00+00,170602.626162172,438667700.308122
31,LEESBURG,20175,703-771-3421,2020/12/07 00:00:00+00,301137.147562214,1643749975.94377
32,PURCELLVILLE,20132,540-338-7121,2021/01/05 00:00:00+00,412193.087817964,2332590778.21436
33,STERLING,20164,703-430-6363,2021/01/07 00:00:00+00,96682.1111305806,218276642.820965
34,LOVETTSVILLE,20180,540-822-5401,2021/01/05 00:00:00+00,207066.55101795,1211748504.73678
35,STERLING,20166,703-430-6363,2021/01/07 00:00:00+00,197914.330869245,761615776.393175
36,ASHBURN,20148,703-729-2022,2020/12/07 00:00:00+00,164047.492929608,475905203.243498
