Site_ID,River,Domain,BG,NAG,AP,LAP
GRE06604-1001,Mississippi,Impounded MS,1.348752211,0.43176024,4.079502235,5.458487546
GRE06604-1002,Mississippi,Impounded MS,,,,
GRE06604-1003,Mississippi,Impounded MS,46.9244194,34.38802467,17.01989984,3.168110061
GRE06604-1004,Mississippi,Impounded MS,91.31344686,44.06826008,41.05809583,18.11
GRE06604-1005,Mississippi,Impounded MS,41.61897081,47.89772364,76.36108262,52.56573747
GRE06604-1006,Mississippi,Impounded MS,168.4229147,57.59984979,52.49054751,2.914294114
GRE06604-1007,Mississippi,Impounded MS,267.9449477,98.11902908,76.8588426,10.09626269
GRE06604-1008,Mississippi,Impounded MS,107.2534587,43.19196521,53.52704433,0.334229584
GRE06604-1009,Mississippi,Impounded MS,7.28675399,1.802438545,26.3977634,0.998774189
GRE06604-1010,Mississippi,Impounded MS,85.64480252,22.23404378,56.53738524,
GRE06604-1011,Mississippi,Impounded MS,182.0259992,108.296215,116.9133777,26.57707073
GRE06604-1013,Mississippi,Impounded MS,466.2274447,166.5213118,23.73431504,1.321752809
GRE06604-1014,Mississippi,Impounded MS,134.5162928,102.6418678,67.62585724,26.15362199
GRE06604-1015,Mississippi,Impounded MS,114.4451362,26.77258761,119.9238275,4.32
GRE06604-1018,Mississippi,Impounded MS,129.9043296,55.55755469,63.48719703,
GRE06604-1019,Mississippi,Impounded MS,193.9804226,59.98280792,57.04552764,8.839952514
GRE06604-1020,Mississippi,Impounded MS,353.2022887,91.68514386,142.1569142,12.68526146
GRE06604-1021,Mississippi,Impounded MS,93.95712836,40.60024581,34.40921083,1.865407896
GRE06604-1022,Mississippi,Impounded MS,93.52590469,59.92098261,25.78411168,9.969532209
GRE06604-1023,Mississippi,Impounded MS,267.5314431,89.96125672,101.3030807,14.57
GRE06604-1024,Mississippi,Impounded MS,212.3469118,75.31000616,106.5728472,12.60785018
GRE06604-1025,Mississippi,Impounded MS,19.58236012,,2.670052731,7.152302385
GRE06604-1026,Mississippi,Impounded MS,21.88231579,47.92,40.47239868,12.84006471
GRE06604-1027,Mississippi,Impounded MS,67.7453516,48.66539518,110.678837,4.074464813
GRE06604-1029,Mississippi,Impounded MS,7.047481988,3.374444788,3.339168156,3.159472303
GRE06604-1030,Mississippi,Impounded MS,138.0161761,45.7168902,87.0827735,3.439672614
GRE06604-1031,Mississippi,Impounded MS,61.34342509,23.59151896,27.78389744,2.34
GRE06604-1033,Mississippi,Impounded MS,13.66876985,12.64,35.28423311,0.191037878
GRE06604-1034,Mississippi,Impounded MS,647.8661022,118.0756903,205.4991817,1.519796173
GRE06604-1035,Mississippi,Impounded MS,321.0566509,81.09319096,81.7162533,0.875565033
GRE06604-1036,Mississippi,Impounded MS,216.9229806,34.05816691,123.1742129,11.01766529
GRE06604-1037,Mississippi,Impounded MS,141.665204,165.4218487,252.0091542,14.38627281
GRE06604-1038,Mississippi,Impounded MS,12.69711058,15.39643118,36.79065211,9.989650453
GRE06604-1039,Mississippi,Impounded MS,172.277017,70.25427363,91.32414656,22.9100578
GRE06604-1040,Mississippi,Impounded MS,154.3212222,83.86161829,44.4671188,11.89400369
GRE06604-1041,Mississippi,Impounded MS,,,,
GRE06604-1042,Mississippi,Impounded MS,,,,
GRE06604-1043,Mississippi,Impounded MS,195.9271052,76.97920551,58.2505786,22.46486332
GRE06604-1046,Mississippi,Impounded MS,358.4312005,95.19957933,200.6378901,13.09211902
GRE06604-1047,Mississippi,Impounded MS,224.2252269,110.2412333,127.4069179,7.435917654
GRE06604-1049,Mississippi,Impounded MS,7.09890709,11.98672512,19.37838524,10.42079335
GRE06604-1051,Mississippi,Impounded MS,445.4555717,111.0843316,114.1169929,12.89462098
GRE06604-1053,Mississippi,Impounded MS,57.21780865,4.040129826,30.01544861,3.151245078
GRE06604-1054,Mississippi,Impounded MS,240.1959889,96.33996952,25.48628709,
