Year,Annual Launch Permits,Daily Launch Permits,Boat Rentals,Leonard Springs Nature Day Participation,Griffy Lake Nature Day Participation
1999,28,549,2405,1000,
2000,32,529,2201,1740,
2001,35,442,2441,1901,
2002,24,466,1767,1221,
2003,19,453,1625,1126,
2004,31,653,2996,1890,
2005,15,271,2986,1787,
2006,0,0,3058,,#Leonard Springs Nature Day Participation
2007,66,753,3794,1232,
2008,74,655,"3,746",1853,
2009,45,615,"4,309",1826,590
2010,44,445,3105,1739,624
2011,43,417,2507,1560,1033
2012,0,405,1447,1483,1982
2013,0,0,0,1691,1657
2014,32,260,4452,1524,1301
2015,68,447,6048,1522,1806
2016,79,766,5653,1522,1553
2017,106,829,5946,1407,1710
2018,109,790,5624,1719,1630
