Start_Date,End_Date,Therms,Bill Amt
2/22/2008,3/20/2008,7632.42,7869.42
3/20/2008,4/22/2008,2366.549,2890.58
4/22/2008,5/20/2008,543.514,764.37
5/20/2008,6/20/2008,258.424,425.11
6/20/2008,7/24/2008,7.918,70.53
7/24/2008,8/21/2008,4.543,54.34
8/21/2008,9/22/2008,67.005,132.23
9/22/2008,10/20/2008,573.485,766.33
10/20/2008,11/18/2008,3382.185,3782.53
11/18/2008,12/18/2008,7178.633,7952.71
12/18/2008,1/22/2009,8867.389,9564.62
1/22/2009,2/19/2009,5521.513,6073.91
2/19/2009,3/19/2009,3759.108,3842.38
3/19/2009,4/22/2009,3283.078,2535.76
4/22/2009,5/20/2009,331.619,331.39
5/20/2009,6/23/2009,157.86,163.73
6/23/2009,7/22/2009,16.968,63.7
7/22/2009,8/21/2009,30.512,70.15
8/21/2009,9/23/2009,78.949,98.1
9/23/2009,10/21/2009,1162.712,705.99
10/21/2009,11/18/2009,1536.444,1141.28
11/18/2009,12/19/2009,4036.122,2864.88
12/19/2009,1/21/2010,5990.11,4492.19
1/21/2010,2/19/2010,6719.83,5145.89
2/19/2010,3/23/2010,3495.18,2859.31
3/23/2010,4/23/2010,939.49,911.38
4/23/2010,5/20/2010,289.28,278.35
5/20/2010,6/22/2010,183.47,232.79
6/22/2010,7/22/2010,6.75,51.5
7/22/2010,8/23/2010,6.75,51.47
8/23/2010,9/22/2010,23.64,64.51
9/22/2010,10/20/2010,536.32,474.42
10/20/2010,11/19/2010,2852.21,2140.18
11/19/2010,12/21/2010,6742.42,4746.79
12/21/2010,1/24/2011,8106.75,5832.09
1/24/2011,2/18/2011,5134.99,3995.31
2/18/2011,3/21/2011,3847.3,3117.39
3/21/2011,4/20/2011,3631.19,2877.75
4/20/2011,5/20/2011,1758.69,1456.47
5/20/2011,6/22/2011,39.44,117.79
6/22/2011,7/20/2011,14.66,59.83
7/20/2011,8/23/2011,33.03,72.02
8/23/2011,9/22/2011,225.53,219.81
9/22/2011,10/24/2011,1924.58,1466.19
10/24/2011,11/18/2011,2299.75,1746.27
11/18/2011,12/20/2011,4804.43,3588.87
12/20/2011,1/23/2012,5689.94,4223.2
1/23/2012,2/21/2012,4387.45,4223.2
2/21/2012,3/22/2012,2173.62,1882.8
3/22/2012,4/20/2012,1332.51,974.36
4/20/2012,5/23/2012,869.89,554.18
5/23/2012,6/21/2012,1797.33,178.24
6/21/2012,7/24/2012,17.72,61.22
7/24/2012,8/23/2012,87.28,109.36
8/23/2012,9/22/2012,226.22,203.24
9/22/2012,10/19/2012,2261.14,1410.93
10/19/2012,11/20/2012,4426.65,2860.16
11/20/2012,12/19/2012,3567.81,2633.75
12/19/2012,1/23/2013,7612.58,5076.32
1/23/2013,2/21/2013,6338.46,4372.71
2/21/2013,3/21/2013,5652.7,3591
3/21/2013,4/22/2013,3391.4,2443.94
4/22/2013,5/22/2013,900.84,826.04
5/22/2013,6/21/2013,269.16,262.06
6/21/2013,7/24/2013,50.12,92.03
7/24/2013,8/22/2013,1.14,49.64
8/22/2013,9/21/2013,51.458,85.56
9/21/2013,10/22/2013,1285.2,998.77
10/22/2013,11/20/2013,5172.984,3523.76
11/20/2013,12/18/2013,7482.423,5009.48
12/18/2013,1/22/2014,9101.664,6511.6
1/22/2014,2/20/2014,7636.285,5503.81
2/20/2014,3/19/2014,5387.906,4063.01
