IntakeType,IntakeSubtype,Number of Animals,YEAR,MONTH
STRAY,FIELD,1,2002,2
OWNER SUR,OTC,1,2003,7
CONFISCATE,CRUELTY,1,2004,11
CONFISCATE,CRUELTY,1,2004,12
STRAY,OTC,1,2004,12
CONFISCATE,CRUELTY,2,2005,1
STRAY,OTC,1,2005,1
CONFISCATE,CRUELTY,2,2005,2
CONFISCATE,HOSPITAL,1,2005,2
OWNER SUR,OTC,1,2005,2
STRAY,FIELD,1,2005,2
STRAY,OTC,10,2005,2
CONFISCATE,BITE,6,2005,3
CONFISCATE,CRUELTY,21,2005,3
EUTH REQ,FIELD OWN,2,2005,3
EUTH REQ,OTC OWNED,2,2005,3
OWNER SUR,FIELD,15,2005,3
OWNER SUR,OTC,54,2005,3
RETURN,OTC,3,2005,3
STRAY,,4,2005,3
STRAY,FIELD,171,2005,3
STRAY,NIGHT,1,2005,3
STRAY,OTC,193,2005,3
CONFISCATE,,1,2005,4
CONFISCATE,BITE,2,2005,4
CONFISCATE,CRUELTY,6,2005,4
CONFISCATE,POLICE,1,2005,4
EUTH REQ,FIELD OWN,2,2005,4
EUTH REQ,OTC OWNED,26,2005,4
OWNER SUR,FIELD,33,2005,4
OWNER SUR,OTC,78,2005,4
RETURN,OTC,1,2005,4
STRAY,,1,2005,4
STRAY,FIELD,237,2005,4
STRAY,OTC,286,2005,4
TRANSFER,,1,2005,4
CONFISCATE,,2,2005,5
CONFISCATE,CRUELTY,27,2005,5
EUTH REQ,FIELD OWN,7,2005,5
EUTH REQ,OTC OWNED,23,2005,5
KHS,STRAY,1,2005,5
OWNER SUR,FIELD,25,2005,5
OWNER SUR,OTC,103,2005,5
STRAY,,1,2005,5
STRAY,FIELD,271,2005,5
STRAY,OTC,339,2005,5
TRANSFER,,1,2005,5
CONFISCATE,,5,2005,6
CONFISCATE,BITE,1,2005,6
CONFISCATE,CRUELTY,17,2005,6
EUTH REQ,FIELD OWN,3,2005,6
EUTH REQ,OTC OWNED,23,2005,6
KHS,STRAY,14,2005,6
OWNER SUR,FIELD,23,2005,6
OWNER SUR,OTC,100,2005,6
RETURN,OTC,1,2005,6
STRAY,,4,2005,6
STRAY,FIELD,320,2005,6
STRAY,OTC,356,2005,6
CONFISCATE,BITE,1,2005,7
CONFISCATE,CRUELTY,14,2005,7
CONFISCATE,POLICE,1,2005,7
EUTH REQ,FIELD OWN,6,2005,7
EUTH REQ,OTC OWNED,26,2005,7
KHS,BITE,2,2005,7
KHS,STRAY,84,2005,7
OWNER SUR,,1,2005,7
OWNER SUR,FIELD,42,2005,7
OWNER SUR,OTC,124,2005,7
STRAY,,1,2005,7
STRAY,FIELD,337,2005,7
STRAY,OTC,364,2005,7
CONFISCATE,ABANDONED,2,2005,8
CONFISCATE,CRUELTY,27,2005,8
CONFISCATE,NEGLECT,5,2005,8
EUTH REQ,,1,2005,8
EUTH REQ,FIELD OWN,5,2005,8
EUTH REQ,OTC OWNED,34,2005,8
KHS,STRAY,71,2005,8
OWNER SUR,,1,2005,8
OWNER SUR,FIELD,28,2005,8
OWNER SUR,OTC,105,2005,8
RETURN,FIELD,1,2005,8
STRAY,,2,2005,8
STRAY,FIELD,354,2005,8
STRAY,OTC,379,2005,8
CONFISCATE,ABANDONED,1,2005,9
CONFISCATE,CRUELTY,17,2005,9
CONFISCATE,NEGLECT,3,2005,9
EUTH REQ,FIELD OWN,6,2005,9
EUTH REQ,OTC OWNED,28,2005,9
KHS,STRAY,56,2005,9
OWNER SUR,FIELD,30,2005,9
OWNER SUR,OTC,121,2005,9
STRAY,,2,2005,9
STRAY,FIELD,301,2005,9
STRAY,OTC,376,2005,9
CONFISCATE,ABANDONED,1,2005,10
CONFISCATE,BITE,1,2005,10
CONFISCATE,CRUELTY,4,2005,10
CONFISCATE,NEGLECT,10,2005,10
CONFISCATE,POLICE,1,2005,10
EUTH REQ,FIELD OWN,5,2005,10
EUTH REQ,OTC OWNED,31,2005,10
KHS,STRAY,78,2005,10
OWNER SUR,FIELD,24,2005,10
OWNER SUR,OTC,107,2005,10
RETURN,OTC,1,2005,10
STRAY,FIELD,308,2005,10
STRAY,OTC,311,2005,10
CONFISCATE,ABANDONED,1,2005,11
CONFISCATE,BITE,2,2005,11
CONFISCATE,CRUELTY,15,2005,11
CONFISCATE,HOSPITAL,1,2005,11
CONFISCATE,NEGLECT,21,2005,11
CONFISCATE,POLICE,1,2005,11
EUTH REQ,FIELD OWN,1,2005,11
EUTH REQ,OTC OWNED,12,2005,11
KHS,,1,2005,11
KHS,STRAY,37,2005,11
OWNER SUR,FIELD,32,2005,11
OWNER SUR,OTC,128,2005,11
STRAY,FIELD,291,2005,11
STRAY,OTC,331,2005,11
TRANSFER,AN CONTROL,1,2005,11
CONFISCATE,BITE,2,2005,12
CONFISCATE,CRUELTY,6,2005,12
CONFISCATE,NEGLECT,26,2005,12
EUTH REQ,FIELD OWN,2,2005,12
EUTH REQ,OTC OWNED,9,2005,12
KHS,,1,2005,12
KHS,STRAY,13,2005,12
OWNER SUR,FIELD,25,2005,12
OWNER SUR,OTC,174,2005,12
STRAY,,1,2005,12
STRAY,FIELD,291,2005,12
STRAY,OTC,312,2005,12
CONFISCATE,ABANDONED,14,2006,1
CONFISCATE,BITE,1,2006,1
CONFISCATE,NEGLECT,11,2006,1
EUTH REQ,,1,2006,1
EUTH REQ,FIELD OWN,2,2006,1
EUTH REQ,OTC OWNED,8,2006,1
KHS,OWNER SUR,1,2006,1
KHS,STRAY,11,2006,1
OWNER SUR,FIELD,43,2006,1
OWNER SUR,OTC,165,2006,1
STRAY,FIELD,340,2006,1
STRAY,OTC,290,2006,1
CONFISCATE,ABANDONED,7,2006,2
CONFISCATE,BITE,2,2006,2
CONFISCATE,CRUELTY,1,2006,2
CONFISCATE,NEGLECT,13,2006,2
EUTH REQ,FIELD OWN,1,2006,2
EUTH REQ,OTC OWNED,16,2006,2
KHS,STRAY,6,2006,2
OWNER SUR,FIELD,32,2006,2
OWNER SUR,OTC,110,2006,2
RETURN,OTC,2,2006,2
STRAY,FIELD,299,2006,2
STRAY,OTC,225,2006,2
CONFISCATE,ABANDONED,5,2006,3
CONFISCATE,BITE,1,2006,3
CONFISCATE,NEGLECT,30,2006,3
EUTH REQ,FIELD OWN,4,2006,3
EUTH REQ,OTC OWNED,19,2006,3
OWNER SUR,FIELD,45,2006,3
OWNER SUR,OTC,178,2006,3
RETURN,FIELD,3,2006,3
STRAY,FIELD,332,2006,3
STRAY,OTC,270,2006,3
CONFISCATE,ABANDONED,2,2006,4
CONFISCATE,BITE,10,2006,4
CONFISCATE,CRUELTY,5,2006,4
CONFISCATE,NEGLECT,22,2006,4
EUTH REQ,OTC OWNED,19,2006,4
KHS,BITE,2,2006,4
KHS,STRAY,4,2006,4
OWNER SUR,FIELD,62,2006,4
OWNER SUR,OTC,218,2006,4
RETURN,OTC,1,2006,4
STRAY,,1,2006,4
STRAY,FIELD,346,2006,4
STRAY,OTC,331,2006,4
TRANSFER,AN CONTROL,5,2006,4
CONFISCATE,ABANDONED,3,2006,5
CONFISCATE,BITE,2,2006,5
CONFISCATE,CRUELTY,7,2006,5
CONFISCATE,EVICTION,1,2006,5
CONFISCATE,NEGLECT,11,2006,5
CONFISCATE,POLICE,4,2006,5
EUTH REQ,FIELD OWN,5,2006,5
EUTH REQ,OTC OWNED,36,2006,5
KHS,STRAY,14,2006,5
OWNER SUR,FIELD,31,2006,5
OWNER SUR,OTC,270,2006,5
STRAY,,1,2006,5
STRAY,FIELD,484,2006,5
STRAY,OTC,451,2006,5
CONFISCATE,ABANDONED,2,2006,6
CONFISCATE,BITE,1,2006,6
CONFISCATE,NEGLECT,40,2006,6
EUTH REQ,FIELD OWN,8,2006,6
EUTH REQ,OTC OWNED,69,2006,6
KHS,OWNER SUR,3,2006,6
KHS,STRAY,39,2006,6
OWNER SUR,FIELD,50,2006,6
OWNER SUR,OTC,258,2006,6
RETURN,FIELD,3,2006,6
STRAY,FIELD,443,2006,6
STRAY,OTC,517,2006,6
CONFISCATE,ABANDONED,1,2006,7
CONFISCATE,BITE,3,2006,7
CONFISCATE,CRUELTY,1,2006,7
CONFISCATE,NEGLECT,15,2006,7
EUTH REQ,FIELD OWN,3,2006,7
EUTH REQ,OTC OWNED,34,2006,7
KHS,OWNER SUR,2,2006,7
KHS,STRAY,63,2006,7
OUTSURGERY,,3,2006,7
OWNER SUR,FIELD,25,2006,7
OWNER SUR,OTC,324,2006,7
RETURN,OTC,2,2006,7
STRAY,,3,2006,7
STRAY,FIELD,482,2006,7
STRAY,OTC,597,2006,7
CONFISCATE,BITE,6,2006,8
CONFISCATE,CRUELTY,2,2006,8
CONFISCATE,NEGLECT,47,2006,8
EUTH REQ,FIELD OWN,2,2006,8
EUTH REQ,OTC OWNED,30,2006,8
KHS,STRAY,45,2006,8
OUTSURGERY,,26,2006,8
OWNER SUR,FIELD,40,2006,8
OWNER SUR,OTC,240,2006,8
STRAY,FIELD,495,2006,8
STRAY,OTC,514,2006,8
CONFISCATE,BITE,5,2006,9
CONFISCATE,EVICTION,1,2006,9
CONFISCATE,NEGLECT,14,2006,9
CONFISCATE,POLICE,1,2006,9
EUTH REQ,FIELD OWN,7,2006,9
EUTH REQ,OTC OWNED,22,2006,9
KHS,STRAY,37,2006,9
OUTSURGERY,,16,2006,9
OWNER SUR,FIELD,22,2006,9
OWNER SUR,OTC,265,2006,9
RETURN,OTC,3,2006,9
STRAY,,1,2006,9
STRAY,FIELD,490,2006,9
STRAY,OTC,516,2006,9
CONFISCATE,ABANDONED,2,2006,10
CONFISCATE,BITE,1,2006,10
CONFISCATE,CRUELTY,1,2006,10
CONFISCATE,DANGER DOG,1,2006,10
CONFISCATE,EVICTION,1,2006,10
CONFISCATE,NEGLECT,17,2006,10
CONFISCATE,POLICE,4,2006,10
EUTH REQ,FIELD OWN,5,2006,10
EUTH REQ,OTC OWNED,20,2006,10
KHS,STRAY,18,2006,10
OUTSURGERY,,33,2006,10
OWNER SUR,FIELD,48,2006,10
OWNER SUR,OTC,230,2006,10
RETURN,OTC,1,2006,10
STRAY,FIELD,410,2006,10
STRAY,OTC,485,2006,10
CONFISCATE,ABANDONED,2,2006,11
CONFISCATE,BITE,1,2006,11
CONFISCATE,DANGER DOG,2,2006,11
