OBJECTID,SOURCE_ID,SYMBOL,FEATURE_DESC,ANGLE
214081,10101,78,Gravel Pit,0
214082,10101,59,Vacant Farm Unit,0
214083,10101,59,Vacant Farm Unit,0
214084,10101,61,Vacant Dwelling other than Farm,0
214085,10101,58,Farm Unit,0
214086,10101,59,Vacant Farm Unit,0
214087,10101,59,Vacant Farm Unit,0
214088,10101,60,Dwelling other than Farm,3
214089,10101,95,Highway Garage,3
214090,10101,59,Vacant Farm Unit,0
214091,10101,58,Farm Unit,0
214092,10101,58,Farm Unit,0
214093,10101,58,Farm Unit,0
214094,10101,42,Mine Shaft or Drift,0
214095,36590,240,railway crossing,0
214096,36590,240,railway crossing,0
214097,10101,130,Minor Drainage Structure,0
214098,10201,80,Schoolhouse,0
214099,10201,60,Dwelling other than Farm,0
214100,10201,78,Gravel Pit,0
214101,10202,58,Farm Unit,180
214102,10202,78,Gravel Pit,0
214103,10202,58,Farm Unit,270
214104,10202,58,Farm Unit,270
214105,10202,78,Gravel Pit,0
214106,10202,58,Farm Unit,0
214107,10202,78,Gravel Pit,0
214108,10202,113,Asterisk,0
214109,10202,58,Farm Unit,0
214110,10202,78,Gravel Pit,0
214111,10202,78,Gravel Pit,0
214112,10202,129,""Highway Bridge, General"",0
214113,20204,131,Concrete Ford or Dip,357.49013765
214114,20204,131,Concrete Ford or Dip,355.95133899
214115,35966,240,railway crossing,0
214116,10201,60,Dwelling other than Farm,0
214117,10202,97,Power Substation,0
214118,20216,60,Dwelling other than Farm,0
214119,10202,79,Monument - Small Historic Site,359.19947926
214120,10202,110,Micro-Wave or Radio Tower,0
214121,10202,110,Micro-Wave or Radio Tower,180
214122,10202,58,Farm Unit,0
214123,10202,59,Vacant Farm Unit,0
214167,10401,58,Farm Unit,0
214168,10401,58,Farm Unit,0
214169,10401,58,Farm Unit,0
214170,10401,43,Gas or Oil Well,0
214171,10401,43,Gas or Oil Well,0
214172,10401,43,Gas or Oil Well,0
214173,10401,58,Farm Unit,0
214174,10401,43,Gas or Oil Well,0
214175,10401,43,Gas or Oil Well,0
214176,10401,58,Farm Unit,0
214177,10401,11,Scenic Site,0
214178,10401,58,Farm Unit,0
214179,10401,58,Farm Unit,0
214180,10401,78,Gravel Pit,0
214181,10401,78,Gravel Pit,0
214182,10401,58,Farm Unit,0
214183,10401,245,Butte,0
214184,10401,113,Asterisk,0
214185,10401,6,County Seat,0
214186,10401,245,Butte,0
214187,10401,245,Butte,0
214188,10401,245,Butte,0
214189,10401,245,Butte,0
214190,10401,113,Asterisk,0
214191,10401,245,Butte,0
214192,10401,113,Asterisk,0
214193,10401,110,Micro-Wave or Radio Tower,0
