SFY,Fund_Source,Age,Total Children Receiving CHDP Services,% of Total Children Receiving CHDP Services,Total Amount Paid for CHDP Services,% of Total Amount Paid
2008-2009,All,0,557757,24.34%,"$21,840,767 ",38.03%
2008-2009,All,1,314994,13.75%,"$7,262,306 ",12.64%
2008-2009,All,2,190989,8.33%,"$2,999,407 ",5.22%
2008-2009,All,3,161229,7.04%,"$2,366,522 ",4.12%
2008-2009,All,4,176035,7.68%,"$3,582,505 ",6.24%
2008-2009,All,5,118250,5.16%,"$1,945,515 ",3.39%
2008-2009,All,6,90235,3.94%,"$1,440,096 ",2.51%
2008-2009,All,7,68026,2.97%,"$1,093,704 ",1.90%
2008-2009,All,8,62404,2.72%,"$1,028,784 ",1.79%
2008-2009,All,9,60225,2.63%,"$1,088,722 ",1.90%
2008-2009,All,10,55674,2.43%,"$1,146,066 ",2.00%SFY,Fund_Source,Age,Total Children Receiving CHDP Services,% of Total Children Receiving CHDP Services,Total Amount Paid for CHDP Services,% of Total Amount Paid
2008-2009,All,0,557757,24.34%,"$21,840,767 ",38.03%
2008-2009,All,1,314994,13.75%,"$7,262,306 ",12.64%
2008-2009,All,2,190989,8.33%,"$2,999,407 ",5.22%
2008-2009,All,3,161229,7.04%,"$2,366,522 ",4.12%
2008-2009,All,4,176035,7.68%,"$3,582,505 ",6.24%
2008-2009,All,5,118250,5.16%,"$1,945,515 ",3.39%
2008-2009,All,6,90235,3.94%,"$1,440,096 ",2.51%
2008-2009,All,7,68026,2.97%,"$1,093,704 ",1.90%
2008-2009,All,8,62404,2.72%,"$1,028,784 ",1.79%
2008-2009,All,9,60225,2.63%,"$1,088,722 ",1.90%
2008-2009,All,10,55674,2.43%,"$1,146,066 ",2.00%
2008-2009,All,11,66341,2.89%,"$1,519,587 ",2.65%
2008-2009,All,12,59625,2.60%,"$1,422,887 ",2.48%
2008-2009,All,13,56483,2.46%,"$1,415,222 ",2.46%
2008-2009,All,14,59342,2.59%,"$1,613,489 ",2.81%
