SFY,All Funding Sources,AGE,Test Type,# of Tests
2008-2009,All,0,Sickle Cell,37
2008-2009,All,0,Blood Lead,5039
2008-2009,All,0,Lead Test,8509
2008-2009,All,0,Lead Referral,1301
2008-2009,All,0,""VDRL, RPR, ART"",
2008-2009,All,0,Gonorrhea,16
2008-2009,All,0,Pap Smear,
2008-2009,All,0,Chlamydia,20
2008-2009,All,0,Pelvic Exam,13
2008-2009,All,0,Ova/ Parasites,20
2008-2009,All,0,Total Cholesterol,246
2008-2009,All,1,Sickle Cell,223
2008-2009,All,1,Blood Lead,35375
2008-2009,All,1,Lead Test,80239
2008-2009,All,1,Lead Referral,11508
2008-2009,All,1,""VDRL, RPR, ART"",20
2008-2009,All,1,Gonorrhea,
2008-2009,All,1,Pap Smear,22
2008-2009,All,1,Chlamydia,28
2008-2009,All,1,Pelvic Exam,24
2008-2009,All,1,Ova/ Parasites,92
2008-2009,All,1,Total Cholesterol,278
2008-2009,All,2,Sickle Cell,132
2008-2009,All,2,Blood Lead,26357
2008-2009,All,2,Lead Test,58149
2008-2009,All,2,Lead Referral,7525
2008-2009,All,2,""VDRL, RPR, ART"",12
2008-2009,All,2,Gonorrhea,
2008-2009,All,2,Pap Smear,22
2008-2009,All,2,Chlamydia,24
2008-2009,All,2,Pelvic Exam,11
2008-2009,All,2,Ova/ Parasites,56
2008-2009,All,2,Total Cholesterol,253
2008-2009,All,3,Sickle Cell,108
2008-2009,All,3,Blood Lead,10631
2008-2009,All,3,Lead Test,23375
2008-2009,All,3,Lead Referral,2830
2008-2009,All,3,""VDRL, RPR, ART"",20
2008-2009,All,3,Gonorrhea,0
2008-2009,All,3,Pap Smear,12
2008-2009,All,3,Chlamydia,
2008-2009,All,3,Pelvic Exam,
2008-2009,All,3,Ova/ Parasites,49
2008-2009,All,3,Total Cholesterol,298
2008-2009,All,4,Sickle Cell,116
2008-2009,All,4,Blood Lead,11455
2008-2009,All,4,Lead Test,24120
2008-2009,All,4,Lead Referral,2984
2008-2009,All,4,""VDRL, RPR, ART"",
2008-2009,All,4,Gonorrhea,
2008-2009,All,4,Pap Smear,
2008-2009,All,4,Chlamydia,21
2008-2009,All,4,Pelvic Exam,14
2008-2009,All,4,Ova/ Parasites,63
2008-2009,All,4,Total Cholesterol,505
2008-2009,All,5,Sickle Cell,53
2008-2009,All,5,Blood Lead,5608
2008-2009,All,5,Lead Test,12766
2008-2009,All,5,Lead Referral,1487
2008-2009,All,5,""VDRL, RPR, ART"",
2008-2009,All,5,Gonorrhea,
2008-2009,All,5,Pap Smear,
2008-2009,All,5,Chlamydia,13
2008-2009,All,5,Pelvic Exam,
2008-2009,All,5,Ova/ Parasites,47
2008-2009,All,5,Total Cholesterol,392
2008-2009,All,6,Sickle Cell,41
2008-2009,All,6,Blood Lead,1581
2008-2009,All,6,Lead Test,4221
2008-2009,All,6,Lead Referral,578
2008-2009,All,6,""VDRL, RPR, ART"",
2008-2009,All,6,Gonorrhea,
2008-2009,All,6,Pap Smear,
2008-2009,All,6,Chlamydia,23
2008-2009,All,6,Pelvic Exam,
2008-2009,All,6,Ova/ Parasites,37
2008-2009,All,6,Total Cholesterol,434
2008-2009,All,7,Sickle Cell,62
2008-2009,All,7,Blood Lead,571
2008-2009,All,7,Lead Test,1530
2008-2009,All,7,Lead Referral,279
2008-2009,All,7,""VDRL, RPR, ART"",
2008-2009,All,7,Gonorrhea,
2008-2009,All,7,Pap Smear,
2008-2009,All,7,Chlamydia,
2008-2009,All,7,Pelvic Exam,
2008-2009,All,7,Ova/ Parasites,26
2008-2009,All,7,Total Cholesterol,455
2008-2009,All,8,Sickle Cell,63
2008-2009,All,8,Blood Lead,424
2008-2009,All,8,Lead Test,1190
2008-2009,All,8,Lead Referral,170
2008-2009,All,8,""VDRL, RPR, ART"",
2008-2009,All,8,Gonorrhea,
2008-2009,All,8,Pap Smear,
2008-2009,All,8,Chlamydia,13
2008-2009,All,8,Pelvic Exam,
2008-2009,All,8,Ova/ Parasites,26
2008-2009,All,8,Total Cholesterol,509
2008-2009,All,9,Sickle Cell,42
2008-2009,All,9,Blood Lead,361
2008-2009,All,9,Lead Test,1036
2008-2009,All,9,Lead Referral,201
2008-2009,All,9,""VDRL, RPR, ART"",25
2008-2009,All,9,Gonorrhea,
2008-2009,All,9,Pap Smear,
2008-2009,All,9,Chlamydia,142
2008-2009,All,9,Pelvic Exam,
2008-2009,All,9,Ova/ Parasites,29
2008-2009,All,9,Total Cholesterol,640
2008-2009,All,10,Sickle Cell,50
2008-2009,All,10,Blood Lead,335
2008-2009,All,10,Lead Test,970
2008-2009,All,10,Lead Referral,155
2008-2009,All,10,""VDRL, RPR, ART"",42
2008-2009,All,10,Gonorrhea,
2008-2009,All,10,Pap Smear,
2008-2009,All,10,Chlamydia,105
2008-2009,All,10,Pelvic Exam,
2008-2009,All,10,Ova/ Parasites,28
2008-2009,All,10,Total Cholesterol,606
2008-2009,All,11,Sickle Cell,
2008-2009,All,11,Blood Lead,313
2008-2009,All,11,Lead Test,1004
2008-2009,All,11,Lead Referral,196
2008-2009,All,11,""VDRL, RPR, ART"",43
2008-2009,All,11,Gonorrhea,43
2008-2009,All,11,Pap Smear,32
2008-2009,All,11,Chlamydia,242
2008-2009,All,11,Pelvic Exam,30
2008-2009,All,11,Ova/ Parasites,13
2008-2009,All,11,Total Cholesterol,903
2008-2009,All,12,Sickle Cell,66
2008-2009,All,12,Blood Lead,292
2008-2009,All,12,Lead Test,1042
2008-2009,All,12,Lead Referral,160
2008-2009,All,12,""VDRL, RPR, ART"",52
2008-2009,All,12,Gonorrhea,147
2008-2009,All,12,Pap Smear,31
2008-2009,All,12,Chlamydia,347
2008-2009,All,12,Pelvic Exam,34
2008-2009,All,12,Ova/ Parasites,20
2008-2009,All,12,Total Cholesterol,774
2008-2009,All,13,Sickle Cell,72
2008-2009,All,13,Blood Lead,302
2008-2009,All,13,Lead Test,984
2008-2009,All,13,Lead Referral,122
2008-2009,All,13,""VDRL, RPR, ART"",104
2008-2009,All,13,Gonorrhea,286
2008-2009,All,13,Pap Smear,35
2008-2009,All,13,Chlamydia,482
2008-2009,All,13,Pelvic Exam,41
2008-2009,All,13,Ova/ Parasites,20
2008-2009,All,13,Total Cholesterol,790
2008-2009,All,14,Sickle Cell,77
2008-2009,All,14,Blood Lead,210
2008-2009,All,14,Lead Test,954
2008-2009,All,14,Lead Referral,135
