Accession PI Number,Country of Origin,DNA Content (pg),Predicted 2n Number,Counted 2n Number,Reported 2n Number
409709,South Africa,2.86,36,,
271215,India,2.9,36,,
295657,Zimbabwe,2.9,36,,
418802,India,2.9,36,,
271219,India,2.93,36,,
409367,South Africa,2.94,36,,
161633,South Africa,2.96,36,36,"2n=36; Fisher et al., 1954"
161637,South Africa,2.96,36,,
162399,Australia,2.96,36,,
193445,Australia,2.96,36,,
196008,Ethiopia,2.96,36,,
210695,Zimbabwe,2.96,36,,
215637,India,2.96,36,,
216374,USA,2.96,36,36,
218095,Pakistan,2.96,36,,
245374,India,2.96,36,,
245375,India,2.96,36,,
253726,Australia,2.96,36,,
266185,Jordan,2.96,36,,
271201,India,2.96,36,,
271204,India,2.96,36,,
271208,India,2.96,36,36,
271218,India,2.96,36,,
271220,India,2.96,36,,
275104,India,2.96,36,,
279596,Philippines,2.96,36,,
284831,South Africa,2.96,36,,
284836,Pakistan,2.96,36,,
284839,Australia,2.96,36,,
292638,Argentina,2.96,36,,
293325,Argentina,2.96,36,,
295655,Zimbabwe,2.96,36,,
295658,Zimbabwe,2.96,36,,
299523,South Africa,2.96,36,,
307621,Australia,2.96,36,,
315679,USA,2.96,36,,
319459,Tanzania,2.96,36,,
323445,Pakistan,2.96,36,,
346287,India,2.96,36,,
364431,South Africa,2.96,36,,
365650,Tanzania,2.96,36,,
365662,Tanzania,2.96,36,,
365680,Tanzania,2.96,36,,
365684,Tanzania,2.96,36,,
365694,Tanzania,2.96,36,36,
365731,Tanzania,2.96,36,,
365744,Tanzania,2.96,36,,
384426,India,2.96,36,,
384427,India,2.96,36,,
409152,South Africa,2.96,36,,
409240,South Africa,2.96,36,,
409247,South Africa,2.96,36,,
409280,South Africa,2.96,36,,
409286,South Africa,2.96,36,,
409290,South Africa,2.96,36,,
409362,South Africa,2.96,36,,
409381,South Africa,2.96,36,,
409391,South Africa,2.96,36,,
409409,South Africa,2.96,36,,
409444,South Africa,2.96,36,,
409515,South Africa,2.96,36,,
409589,South Africa,2.96,36,,
409590,South Africa,2.96,36,,
409616,South Africa,2.96,36,,
409642,South Africa,2.96,36,,
409663,South Africa,2.96,36,,
409667,South Africa,2.96,36,,
409685,South Africa,2.96,36,,
409686,South Africa,2.96,36,,
409691,South Africa,2.96,36,,
409705,South Africa,2.96,36,,
409711,South Africa,2.96,36,,
409712,South Africa,2.96,36,,
409713,South Africa,2.96,36,,
414447,South Africa,2.96,36,,
414450,South Africa,2.96,36,,
414452,South Africa,2.96,36,,
414456,South Africa,2.96,36,,
414461,South Africa,2.96,36,36,
414471,South Africa,2.96,36,36,
414489,South Africa,2.96,36,,
414492,South Africa,2.96,36,,
414494,South Africa,2.96,36,,
414496,South Africa,2.96,36,,
414510,South Africa,2.96,36,,
414525,South Africa,2.96,36,,
414526,South Africa,2.96,36,,
414672,Australia,2.96,36,,
657674,Kenya,2.96,36,,
657677,Tanzania,2.96,36,,
657679,USA,2.96,36,,
657686,Tanzania,2.96,36,,
365723,Tanzania,2.96,36,,
171944,South Africa,2.97,36,,"2n=36; Fisher et al., 1954"
308595,Italy (FAO),2.97,36,,
414521,South Africa,2.97,36,,
292637,Argentina,2.98,36,,
323444,Pakistan,2.98,36,,
