sample,date,latitude,longitude,size,sex,season,analyte,measured_value,lod,units,value,detected
TYP111205-01,12/5/2011,32.55334,-80.45541,M/L,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111205-02,12/5/2011,32.51476,-80.40867,L,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111215-01,12/15/2011,32.56793,-80.19315,M,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120119-02,1/19/2012,32.53508,-80.41873,L,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120119-05,1/19/2012,32.50996,-80.40843,M,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120223-01,2/23/2012,32.51926,-80.35011,S,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120223-02,2/23/2012,32.50039,-80.4462,L,female,winter,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120314-02,3/14/2012,32.63398,-80.014,L,female,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120328-04,3/28/2012,32.571*,-80.203*,M,female,spring,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120814-06,8/14/2012,32.53115,-80.4454,L,female,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120823-01,8/23/2012,32.75953,-79.86294,M,female,summer,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP120824-03,8/24/2012,32.47945,-80.42104,L,female,summer,cortisone,0.231,0.168,ng/g ww,0.231,TRUE
TYP111006-02,10/6/2011,32.74203,-79.87411,L,male,fall,cortisone,0.169,0.168,ng/g ww,0.169,TRUE
TYP111013-01,10/13/2011,32.65188,-80.01337,L,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111018-01,10/18/2011,32.81876,-79.92971,M,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111018-02,10/18/2011,32.81787,-79.92978,M,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111018-03,10/18/2011,32.82582,-79.89954,L,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111020-01,10/20/2011,32.68402,-79.94781,M,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111020-02,10/20/2011,32.68212,-79.9481,L,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111020-03,10/20/2011,32.65676,-79.96186,L,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111020-04,10/20/2011,32.65471,-79.95841,M,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
TYP111102-02,11/2/2011,32.78601,-79.91342,L,male,fall,cortisone,NA,0.168,ng/g ww,0.168,FALSE
