datetime_UTC,dec_year_UTC,yyyy,mm,dd,HH,ch4_ppb,ch4_SD,ch4_n_minutes,ch4_min,ch4_max,ch4_uncertainty,ch4_flags
2018-01-01 00:00:00,2018.000000,2018,01,01,00,2003.21,2.80,19,1998.99,2008.62,0.700,P..
2018-01-01 01:00:00,2018.000114,2018,01,01,01,2018.34,3.72,19,2010.95,2027.15,0.725,P..
2018-01-01 02:00:00,2018.000228,2018,01,01,02,2023.69,3.00,19,2016.56,2027.45,0.734,P..
2018-01-01 03:00:00,2018.000342,2018,01,01,03,2017.34,2.66,19,2011.43,2022.03,0.730,P..
2018-01-01 04:00:00,2018.000457,2018,01,01,04,2033.23,2.17,19,2028.19,2036.95,0.760,P..
2018-01-01 05:00:00,2018.000571,2018,01,01,05,2052.07,2.77,19,2047.84,2058.92,0.798,P..
2018-01-01 06:00:00,2018.000685,2018,01,01,06,2063.61,3.62,19,2055.78,2069.91,0.822,P..
2018-01-01 07:00:00,2018.000799,2018,01,01,07,2077.65,3.89,19,2071.05,2083.41,0.852,P..
2018-01-01 08:00:00,2018.000913,2018,01,01,08,2084.16,11.87,19,2070.55,2109.33,0.867,P..
2018-01-01 09:00:00,2018.001027,2018,01,01,09,2114.60,12.48,19,2089.83,2134.56,0.937,P..
2018-01-01 10:00:00,2018.001142,2018,01,01,10,2140.99,13.95,19,2122.71,2174.78,0.999,P..
2018-01-01 11:00:00,2018.001256,2018,01,01,11,2083.31,5.13,19,2074.50,2090.35,0.865,P..
2018-01-01 12:00:00,2018.001370,2018,01,01,12,nan,nan,0,nan,nan,nan,P..
2018-01-01 13:00:00,2018.001484,2018,01,01,13,2055.46,4.00,19,2050.78,2065.11,0.805,P..
2018-01-01 14:00:00,2018.001598,2018,01,01,14,2050.97,23.10,19,2003.07,2069.35,0.797,P..
2018-01-01 15:00:00,2018.001712,2018,01,01,15,1999.18,8.91,19,1978.66,2009.51,0.693,P..
2018-01-01 16:00:00,2018.001826,2018,01,01,16,1980.23,3.37,19,1972.76,1986.92,0.664,P..
2018-01-01 17:00:00,2018.001941,2018,01,01,17,1979.66,3.36,19,1976.18,1987.78,0.664,P..
2018-01-01 18:00:00,2018.002055,2018,01,01,18,1980.48,2.76,19,1976.17,1986.80,0.665,P..
2018-01-01 19:00:00,2018.002169,2018,01,01,19,1981.57,2.13,19,1977.81,1984.93,0.666,P..
2018-01-01 20:00:00,2018.002283,2018,01,01,20,1984.09,4.92,19,1979.71,1995.63,0.670,P..
2018-01-01 21:00:00,2018.002397,2018,01,01,21,1995.19,7.86,19,1986.04,2011.65,0.687,P..
2018-01-01 22:00:00,2018.002511,2018,01,01,22,2014.66,2.44,16,2011.17,2019.95,0.733,P..
2018-01-01 23:00:00,2018.002626,2018,01,01,23,2034.40,3.28,19,2027.12,2039.14,0.754,P..
2018-01-02 00:00:00,2018.002740,2018,01,02,00,2077.21,9.99,19,2059.62,2092.75,0.839,P..
2018-01-02 01:00:00,2018.002854,2018,01,02,01,2141.96,23.06,19,2099.95,2171.12,0.983,P..
2018-01-02 02:00:00,2018.002968,2018,01,02,02,2091.73,7.30,19,2081.79,2111.12,0.885,P..
2018-01-02 03:00:00,2018.003082,2018,01,02,03,2057.58,2.50,19,2053.95,2062.33,0.811,P..
2018-01-02 04:00:00,2018.003196,2018,01,02,04,2043.42,3.90,19,2036.81,2052.52,0.783,P..
2018-01-02 05:00:00,2018.003311,2018,01,02,05,2045.93,2.49,19,2041.99,2052.41,0.789,P..
2018-01-02 06:00:00,2018.003425,2018,01,02,06,2049.25,4.55,19,2041.34,2057.16,0.797,P..
2018-01-02 07:00:00,2018.003539,2018,01,02,07,2036.36,1.96,19,2033.15,2041.34,0.773,P..
2018-01-02 08:00:00,2018.003653,2018,01,02,08,2032.07,2.24,19,2028.26,2036.59,0.767,P..
2018-01-02 09:00:00,2018.003767,2018,01,02,09,2027.48,1.93,19,2023.99,2032.21,0.761,P..
2018-01-02 10:00:00,2018.003881,2018,01,02,10,2021.79,3.01,19,2016.85,2030.61,0.752,P..
2018-01-02 11:00:00,2018.003995,2018,01,02,11,2036.29,4.44,19,2028.83,2044.30,0.780,P..
2018-01-02 12:00:00,2018.004110,2018,01,02,12,2019.09,1.84,20,2016.60,2023.88,0.747,P..
2018-01-02 13:00:00,2018.004224,2018,01,02,13,2033.41,4.33,19,2025.20,2040.73,0.764,P..
2018-01-02 14:00:00,2018.004338,2018,01,02,14,2022.46,5.04,19,2016.46,2033.31,0.744,P..
2018-01-02 15:00:00,2018.004452,2018,01,02,15,2017.20,2.91,19,2013.55,2025.55,0.734,P..
2018-01-02 16:00:00,2018.004566,2018,01,02,16,2029.93,4.01,19,2019.52,2035.27,0.755,P..
2018-01-02 17:00:00,2018.004680,2018,01,02,17,2056.01,3.98,19,2049.87,2062.54,0.804,P..
2018-01-02 18:00:00,2018.004795,2018,01,02,18,2050.54,5.96,19,2043.61,2061.55,0.792,P..
2018-01-02 19:00:00,2018.004909,2018,01,02,19,2042.52,1.98,19,2038.76,2046.40,0.776,P..
2018-01-02 20:00:00,2018.005023,2018,01,02,20,2041.67,2.80,19,2038.79,2049.60,0.775,P..
2018-01-02 21:00:00,2018.005137,2018,01,02,21,nan,nan,0,nan,nan,nan,P..
