Employer_Name,County,City,Date_AVSE_Approved,ObjectId
Northern Trust,Maricopa,Tempe,4/10/2018,1
O'Rielly Chevrolet,Pima,Tucson,5/16/2018,2
Phocus Virtual Communications,Maricopa,Casa Grande,5/21/2018,3
Phoenix NAP Global Services,Maricopa,Phoenix,5/22/2018,4
Pima Community College,Pima,Tucson,1/29/2019,5
Pima County,Pima,Tucson,10/24/2018,6
Pima County Sheriff's Department,Pima,Tucson,2/12/2018,7
Pinal County,Pinal,Florence,10/24/2018,8
Predictive Group,Maricopa,Phoenix,3/14/2018,9
Printing Specialists,Maricopa,Tempe,1/29/2019,10
PRO EM,Maricopa,Phoenix,8/1/2015,11
""Prudential Financial Inc."",Maricopa,Scottsdale,2/14/2018,12
Quicken Loans,Maricopa,Phoenix,11/1/2015,13
""R.E. Darling Co. Inc."",Pima,Tucson,2/19/2018,14
Rayhons,Maricopa,Mesa,2/15/2017,15
Raytheon,Pima,Tucson,1/29/2019,16
Retronix Semiconductor,Maricopa,Chandler,Pending,17
Rummel Construction,Maricopa,Scottsdale,8/13/2018,18
Salt River Project,Maricopa,Mesa,8/17/2015,19
Schreiber Foods,Maricopa,Tempe,10/1/2015,20
Sharp Decisions,Maricopa,Tempe,7/14/2018,21
Social Security Administration,Maricopa,Phoenix,8/18/2018,22
Spectrum Printing,Pima,Tucson,5/21/2018,23
Stanley Security,Maricopa,Tempe,8/14/2018,24
STARA Technologies Corporation,Maricopa,Phoenix,6/2/2017,25
STG,Cochise,Sierra Vista,2/1/2016,26
T.E.A.M. Security,Maricopa,Tempe,8/1/2015,27
Terra Verde,Maricopa,Phoenix,5/22/2018,28
Terros Health,Maricopa,Phoenix,8/9/2018,29
Tetra Tech,Maricopa,Phoenix,7/12/2016,30
The ChrisLee Group,Maricopa,Scottsdale,4/3/2018,31
""The Geo Group Inc."",Pinal,Florence,8/9/2017,32
The Hartford,Maricopa,Phoenix,6/22/2017,33
Town of Gilbert,Maricopa,Gilbert,10/29/2015,34
""Transdev Services Inc."",Maricopa,Phoenix,12/13/2018,35
Triax Industries,Maricopa,Chandler,6/15/2017,36
TriWest Healthcare Alliance,Maricopa,Phoenix,9/3/2015,37
Tucson Electric Power (TEP),Pima,Tucson,6/15/2016,38
United Rentals,Maricopa,Phoenix,6/2/2016,39
University of Arizona,Pima,Tucson,Date Unknown,40
US Foods,Maricopa,Phoenix,8/14/2018,41
USAA,Maricopa,Phoenix,8/17/2016,42
Ventana Medical Systems,Pima,Tucson,9/28/2015,43
Veterans Business Bancorp,Maricopa,Scottsdale,Pending,44
Vets4Biz,Maricopa,Phoenix,10/24/2018,45
WageWorks,Maricopa,Tempe,11/6/2018,46
Wells Fargo,Maricopa,Chandler,9/19/2017,47
Western Alliance Bank,Maricopa,Phoenix,3/7/2018,48
Young's Market Company,Maricopa,Phoenix,10/12/2018,49
City of Peoria,Maricopa,Peoria,10/11/2018,50
City of Phoenix,Maricopa,Phoenix,9/24/2015,51
City of Surprise,Maricopa,Surprise,10/5/2017,52
City of Tempe,Maricopa,Tempe,2/20/2015,53
Cognizant,Maricopa,Phoenix,2/15/2018,54
Contracted Driver Services (CDS),Maricopa,Goodyear,7/9/2018,55
Copper Sun Construction,Maricopa,Apache Junction,8/1/2015,56
Crescent Crown Distributing,Maricopa,Mesa,3/14/2018,57
DBSI,Maricopa,Chandler,9/11/2018,58
DHL,Maricopa,Tempe,6/16/2018,59
Dignity Health,Maricopa,""Phoenix
Glendale"",Pending,60
Discount Tire,Maricopa,Scottsdale,7/9/2018,61
DSW Drivers,Maricopa,Phoenix,10/24/2018,62
DynCorp International,Pima,Tucson,Date Unknown,63
Edgeneering,Maricopa,Scottsdale,8/24/2015,64
Empire CAT,Maricopa,Mesa,8/15/2018,65
Enterprise Holdings,Maricopa,Phoenix,7/9/2018,66
Ewing Irrigation and Landscape Supply,Maricopa,Phoenix,8/13/2018,67
FNF Construction,Maricopa,Tempe,1/27/2016,68
Freeport-McMoRan,Maricopa,Phoenix,4/3/2018,69
Freshly,Maricopa,Phoenix,11/18/2016,70
""Gannett Co. Inc."",Maricopa,Phoenix,12/13/2016,71
GC Services Limited Partners,Maricopa,Mesa,6/27/2018,72
Generations Home Care,Maricopa,Tempe,8/14/2018,73
Goodwill of Central and Northern Arizona,Maricopa,Phoenix,11/5/2015,74
HDS Truck Driving Institute,Pima,""Tucson
Yuma"",10/24/2018,75
""HDS Inc."",Pima,Tucson,10/24/2018,76
Honeywell Aerospace,Maricopa,Phoenix,10/16/2018,77
24-7 Intouch,Maricopa,Mesa,6/19/2018,78
Honor Health,Maricopa,Scottsdale,8/13/2018,79
Hunter Contracting Co.,Maricopa,Gilbert,1/29/2019,80
Huss Brewing Company,Maricopa,Tempe,10/12/2018,81
Hyatt Regency Phoenix,Maricopa,Phoenix,3/11/2016,82
INT Technologies,Maricopa,Mesa,8/20/2015,83
""Interstate Bank Developers Inc."",Maricopa,Scottsdale,Pending,84
Iron Workers Local 847,Maricopa,Phoenix,3/13/2018,85
Jim Click Automotive,Pima,Tucson,5/26/2016,86
Legends,Maricopa,Phoenix,12/5/2018,87
Liberty Crane and Rigging Consultants,Maricopa,Phoenix,8/13/2018,88
Life Development Institute,Maricopa,Glendale,1/29/2019,89
Linkages,Pima,Tucson,9/15/2016,90
Lloyd Construction,Pima,Tucson,4/10/2018,91
