cmTop,cmBot,ageTop (yr BP),AgeBot (yr BP),CharVol (cm3),CharCount  (#)
0,1,-58,-55.396,2,22
1,2,-55.396,-42.027,2,8
2,3,-42.027,-24.014,2,4
3,4,-24.014,-1.4228,2,1
4,5,-1.4228,29.378,2,1
5,6,29.378,57.725,2,0
6,7,57.725,101.2903313,2,1
7,8,101.2903313,144.2645063,2,1
8,9,144.2645063,186.4110626,2,0
9,10,186.4110626,227.3161907,4,0
10,11,227.3161907,266.5660812,4,1
11,12,266.5660812,303.7469248,4,0
12,13,303.7469248,338.4449121,4,2
13,14,338.4449121,370.2462337,4,0
14,15,370.2462337,398.857137,4,0
15,16,398.857137,424.6849599,4,0
16,17,424.6849599,448.3908046,4,0
17,18,448.3908046,470.6361235,4,0
18,19,470.6361235,492.0823689,4,1
19,20,492.0823689,513.3909932,4,0
20,21,513.3909932,535.2234486,4,0
21,22,535.2234486,558.2411875,4,0
22,23,558.2411875,583.1056623,4,0
23,24,583.1056623,610.4783252,4,2
24,25,610.4783252,641.0206286,4,0
25,26,641.0206286,675.3940249,4,1
26,27,675.3940249,714.2599663,4,1
27,28,714.2599663,758.2799052,4,0
28,29,758.2799052,808.115294,4,0
29,30,808.115294,864.4271366,4,1
30,31,864.4271366,927.5514148,4,0
31,32,927.5514148,996.9261527,4,2
32,33,996.9261527,1071.835605,4,0
33,34,1071.835605,1151.564026,4,0
34,35,1151.564026,1235.395672,4,0
35,36,1235.395672,1322.614796,4,3
36,37,1322.614796,1412.505654,4,0
37,38,1412.505654,1504.3525,4,0
38,39,1504.3525,1597.439589,4,0
39,40,1597.439589,1691.051176,4,0
40,41,1691.051176,1784.471516,4,0
41,42,1784.471516,1876.984864,4,0
42,43,1876.984864,1967.875473,4,2
43,44,1967.875473,2056.4276,4,0
44,45,2056.4276,2141.925499,4,1
45,46,2141.925499,2223.653425,4,0
46,47,2223.653425,2300.895632,4,2
47,48,2300.895632,2372.936375,4,0
48,49,2372.936375,2439.05991,4,0
49,50,2439.05991,2498.55049,4,0
50,51,2498.55049,2550.944319,4,0
51,52,2550.944319,2597.248891,4,2
52,53,2597.248891,2639.004242,4,0
53,54,2639.004242,2677.751144,4,0
54,55,2677.751144,2715.030368,4,0
55,56,2715.030368,2752.382687,4,0
56,57,2752.382687,2791.348871,4,0
