site,plot,tree ,number_of_sections_crossdated,cut_height_cm),species,live?,condition,UTM-Easting,UTM-Northing,North_American_datum,zone,comments
BBE,15C,14,1,15,Pinus ponderosa,snag,bark,283812,4921784,83,11,
BBE,15C,16,1,15,Pinus ponderosa,snag,bark,283802,4921789,83,11,
BBE,15C,17,1,52,Pinus ponderosa,snag,bark,283799,4921787,83,11,
BBE,15C,24,1,15,Pinus ponderosa,live,bark,283827,4921787,83,11,
BBE,15C,29,1,8,Pinus ponderosa,log,eroded,283835,4921753,83,11,
BBE,15D,40,1,-999,Pinus ponderosa,snag,sapwood,284304,4921803,83,11,
BBE,15D,41,1,-999,Pinus ponderosa,snag,eroded,284304,4921803,83,11,
BBE,15D,42,1,-999,Pinus ponderosa,snag,eroded,284319,4921762,83,11,
BBE,15D,43,1,-999,Pinus ponderosa,log,eroded,284319,4921703,83,11,
BBE,15D,44,1,-999,Pinus ponderosa,log,eroded,284312,4921727,83,11,
BBE,15D,45,1,-999,Pinus ponderosa,log,eroded,284312,4921719,83,11,
BBE,15D,46,2,30,Pinus ponderosa,log,eroded,284278,4921717,83,11,B cut height 45 cm
BBE,15E,6,3,15,Pinus ponderosa,log,eroded,284826,4921741,83,11,
BBE,15E,14,1,15,Pinus ponderosa,log,sapwood,284808,4921759,83,11,
BBE,15E,40,1,-999,Pinus ponderosa,log,eroded,284843,4921730,83,11,
BBE,15E,41,1,-999,Pinus ponderosa,log,eroded,284825,4921738,83,11,
BBE,15E,42,1,-999,Pinus ponderosa,live,bark,284780,4921709,83,11,
BBE,15E,43,1,-999,Pinus ponderosa,live,bark,284761,4921745,83,11,
BBE,15E,44,1,-999,Pinus ponderosa,snag,bark,284794,4921822,83,11,
BBE,15E,45,1,-999,Pinus ponderosa,snag,eroded,284800,4921753,83,11,
BBE,15F,40,1,20,Pinus ponderosa,log,eroded,285276,4921762,83,11,
BBE,15F,41,1,50,Pinus ponderosa,snag,eroded,285248,4921723,83,11,
BBE,15F,42,1,10,Pinus ponderosa,snag,eroded,285392,4921785,83,11,
BBE,15F,43,1,20,Pinus ponderosa,snag,eroded,285307,4921732,83,11,
BBE,16C,40,3,5,Pinus ponderosa,log,eroded,283770,4921270,83,11,B cut height 60 cm; C cut height 220 cm
BBE,16C,41,1,-999,Pinus ponderosa,snag,sapwood,283753,4921223,83,11,
BBE,16C,42,1,-999,Pinus ponderosa,snag,eroded,283728,4921305,83,11,
BBE,16C,43,1,-999,Pinus ponderosa,live,bark,283726,4921292,83,11,
BBE,16C,44,2,20,Pinus ponderosa,snag,sapwood,283733,4921279,83,11,B cut height 45 cm
BBE,16C,45,1,-999,Pinus ponderosa,log,eroded,283765,4921358,83,11,
BBE,16D,8,1,15,Pinus ponderosa,log,eroded,284318,4921267,83,11,
BBE,16D,40,1,70,Pinus ponderosa,live,bark,284315,4921318,83,11,
BBE,16D,41,1,47,Pinus ponderosa,snag,eroded,284350,4921289,83,11,
BBE,16E,40,1,-999,Pinus ponderosa,snag,eroded,284813,4921208,83,11,
BBE,16E,41,1,-999,Pinus ponderosa,stump,eroded,284799,4921300,83,11,
BBE,16E,42,1,-999,Pinus ponderosa,snag,sapwood,284800,4921298,83,11,
BBE,16E,43,0,5,Pinus ponderosa,log,eroded,284789,4921265,83,11,B cut height 0 cm; C cut height 30 cm
BBE,16F,40,1,0,Pinus ponderosa,log,eroded,285299,4921314,83,11,
BBE,16F,41,1,15,Pinus ponderosa,log,eroded,285297,4921321,83,11,
BBE,16F,42,1,30,Pinus ponderosa,snag,eroded,285262,4921280,83,11,
BBE,16F,43,2,0,Pinus ponderosa,log,eroded,285290,4921200,83,11,
BBE,16F,44,1,25,Pinus ponderosa,live,bark,285240,4921262,83,11,
BBE,17C,41,1,-999,Pinus ponderosa,live,bark,283833,4920829,83,11,
BBE,17C,42,0,50,Pinus ponderosa,log,eroded,283841,4920677,83,11,B cut height 80 cm
BBE,17C,43,2,-999,Pinus ponderosa,snag,sapwood,283863,4920702,83,11,
