site,plot,dbh (cm),species,status,condition,charred?,comments
BBE,15C,43,Pseudotsuga menziesii,log,bark,no,
BBE,15C,48,Pinus ponderosa,stump,eroded,no,
BBE,15C,27,Pinus ponderosa,log,sapwood,no,
BBE,15C,21,Pinus ponderosa,stump,sapwood,no,
BBE,15C,43,Pinus ponderosa,snag,bark,no,
BBE,15C,49,Pseudotsuga menziesii,snag,bark,no,
BBE,15C,32,Pseudotsuga menziesii,snag,bark,no,
BBE,15C,46,Pseudotsuga menziesii,snag,bark,no,
BBE,15C,40,Pseudotsuga menziesii,log,eroded,no,
BBE,15C,38,Pseudotsuga menziesii,log,eroded,no,
BBE,15C,51,Pseudotsuga menziesii,snag,bark,no,
BBE,15C,78,Pseudotsuga menziesii,snag,bark,no,
BBE,15D,21,Pinus ponderosa,log,bark,no,
BBE,15D,88,Pinus ponderosa,snag,sapwood,yes,
BBE,15E,46,Pinus ponderosa,stump,eroded,yes,
BBE,15E,21,Abies grandis-Abies concolor,snag,bark,no,
BBE,15E,28,Pseudotsuga menziesii,snag,bark,no,
BBE,15E,32,Abies grandis-Abies concolor,snag,bark,no,
BBE,15E,28,Abies grandis-Abies concolor,snag,bark,no,
BBE,15E,51,Larix occidentalis,snag,bark,yes,
BBE,15F,59,Pinus ponderosa,snag,sapwood,yes,
BBE,15F,33,Pinus ponderosa,snag,sapwood,yes,
BBE,15F,85,Pinus ponderosa,log,sapwood,yes,
BBE,15F,74,Pinus ponderosa,log,eroded,yes,
BBE,16C,62,Pinus ponderosa,snag,eroded,yes,
BBE,16C,62,Pinus ponderosa,snag,sapwood,yes,
BBE,16C,33,Pinus ponderosa,log,eroded,yes,
BBE,16C,39,Pinus ponderosa,log,eroded,yes,
BBE,16C,32,Pinus ponderosa,snag,sapwood,no,
BBE,16C,60,Pseudotsuga menziesii,snag,bark,no,
BBE,16D,26,Pinus ponderosa,snag,eroded,yes,
BBE,16D,22,Pseudotsuga menziesii,log,bark,no,
BBE,16D,25,Pseudotsuga menziesii,log,bark,no,
BBE,16D,26,Pinus ponderosa,snag,sapwood,yes,
BBE,16D,30,Pinus ponderosa,log,eroded,yes,
BBE,16D,20,Pseudotsuga menziesii,log,bark,yes,
BBE,16D,60,Pinus ponderosa,snag,bark,yes,
BBE,16D,25,Pinus ponderosa,log,bark,yes,
BBE,16D,20,Pinus ponderosa,log,bark,yes,
BBE,16D,21,Pinus ponderosa,log,bark,no,
BBE,16D,44,Pinus ponderosa,log,eroded,yes,
BBE,16D,46,Pseudotsuga menziesii,snag,bark,yes,
BBE,16E,21,Pinus ponderosa,snag,eroded,yes,
BBE,16E,111,Pinus ponderosa,log,eroded,yes,
BBE,16E,33,Pinus ponderosa,log,sapwood,yes,
BBE,16E,65,Pinus ponderosa,log,eroded,yes,
BBE,16E,20,Pinus ponderosa,log,bark,no,
BBE,16F,108,Pinus ponderosa,log,eroded,no,
BBE,16F,30,Abies grandis-Abies concolor,log,eroded,no,
BBE,16F,29,Abies grandis-Abies concolor,snag,bark,no,
BBE,16F,99,Pinus ponderosa,log,eroded,yes,
BBE,16F,21,Abies grandis-Abies concolor,snag,bark,no,
BBE,16F,64,Pinus ponderosa,log,eroded,yes,
BBE,16F,55,Pseudotsuga menziesii,log,bark,no,
BBE,16F,41,Juniperus occidentalis,log,bark,yes,
BBE,16F,26,Pseudotsuga menziesii,log,bark,no,
BBE,17C,21,Abies grandis-Abies concolor,log,bark,yes,
BBE,17C,40,Pseudotsuga menziesii,snag,bark,no,
BBE,17C,42,Pseudotsuga menziesii,snag,bark,no,
BBE,17C,32,Pinus ponderosa,log,eroded,no,
BBE,17C,40,Abies grandis-Abies concolor,log,eroded,no,
BBE,17C,60,Pinus ponderosa,log,eroded,no,
BBE,17C,71,Pinus ponderosa,snag,sapwood,no,
BBE,17C,80,Pinus ponderosa,snag,eroded,no,
BBE,17C,80,Pinus ponderosa,snag,eroded,yes,
BBE,17C,27,Pseudotsuga menziesii,log,bark,no,
BBE,17C,29,Abies grandis-Abies concolor,log,bark,no,
BBE,17C,31,Abies grandis-Abies concolor,log,bark,no,
BBE,17C,25,Abies grandis-Abies concolor,log,sapwood,no,
BBE,17C,37,Abies grandis-Abies concolor,log,bark,no,
BBE,17C,35,Abies grandis-Abies concolor,log,bark,no,
BBE,17C,100,Abies grandis-Abies concolor,snag,eroded,no,
BBE,17D,46,Pseudotsuga menziesii,log,eroded,no,
BBE,17D,29,Pseudotsuga menziesii,log,eroded,no,
BBE,17D,54,Pseudotsuga menziesii,snag,eroded,no,
BBE,17D,72,Pseudotsuga menziesii,snag,eroded,no,
BBE,17D,54,Pseudotsuga menziesii,snag,bark,no,
BBE,17D,40,Pinus ponderosa,log,sapwood,yes,
BBE,17D,35,Pinus ponderosa,log,eroded,yes,
BBE,17D,53,Pseudotsuga menziesii,log,eroded,no,
BBE,17D,44,Pseudotsuga menziesii,log,eroded,yes,
BBE,17D,34,Abies grandis-Abies concolor,log,bark,no,
BBE,17D,20,Pseudotsuga menziesii,log,bark,no,
BBE,17D,80,Pseudotsuga menziesii,log,eroded,yes,
BBE,17D,24,Pseudotsuga menziesii,log,bark,no,
BBE,17D,38,Pseudotsuga menziesii,log,eroded,no,
BBE,17E,25,Pseudotsuga menziesii,log,bark,no,
BBE,17E,23,Pseudotsuga menziesii,snag,bark,no,
BBE,17E,27,Juniperus occidentalis,snag,sapwood,no,
BBE,17F,116,Pinus ponderosa,snag,eroded,yes,
BBE,17F,22,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,20,Pseudotsuga menziesii,log,bark,no,
BBE,17F,20,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,22,Pseudotsuga menziesii,log,bark,no,
BBE,17F,25,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,23,Pseudotsuga menziesii,log,bark,no,
BBE,17F,71,Pinus ponderosa,log,eroded,yes,
BBE,17F,22,Pseudotsuga menziesii,log,eroded,no,
BBE,17F,33,Pseudotsuga menziesii,log,eroded,no,
BBE,17F,27,Pseudotsuga menziesii,log,eroded,no,
BBE,17F,59,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,24,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,46,Pseudotsuga menziesii,log,eroded,no,
BBE,17F,26,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,21,Pseudotsuga menziesii,log,bark,no,
BBE,17F,20,Pseudotsuga menziesii,log,bark,no,
BBE,17F,26,Pseudotsuga menziesii,snag,bark,no,
BBE,17F,43,Pinus ponderosa,log,eroded,no,
BBE,17F,46,Pseudotsuga menziesii,snag,bark,no,
BBE,18C,54,Pseudotsuga menziesii,snag,bark,yes,
BBE,18D,32,Pseudotsuga menziesii,log,sapwood,no,
BBE,18D,36,Pseudotsuga menziesii,log,sapwood,no,
BBE,18D,45,Pseudotsuga menziesii,snag,bark,no,
BBE,18D,25,Pseudotsuga menziesii,snag,eroded,no,
BBE,18D,33,Abies grandis-Abies concolor,log,bark,no,
BBE,18D,23,Abies grandis-Abies concolor,log,bark,no,
BBE,18D,43,Pinus ponderosa,log,eroded,yes,
BBE,18D,29,Pseudotsuga menziesii,log,bark,no,
