Tract,Count
040500,-1
070600,-1
140300,-1
141000,-1
202300,-1
261200,-1
481000,-1
562800,-1
564400,-1
981800,-1
020300,-1
141100,-1
562000,-1
080400,-1
310300,-1
040600,-1
090200,-1
101800,-1
151600,-1
563100,-1
080600,-1
140800,-1
190300,-1
320700,-1
191100,-1
170200,-1
250300,-1
060500,-1
070800,-1
140600,-1
250700,-1
080200,-1
040900,-1
241200,-1
310200,-1
090100,11
320600,13
080700,14
170600,14
320400,14
101400,15
141300,15
191700,16
262000,16
191900,17
040200,18
101100,18
250900,18
141400,19
281500,19
110600,21
563200,22
090300,23
220600,23
270100,23
561700,23
120700,26
140500,26
151700,26
270800,26
563000,28
080900,29
191800,31
270400,31
160800,35
210700,35
100500,37
192000,38
110200,39
260700,39
050600,42
191500,42
562700,42
191600,43
561600,43
191400,44
240600,44
101600,48
130200,48
260200,49
111400,50
160900,50
261500,52
561900,53
060300,54
180700,54
270300,54
010300,57
051000,59
120400,63
130100,63
290100,64
101700,67
130600,78
120800,79
202200,81
261400,85
130400,87
562400,92
562600,93
050900,95
130300,95
020100,99
562900,106
290200,116
271500,123
180300,126
120300,135
281400,137
111300,138
562500,141
290400,142
050100,160
562300,162
030500,188
051100,214
300100,235
111500,250
Grand Total,5413
(blank),
