Population/Stock Number,Migration Year,Species,Occupied River Miles,Abundance ,Density
1236,2002,Hamma Hamma River Chinook Salmon,2.7,26344,9757
1236,2003,Hamma Hamma River Chinook Salmon,2.7,3225,1194
1236,2004,Hamma Hamma River Chinook Salmon,2.7,3813,1412
1236,2005,Hamma Hamma River Chinook Salmon,2.7,6683,2475
1236,2006,Hamma Hamma River Chinook Salmon,2.7,468,173
1236,2007,Hamma Hamma River Chinook Salmon,2.7,,
1236,2008,Hamma Hamma River Chinook Salmon,2.7,220,81
1236,2009,Hamma Hamma River Chinook Salmon,2.7,279,103
1236,2010,Hamma Hamma River Chinook Salmon,2.7,1841,682
1236,2011,Hamma Hamma River Chinook Salmon,2.7,10664,3950
2429,2002,Hamma Hamma Summer Chum,1.6,33610,21006
2429,2003,Hamma Hamma Summer Chum,1.6,135095,84435
2429,2004,Hamma Hamma Summer Chum,1.6,93288,58305
2429,2005,Hamma Hamma Summer Chum,1.6,843613,527258
2429,2006,Hamma Hamma Summer Chum,1.6,12077,7548
2429,2007,Hamma Hamma Summer Chum,1.6,,
2429,2008,Hamma Hamma Summer Chum,1.6,13433,8396
2429,2009,Hamma Hamma Summer Chum,1.6,115280,72050
2429,2010,Hamma Hamma Summer Chum,1.6,14859,9287
2429,2011,Hamma Hamma Summer Chum,1.6,111633,69771
2447,2007,Duckabush Summer Chum,1.6,,
2447,2008,Duckabush Summer Chum,1.6,28500,17813
2447,2009,Duckabush Summer Chum,1.6,205000,128125
2447,2010,Duckabush Summer Chum,1.6,9927,6204
2447,2011,Duckabush Summer Chum,1.6,347597,217248
2521,2005,Salmon Creek Summer Chum,1.8,,
2521,2006,Salmon Creek Summer Chum,1.8,,
2521,2007,Salmon Creek Summer Chum,1.8,,
2521,2008,Salmon Creek Summer Chum,1.8,184331,102406
2521,2009,Salmon Creek Summer Chum,1.8,364275,202375
2521,2010,Salmon Creek Summer Chum,1.8,103818,57677
2521,2011,Salmon Creek Summer Chum,1.8,392595,218108
6222,2007,Dewatto River Steelhead,17.4,3055,176
6222,2008,Dewatto River Steelhead,17.4,2115,122
6222,2009,Dewatto River Steelhead,17.4,3440,198
6222,2010,Dewatto River Steelhead,17.4,1378,79
6222,2011,Dewatto River Steelhead,17.4,862,50
6224,2007,Tahuya River Steelhead,26.4,5185,196
6224,2008,Tahuya River Steelhead,26.4,4837,183
6224,2009,Tahuya River Steelhead,26.4,3843,146
6224,2010,Tahuya River Steelhead,26.4,9254,351
6224,2011,Tahuya River Steelhead,26.4,4731,179
6245,2007,Skokomish River Steelhead,31.6,7637,242
6245,2008,Skokomish River Steelhead,31.6,3965,125
6245,2009,Skokomish River Steelhead,31.6,2008,64
6245,2010,Skokomish River Steelhead,31.6,6396,202
6245,2011,Skokomish River Steelhead,31.6,10471,331
6290,1978,Snow Creek Steelhead,9.8,1551,158
6290,1979,Snow Creek Steelhead,9.8,1040,106
6290,1980,Snow Creek Steelhead,9.8,1505,154
6290,1981,Snow Creek Steelhead,9.8,1689,172
6290,1982,Snow Creek Steelhead,9.8,1881,192
6290,1983,Snow Creek Steelhead,9.8,1418,145
6290,1984,Snow Creek Steelhead,9.8,1255,128
6290,1985,Snow Creek Steelhead,9.8,2222,227
6290,1986,Snow Creek Steelhead,9.8,665,68
6290,1987,Snow Creek Steelhead,9.8,2009,205
6290,1988,Snow Creek Steelhead,9.8,689,70
6290,1989,Snow Creek Steelhead,9.8,1861,190
6290,1990,Snow Creek Steelhead,9.8,1484,151
6290,1991,Snow Creek Steelhead,9.8,1310,134
6290,1992,Snow Creek Steelhead,9.8,2227,227
6290,1993,Snow Creek Steelhead,9.8,1661,169
6290,1994,Snow Creek Steelhead,9.8,1731,177
6290,1995,Snow Creek Steelhead,9.8,445,45
6290,1996,Snow Creek Steelhead,9.8,2163,221
6290,1997,Snow Creek Steelhead,9.8,1312,134
6290,1998,Snow Creek Steelhead,9.8,926,94
6290,2000,Snow Creek Steelhead,9.8,1433,146
6290,2001,Snow Creek Steelhead,9.8,2494,254
6290,2002,Snow Creek Steelhead,9.8,2298,234
6290,2003,Snow Creek Steelhead,9.8,2589,264
6290,2004,Snow Creek Steelhead,9.8,525,54
6290,2005,Snow Creek Steelhead,9.8,1103,113
6290,2006,Snow Creek Steelhead,9.8,661,67
6290,2007,Snow Creek Steelhead,9.8,915,93
6290,2008,Snow Creek Steelhead,9.8,277,28
6290,2009,Snow Creek Steelhead,9.8,410,42
6290,2010,Snow Creek Steelhead,9.8,808,82
6290,2011,Snow Creek Steelhead,9.8,,
6287,1978,Big Beef Creek Steelhead,6.9,881,128
6287,1979,Big Beef Creek Steelhead,6.9,870,126
6287,1980,Big Beef Creek Steelhead,6.9,1685,244
6287,1981,Big Beef Creek Steelhead,6.9,1578,229
6287,1982,Big Beef Creek Steelhead,6.9,1269,184
6287,1983,Big Beef Creek Steelhead,6.9,1237,179
6287,1984,Big Beef Creek Steelhead,6.9,1770,257
6287,1985,Big Beef Creek Steelhead,6.9,1189,172
6287,1986,Big Beef Creek Steelhead,6.9,1210,175
6287,1987,Big Beef Creek Steelhead,6.9,1153,167
6287,1988,Big Beef Creek Steelhead,6.9,990,143
6287,1989,Big Beef Creek Steelhead,6.9,1284,186
6287,1990,Big Beef Creek Steelhead,6.9,1597,231
6287,1991,Big Beef Creek Steelhead,6.9,1089,158
6287,1992,Big Beef Creek Steelhead,6.9,1595,231
6287,1993,Big Beef Creek Steelhead,6.9,1181,171
6287,1994,Big Beef Creek Steelhead,6.9,1614,234
6287,1995,Big Beef Creek Steelhead,6.9,1311,190
6287,1996,Big Beef Creek Steelhead,6.9,1436,208
6287,1997,Big Beef Creek Steelhead,6.9,1351,196
6287,1998,Big Beef Creek Steelhead,6.9,1551,225
6287,1999,Big Beef Creek Steelhead,6.9,1776,257
6287,2000,Big Beef Creek Steelhead,6.9,1316,191
6287,2001,Big Beef Creek Steelhead,6.9,1932,280
6287,2002,Big Beef Creek Steelhead,6.9,2191,317
6287,2003,Big Beef Creek Steelhead,6.9,1261,183
6287,2004,Big Beef Creek Steelhead,6.9,1939,281
6287,2005,Big Beef Creek Steelhead,6.9,1664,241
6287,2006,Big Beef Creek Steelhead,6.9,964,140
6287,2007,Big Beef Creek Steelhead,6.9,913,132
6287,2008,Big Beef Creek Steelhead,6.9,925,134
6287,2009,Big Beef Creek Steelhead,6.9,1005,146
6287,2010,Big Beef Creek Steelhead,6.9,706,102
6287,2011,Big Beef Creek Steelhead,6.9,311,45
