Social Security Administration (SSA),,
Spoken Language Preferences among End Stage Renal Disease (ESRD) Claims,,
""NOTE: A fiscal year (FY) runs from October-September. For example, October of FY 2015 is October of calendar year 2014."",,
,,
Language,""FY 2016
(excluding 53rd week)"",""FY 2016
(including 53rd week)""
ENGLISH,""38,208"",""38,999""
ALASKA NATIVE,0,0
ALBANIAN,1,1
AMERICAN INDIAN-APACHE,0,0
AMERICAN INDIAN-CHOCTAW,1,1
AMERICAN INDIAN-CROW,0,0
AMERICAN INDIAN-DAKOTA,0,0
AMERICAN INDIAN-LAKOTA,0,0
AMERICAN INDIAN-NAKOTA,1,1
AMERICAN INDIAN-NAVAJO,5,5
AMERICAN INDIAN-OTHER,1,1
AMERICAN INDIAN-ZUNI,1,1
AMERICAN SIGN LANGUAGE,17,18
AMHARIC,3,3
ARABIC,29,30
ARMENIAN,13,13
ASSYRIAN,3,3
BENGALI,13,13
BOSNIAN,2,2
BULGARIAN,1,1
BURMESE,9,9
CAMBODIAN,9,9
CHAMORRO,2,2
CHINESE FORMOSAN,0,0
CHINESE-CANTONESE,26,28
CHINESE-MANDARIN,32,33
CHINESE-MIEN,0,0
CHINESE-OTHER,0,0
CHINESE-SHANGHAINESE,0,0
CHINESE-TAIWANESE,0,0
CHINESE-TOISHANESE,2,2
CREOLE-CRIOLLO,0,0
CREOLE-FRENCH,3,3
CREOLE-HAITIAN,38,40
CREOLE-OTHER,1,1
CROATIAN,0,0
CZECH,0,0
DUTCH,0,0
FARSI,5,5
FINNISH,0,0
FRENCH,6,7
GERMAN,0,0
GREEK,1,1
GUJARATI,14,14
HEBREW,0,0
HINDI,6,6
HMONG,25,25
HUNGARIAN,0,0
ILOCANO,2,3
INDONESIAN,0,0
ITALIAN,1,1
JAPANESE,1,1
KHMER,5,5
KOREAN,35,35
KURDISH,0,0
LAO,12,13
LITHUANIAN,0,0
MACEDONIAN,2,2
MALAYALAM,1,1
MONGOLIAN,0,0
NORWEGIAN,0,0
OROMO,0,0
OTHER,24,26
PASHTO,0,0
PENNSYLVANIA DUTCH,0,0
PERSIAN,1,1
PIDGIN-HAWAIIAN,0,0
POLISH,2,2
PORTUGUESE,4,5
PUNJABI,12,12
ROMANIAN,0,1
RUSSIAN,24,24
SAMOAN,11,12
SERBO-CROATIAN,0,0
SLOVAK,0,0
SOMALI,6,6
SPANISH,8,5
SWAHILI,0,0
SWEDISH,0,0
SYRIAC,0,0
TAGALOG,20,22
THAI,4,5
TONGAN,3,5
TURKISH,1,1
TWI (FANTI),0,0
UKRAINIAN,4,4
URDU,7,7
VIETNAMESE,60,61
YIDDISH,0,0
YUGOSLAVIAN,0,0
