Social Security Administration (SSA),,,,
DDS Net Accuracy,,,,
""NOTE: A fiscal year (FY) runs from October-September. For example, October of FY 2015 is October of calendar year 2014."",,,,
* Upper Limit,,,,
** Lower Limit,,,,
,,,,
Fiscal Year,State,Net Accuracy Rate,Sampling Variability (SV) Percent,Comments
2007,Alabama,98.1%,1.15,
2007,Alaska,96.4%,1.38,
2007,Arizona,95.8%,1.65,
2007,Arkansas,98.4%,1.08,
2007,California,96.3%,0.88,
2007,Colorado,96.3%,1.57,
2007,Connecticut,95.0%,1.82,
2007,Delaware,97.6%,1.13,
2007,Dist of Columbia,97.3%,1.19,
2007,Florida,96.2%,1.66,
2007,Georgia,95.5%,1.86,
2007,Hawaii,96.9%,1.35,
2007,Idaho,96.9%,1.45,
2007,Illinois,97.2%,1.44,
2007,Indiana,96.4%,1.59,
2007,Iowa,96.6%,1.55,
2007,Kansas,97.4%,1.39,
2007,Kentucky,97.0%,1.49,
2007,Louisiana,96.7%,1.51,
2007,Maine,96.4%,1.52,
2007,Maryland,96.0%,1.55,
2007,Massachusetts,96.7%,1.43,
2007,Michigan,94.0%,2.12,
2007,Minnesota,96.1%,1.62,
2007,Mississippi,98.5%,1.11,
2007,Missouri,98.2%,1.14,
2007,Montana,96.7%,1.41,
2007,Nebraska,96.1%,1.62,
2007,Nevada,95.1%,1.73,
2007,New Hampshire,98.1%,1.08,
2007,New Jersey,95.1%,1.77,
2007,New Mexico,97.7%,1.23,
2007,New York,96.6%,0.76,
2007,North Carolina,97.3%,1.43,
2007,North Dakota,95.8%,1.48,
2007,Ohio,96.6%,1.63,
2007,Oklahoma,98.3%,1.06,
2007,Oregon,95.4%,1.77,
2007,Pennsylvania,96.8%,1.43,
2007,Puerto Rico,96.0%,1.59,
2007,Rhode Island,95.5%,1.67,
2007,South Carolina,94.9%,2.06,
2007,South Dakota,95.0%,1.71,
2007,Tennessee,97.6%,1.41,
2007,Texas,97.6%,1.25,
2007,Utah,96.2%,1.52,
2007,Vermont,97.6%,1.13,
2007,Virginia,95.4%,1.65,
2007,Washington,95.3%,1.75,
2007,West Virginia,95.6%,1.78,
2007,Wisconsin,96.4%,1.54,
2007,Wyoming,95.3%,1.49,
2007,National,96.6%,0.27,
2008,Alabama,97.9%,1.26,
2008,Alaska,96.2%,1.55,
2008,Arizona,96.4%,1.56,
2008,Arkansas,98.7%,0.95,
2008,California,95.5%,1.10,
2008,Colorado,95.4%,1.75,
2008,Connecticut,93.7%,2.06,
2008,Delaware,97.4%,1.23,
2008,Dist of Columbia,97.9%,1.07,
2008,Florida,97.5%,1.26,
2008,Georgia,95.4%,1.90,
2008,Hawaii,97.9%,1.09,
2008,Idaho,96.5%,1.35,
2008,Illinois,97.4%,1.32,
2008,Indiana,97.3%,1.36,
2008,Iowa,95.4%,1.79,
2008,Kansas,98.0%,1.18,
2008,Kentucky,98.4%,1.10,
2008,Louisiana,96.8%,1.44,
2008,Maine,95.3%,1.71,
2008,Maryland,96.7%,1.48,
2008,Massachusetts,96.7%,1.45,
2008,Michigan,95.2%,1.65,
2008,Minnesota,95.3%,1.74,
2008,Mississippi,96.9%,1.55,
2008,Missouri,98.0%,1.19,
2008,Montana,96.1%,1.52,
2008,Nebraska,97.3%,1.29,
2008,Nevada,95.9%,1.64,
2008,New Hampshire,96.6%,1.46,
2008,New Jersey,94.9%,1.69,
2008,New Mexico,97.8%,1.22,
2008,New York,96.7%,0.88,
2008,North Carolina,95.8%,1.72,
2008,North Dakota,94.8%,1.68,
2008,Ohio,96.5%,1.62,
2008,Oklahoma,98.2%,1.07,
2008,Oregon,95.9%,1.72,
2008,Pennsylvania,96.7%,1.49,
2008,Puerto Rico,95.5%,1.63,
2008,Rhode Island,96.8%,1.45,
2008,South Carolina,96.0%,1.70,
2008,South Dakota,95.7%,1.59,
2008,Tennessee,96.3%,1.68,
2008,Texas,97.8%,1.20,
2008,Utah,95.6%,1.57,
2008,Vermont,96.7%,1.36,
2008,Virginia,97.0%,1.43,
2008,Washington,97.1%,1.38,
2008,West Virginia,96.2%,1.50,
2008,Wisconsin,97.0%,1.40,
2008,Wyoming,94.1%,1.61,
2008,National,96.6%,0.28,
2009,Alabama,97.4%,1.37,
2009,Alaska,96.4%,1.36,
2009,Arizona,96.2%,1.59,
2009,Arkansas,99.2%,0.73,
2009,California,95.6%,1.71,
2009,Colorado,96.7%,1.46,
2009,Connecticut,95.1%,1.82,
2009,Delaware,97.4%,1.21,
2009,Dist of Columbia,97.6%,1.17,
2009,Florida,97.7%,1.22,
2009,Georgia,95.3%,1.84,
2009,Hawaii,97.7%,1.15,
2009,Idaho,96.4%,1.47,
2009,Illinois,95.2%,1.75,
2009,Indiana,97.7%,1.26,
2009,Iowa,97.9%,1.19,
2009,Kansas,98.2%,1.08,
2009,Kentucky,98.3%,1.09,
2009,Louisiana,96.2%,1.61,
2009,Maine,97.5%,1.31,
2009,Maryland,97.3%,1.34,
2009,Massachusetts,94.6%,1.79,
2009,Michigan,95.7%,1.66,
2009,Minnesota,97.0%,1.41,
2009,Mississippi,96.5%,1.62,
