Social Security Administration (SSA),,
Asian & Pacific Islander Spoken Language Preferences among Initial Claims - End Stage Renal Disease (ESRD),,
""NOTE: A fiscal year (FY) runs from October-September. For example, October of FY 2015 is October of calendar year 2014."",,
,,
Language,""FY16 (QTR 4) (excluding 53rd week)
Jul - Sept"",""FY16 (QTR 4) (including 53rd week)
Jul - Sept""
BENGALI,13,13
BURMESE,9,9
CAMBODIAN,9,9
CHAMORRO,2,2
CHINESE FORMOSAN,0,0
CHINESE-CANTONESE,26,28
CHINESE-MANDARIN,32,33
CHINESE-MIEN,0,0
CHINESE-OTHER,0,0
CHINESE-SHANGHAINESE,0,0
CHINESE-TAIWANESE,0,0
CHINESE-TOISHANESE,2,2
GUJARATI,14,14
HINDI,6,6
HMONG,25,25
ILOCANO,2,3
INDONESIAN,0,0
JAPANESE,1,1
KHMER,5,5
KOREAN,35,35
LAO,12,13
MALAYALAM,1,1
MONGOLIAN,0,0
PIDGIN-HAWAIIAN,0,0
PUNJABI,12,12
SAMOAN,11,12
TAGALOG,20,22
THAI,4,5
TONGAN,3,5
URDU,7,7
VIETNAMESE,60,61
