Point1,
RGo,
C1s,
1,
298,219.5313
297.95,179.6875
297.9,198.4375
297.85,182.8125
297.8,185.1563
297.75,221.0938
297.7,210.1563
297.65,193.75
297.6,209.375
297.55,194.5313
297.5,191.4063
297.45,189.0625
297.4,200.7813
297.35,199.2188
297.3,178.9063
297.25,211.7188
297.2,197.6563
297.15,180.4688
297.1,193.75
297.05,198.4375
297,174.2188
296.95,197.6563
296.9,177.3438
296.85,189.8438
296.8,192.1875
296.75,173.4375
296.7,182.0313
296.65,160.1563
296.6,188.2813
296.55,190.625
296.5,197.6563
296.45,186.7188
296.4,189.8438
296.35,160.9375
296.3,190.625
296.25,190.625
296.2,174.2188
296.15,180.4688
296.1,159.375
296.05,222.6563
296,189.0625
295.95,182.0313
295.9,200
295.85,188.2813
295.8,171.875
295.75,184.375
295.7,178.125
295.65,166.4063
295.6,174.2188
295.55,177.3438
295.5,175
295.45,180.4688
295.4,174.2188
295.35,184.375
295.3,188.2813
295.25,180.4688
295.2,192.9688
295.15,175
295.1,188.2813
295.05,201.5625
295,186.7188
294.95,196.875
294.9,167.1875
294.85,182.8125
294.8,180.4688
294.75,176.5625
294.7,178.9063
294.65,196.0938
294.6,166.4063
294.55,179.6875
294.5,178.125
294.45,176.5625
294.4,192.9688
294.35,173.4375
294.3,192.9688
294.25,167.9688
294.2,172.6563
294.15,156.25
294.1,189.8438
294.05,194.5313
294,182.0313
293.95,167.9688
293.9,171.875
293.85,178.125
293.8,173.4375
293.75,157.8125
293.7,178.9063
293.65,178.125
293.6,178.9063
293.55,172.6563
293.5,163.2813
293.45,168.75
293.4,171.875
293.35,199.2188
293.3,175
293.25,150
293.2,173.4375
293.15,167.1875
293.1,175.7813
293.05,164.0625
293,178.125
292.95,154.6875
292.9,175
292.85,169.5313
292.8,160.1563
292.75,175
292.7,174.2188
292.65,168.75
292.6,190.625
292.55,184.375
292.5,173.4375
292.45,179.6875
292.4,195.3125
292.35,180.4688
292.3,199.2188
292.25,196.0938
292.2,204.6875
292.15,190.625
292.1,198.4375
292.05,173.4375
292,193.75
291.95,200
291.9,182.0313
291.85,180.4688
291.8,168.75
291.75,175
291.7,206.25
291.65,176.5625
291.6,171.0938
291.55,182.0313
291.5,190.625
291.45,175.7813
291.4,177.3438
291.35,169.5313
291.3,196.875
291.25,192.9688
291.2,178.125
291.15,198.4375
291.1,167.9688
291.05,175
291,186.7188
290.95,172.6563
290.9,182.8125
290.85,173.4375
290.8,181.25
290.75,157.8125
290.7,182.8125
290.65,174.2188
290.6,176.5625
290.55,177.3438
290.5,175.7813
290.45,182.8125
290.4,186.7188
290.35,178.125
290.3,169.5313
290.25,178.9063
290.2,194.5313
290.15,173.4375
290.1,189.0625
290.05,171.0938
290,173.4375
289.95,179.6875
289.9,172.6563
289.85,167.1875
289.8,171.0938
289.75,185.9375
289.7,163.2813
289.65,207.0313
289.6,178.125
289.55,176.5625
289.5,178.9063
289.45,181.25
289.4,180.4688
289.35,189.8438
289.3,196.0938
289.25,185.9375
289.2,200.7813
289.15,182.8125
289.1,204.6875
289.05,204.6875
289,210.1563
288.95,227.3438
288.9,184.375
288.85,239.0625
288.8,219.5313
288.75,221.875
288.7,228.9063
288.65,217.9688
288.6,235.1563
288.55,241.4063
288.5,240.625
288.45,244.5313
288.4,252.3438
288.35,257.8125
288.3,274.2188
288.25,260.9375
288.2,248.4375
288.15,232.0313
288.1,242.9688
288.05,266.4063
288,230.4688
287.95,242.9688
287.9,223.4375
287.85,229.6875
287.8,221.0938
287.75,209.375
287.7,201.5625
287.65,212.5
287.6,196.875
287.55,216.4063
287.5,217.1875
287.45,214.0625
287.4,216.4063
287.35,205.4688
287.3,218.75
287.25,217.1875
287.2,194.5313
287.15,182.8125
287.1,218.75
287.05,200.7813
287,196.875
286.95,214.0625
286.9,198.4375
286.85,228.125
286.8,222.6563
286.75,236.7188
286.7,240.625
286.65,234.375
286.6,256.25
286.55,271.0938
286.5,312.5
286.45,311.7188
286.4,294.5313
286.35,285.1563
286.3,296.0938
286.25,288.2813
286.2,319.5313
286.15,307.0313
286.1,321.0938
286.05,291.4063
286,324.2188
285.95,320.3125
285.9,303.9063
285.85,339.0625
285.8,347.6563
285.75,369.5313
285.7,378.125
285.65,362.5
285.6,364.0625
285.55,343.75
285.5,344.5313
285.45,364.8438
285.4,383.5938
285.35,422.6563
285.3,434.375
285.25,461.7188
285.2,473.4375
285.15,500
285.1,548.4375
285.05,595.3125
285,601.5625
284.95,643.75
284.9,666.4063
284.85,744.5313
284.8,721.0938
284.75,800
284.7,933.5938
284.65,966.4063
284.6,948.4375
284.55,1052.3438
284.5,1050.7813
284.45,1114.8438
284.4,1154.6875
284.35,1199.2188
284.3,1221.875
284.25,1151.5625
284.2,1110.1563
284.15,1071.0938
284.1,1039.8438
284.05,990.625
284,884.375
283.95,798.4375
283.9,732.8125
283.85,742.9688
283.8,683.5938
283.75,638.2813
283.7,652.3438
283.65,540.625
283.6,496.0938
283.55,463.2813
283.5,407.0313
283.45,378.125
283.4,371.0938
283.35,314.0625
283.3,278.125
283.25,272.6563
283.2,192.9688
283.15,189.8438
283.1,187.5
283.05,160.1563
283,197.6563
282.95,161.7188
282.9,152.3438
282.85,167.1875
282.8,173.4375
282.75,156.25
282.7,142.1875
282.65,153.9063
282.6,171.0938
282.55,142.1875
282.5,160.9375
282.45,143.75
282.4,146.0938
282.35,141.4063
282.3,151.5625
282.25,143.75
282.2,141.4063
282.15,146.0938
282.1,157.8125
282.05,141.4063
282,132.0313
281.95,122.6563
281.9,152.3438
281.85,150.7813
281.8,146.875
281.75,127.3438
281.7,142.1875
281.65,138.2813
281.6,132.0313
281.55,135.1563
281.5,138.2813
281.45,155.4688
281.4,149.2188
281.35,157.0313
281.3,131.25
281.25,159.375
281.2,153.9063
281.15,135.9375
281.1,155.4688
281.05,135.1563
281,150.7813
280.95,150.7813
280.9,139.8438
280.85,137.5
280.8,135.1563
280.75,132.8125
