pid,season,EventId,StartDate,StartTime,Duration,WindowFans,Comments
D001,1,1,26AUG2004,17:00:00,1060,1,downstairs room
D001,1,2,28AUG2004,8:00:00,1440,1,parent's room downstairs
D003,1,1,28JUL2004,6:00:00,720,1,window in child's room
D003,1,2,29JUL2004,11:00:00,720,1,in child's room
D003,1,3,30JUL2004,10:00:00,720,2,in children's room
D003,1,4,31JUL2004,11:00:00,720,2,children's rooms
D005,1,1,29JUL2004,21:00:00,,1,
D005,1,2,29JUL2004,21:00:00,540,2,In upstairs windows
D005,1,3,30JUL2004,22:00:00,300,3,one in each room upstairs
D005,1,4,31JUL2004,22:30:00,360,3,One fan in each window
D009,1,1,10AUG2004,7:00:00,1440,1,in Master bedroom
D009,1,2,11AUG2004,7:00:00,300,1,in upstairs bedroom
D012,1,1,20JUL2004,19:00:00,240,1,
D012,1,2,22JUL2004,11:00:00,1440,2,In bedrooms upstairs
D012,1,3,23JUL2004,13:15:00,15,1,
D012,1,4,24JUL2004,11:00:00,1440,1,
D013,1,1,27AUG2004,8:00:00,720,1,wall fan in kitchen
D025,1,1,14JUL2004,6:00:00,1440,2,both run all day
D025,1,2,14JUL2004,6:00:00,1440,1,
D025,1,3,15JUL2004,6:00:00,1440,1,runs all day
D025,1,4,15JUL2004,16:00:00,840,1,ran continuously from 4 pm
D025,1,5,16JUL2004,6:00:00,1440,1,in kitchen
D025,1,6,16JUL2004,6:00:00,1440,1,in living room
D025,1,7,17JUL2004,6:00:00,1440,1,cut off this morning
D025,1,8,17JUL2004,6:00:00,840,1,cut off at 8 pm
D032,1,1,18AUG2004,10:00:00,1440,2,In kitchen and bedroom
D032,1,2,19AUG2004,10:00:00,1440,2,one in the kitchen and another one in the bedroom.  They automatically turn off and on at different times.
D032,1,3,20AUG2004,10:00:00,1440,1,""in the kitchen, it goes on and off automatically""
D049,3,1,19JUL2005,10:00:00,1440,1,children keep fan in the bedroom window
D049,3,2,20JUL2005,11:00:00,1440,1,In the children's room
D049,3,3,21JUL2005,11:00:00,1440,1,Kids always have their fan blowing.
D052,3,1,16AUG2005,10:00:00,1440,1,living room window fan
D052,3,2,17AUG2005,11:00:00,1440,4,2 box fans upstairs that fit in bedroom windows.  1 window fan placed on the floor of upstairs bedroom.  1 window fan placed on living room floor.
D052,3,3,18AUG2005,11:00:00,1440,4,1 in living room and 3 in upstairs bedrooms
D052,3,4,19AUG2005,11:20:00,1440,4,1 in living room and 3 in bedrooms upstairs
D052,3,5,20AUG2005,11:00:00,1440,4,1 in living room and 3 upstairs in bedrooms
D053,3,1,12JUL2005,8:30:00,810,1,Living room window
D053,3,2,13JUL2005,8:30:00,900,1,
D053,3,3,14JUL2005,8:00:00,660,1,living room window fan
D053,3,4,15JUL2005,7:30:00,660,1,
D053,3,5,16JUL2005,7:30:00,840,1,
D055,3,1,19JUL2005,8:00:00,1440,1,daughter's bedroom
D055,3,2,20JUL2005,8:00:00,1440,1,daughter's room
D055,3,3,21JUL2005,8:00:00,1440,1,daughter's room
D055,3,4,22JUL2005,8:00:00,1440,1,daughter's bed room
D055,3,5,23JUL2005,8:00:00,1440,1,daughter's bed room
D056,3,1,19JUL2005,8:30:00,1440,1,living room window fan
D056,3,2,20JUL2005,8:30:00,1440,2,living room and kitchen
D056,3,3,21JUL2005,21:00:00,690,2,living and kid's bed rooms
D056,3,4,22JUL2005,13:00:00,60,1,kitchen
D056,3,5,23JUL2005,20:50:00,30,1,living room
D058,3,1,25AUG2005,7:00:00,660,1,window fan in the LR was on all day
D058,3,2,26AUG2005,7:00:00,600,1,window fan was on all day in the LR.
D061,3,1,26JUL2005,23:00:00,420,1,Bedroom fan
D061,3,2,27JUL2005,15:00:00,360,1,bede
room window
D061,3,3,28JUL2005,10:00:00,480,1,bedroom window
D061,3,4,29JUL2005,11:00:00,600,1,bed room window
D061,3,5,30JUL2005,9:30:00,1440,1,Bedroom window
D062,3,1,16AUG2005,8:30:00,1440,1,kept on all day
D062,3,2,17AUG2005,8:30:00,1440,1,Runs 24hrs in participants bedroom
D062,3,3,18AUG2005,8:30:00,1440,1,Fan in on all day and night
D062,3,4,19AUG2005,8:30:00,1440,1,bedroom window
D062,3,5,19AUG2005,21:00:00,660,1,kitchen window
D062,3,6,20AUG2005,8:30:00,1440,2,
D064,3,1,27JUL2005,21:00:00,650,1,window fan in the bedroom is on all night
D064,3,2,28JUL2005,21:00:00,420,1,window fan in the bedroom was on
D064,3,3,29JUL2005,21:00:00,600,1,window fan in the bedroom was on all night
D064,3,4,30JUL2005,21:00:00,600,1,fan on in the bedroom all night
D065,3,1,02AUG2005,7:00:00,1440,1,window fan in the FR is on all day
D065,3,2,03AUG2005,7:00:00,1440,1,windowfan in the family room runs all the time
D065,3,3,04AUG2005,8:00:00,660,1,window fan in the FR was on all day
D065,3,4,05AUG2005,7:00:00,600,1,window fan in the FR was on all day
D065,3,5,06AUG2005,8:00:00,600,1,window fan in the FR was on all day
D070,3,1,03AUG2005,21:00:00,720,1,kid's room window fan was on all night
D070,3,2,04AUG2005,20:00:00,700,1,window fan in the kid's bedroom was on all night
D070,3,3,05AUG2005,8:00:00,1440,1,windpw fan in the kid's room was on all day
D071,3,1,23AUG2005,8:30:00,1440,1,
D071,3,2,24AUG2005,23:00:00,440,1,Bedroom window
D071,3,3,25AUG2005,22:00:00,420,1,bedroom window
D071,3,4,27AUG2005,23:00:00,400,1,bedroom window
D073,3,1,16AUG2005,0:00:00,540,1,Fan in Master bedroom
D073,3,2,18AUG2005,10:00:00,570,1,Participant's bedroom window
D074,3,1,05AUG2005,11:00:00,60,1,
D076,3,1,26JUL2005,7:30:00,660,1,
D076,3,2,27JUL2005,7:55:00,10,1,
D077,3,1,16AUG2005,7:00:00,300,1,
D077,3,2,18AUG2005,12:00:00,240,1,In the window in the living room
D077,3,3,18AUG2005,21:00:00,720,1,In the window in participants bedroom
D077,3,4,19AUG2005,7:00:00,1440,1,living room window
D077,3,5,20AUG2005,7:00:00,1440,1,bedroom window
D078,3,1,26JUL2005,21:00:00,660,1,window fan in the participant's room is on all night
D080,3,1,02AUG2005,10:00:00,645,1,window fan is on in participant's bed room.
D080,3,2,03AUG2005,11:00:00,735,1,window fan is on while sleeping
D080,3,3,04AUG2005,21:30:00,645,1,window fan on in bed room all night while sleeping.
D080,3,4,05AUG2005,14:00:00,75,1,window fan in bed room was on while napping.
D080,3,5,05AUG2005,21:00:00,675,1,window fan in bed room was on while sleeping.
D080,3,6,06AUG2005,23:00:00,525,1,bed room window fan used when sleeping
D081,3,1,13JUL2005,9:00:00,780,1,Living room window
D083,3,1,14AUG2005,6:00:00,1440,1,Just one fan at the first floor  bedroom (western portion of the house)
D084,3,1,13AUG2005,8:00:00,1440,1,window fan in the Kitchen was on all day and night
D086,3,1,19JUL2005,8:30:00,1440,1,hall window upsatirs
D086,3,2,20JUL2005,10:30:00,1440,1,hall window upstairs
D086,3,3,21JUL2005,11:00:00,1440,1,hall window upstairs
D086,3,4,22JUL2005,11:00:00,1440,1,hall window fan upstairs
D086,3,5,23JUL2005,11:00:00,1440,1,hall window upstairs
D052,4,1,07FEB2006,21:00:00,560,1,Participants husband turns the fan on every night
D052,4,2,08FEB2006,8:30:00,480,1,Participant's husband turns the fan on at night in their bedroom
D052,4,3,09FEB2006,21:00:00,480,1,fan in bedroom window
D052,4,4,10FEB2006,21:00:00,480,1,participant has bedroom window open with fan running while in the bed for the night
D052,4,5,11FEB2006,22:30:00,480,1,participant's husband insists on the window fan being on over night
D076,4,1,24JAN2006,22:00:00,600,1,Participant turned on the window fan as the room was very hot
D100,5,1,15AUG2006,22:30:00,240,2,Window fans in BR1 and BR3s are on
D101,5,1,17AUG2006,9:00:00,1440,1,window fan in DR was on all day
