RP,type,cell,dur,pcp_mm,bound_01,bound_09,city
2,ERA_12,EVC01,1,26,24,29,ATL
2,ERA_12,EVC01,2,40,36,45,ATL
2,ERA_12,EVC01,3,48,43,54,ATL
2,ERA_12,EVC01,6,63,56,71,ATL
2,ERA_12,EVC01,12,78,70,87,ATL
2,ERA_12,EVC01,24,97,87,108,ATL
2,ERA_12,EVC01,1,22,19,25,CIN
2,ERA_12,EVC01,2,33,30,37,CIN
2,ERA_12,EVC01,3,40,36,45,CIN
2,ERA_12,EVC01,6,53,48,58,CIN
2,ERA_12,EVC01,12,63,58,68,CIN
2,ERA_12,EVC01,24,72,67,78,CIN
2,ERA_12,EVC01,1,33,29,37,RAL
2,ERA_12,EVC01,2,51,44,59,RAL
2,ERA_12,EVC01,3,62,53,72,RAL
2,ERA_12,EVC01,6,81,68,96,RAL
2,ERA_12,EVC01,12,102,86,121,RAL
2,ERA_12,EVC01,24,120,103,144,RAL
2,ERA_36,EVC01,1,8,7,8,ATL
2,ERA_36,EVC01,2,14,13,16,ATL
2,ERA_36,EVC01,3,20,18,21,ATL
2,ERA_36,EVC01,6,31,28,34,ATL
2,ERA_36,EVC01,12,43,40,46,ATL
2,ERA_36,EVC01,24,51,46,55,ATL
2,ERA_36,EVC01,1,9,8,10,CIN
2,ERA_36,EVC01,2,16,14,17,CIN
2,ERA_36,EVC01,3,21,19,23,CIN
2,ERA_36,EVC01,6,33,30,36,CIN
2,ERA_36,EVC01,12,44,40,49,CIN
2,ERA_36,EVC01,24,55,50,60,CIN
2,ERA_36,EVC01,1,9,8,10,RAL
2,ERA_36,EVC01,2,16,14,17,RAL
2,ERA_36,EVC01,3,21,19,23,RAL
2,ERA_36,EVC01,6,32,29,36,RAL
2,ERA_36,EVC01,12,45,40,49,RAL
2,ERA_36,EVC01,24,53,48,57,RAL
2,R2_36,EVC01,1,13,12,14,ATL
2,R2_36,EVC01,2,21,19,23,ATL
2,R2_36,EVC01,3,27,25,30,ATL
2,R2_36,EVC01,6,38,35,41,ATL
2,R2_36,EVC01,12,51,48,55,ATL
2,R2_36,EVC01,24,65,60,70,ATL
2,R2_36,EVC01,1,11,11,12,CIN
2,R2_36,EVC01,2,20,19,22,CIN
2,R2_36,EVC01,3,27,25,29,CIN
2,R2_36,EVC01,6,38,36,41,CIN
2,R2_36,EVC01,12,49,45,52,CIN
2,R2_36,EVC01,24,62,56,67,CIN
2,R2_36,EVC01,1,12,11,14,RAL
2,R2_36,EVC01,2,22,20,25,RAL
2,R2_36,EVC01,3,30,27,33,RAL
2,R2_36,EVC01,6,47,43,53,RAL
2,R2_36,EVC01,12,62,56,69,RAL
2,R2_36,EVC01,24,75,67,83,RAL
2,ERA_12,EVC09,1,26,24,29,ATL
2,ERA_12,EVC09,2,40,36,45,ATL
2,ERA_12,EVC09,3,48,43,54,ATL
2,ERA_12,EVC09,6,63,56,70,ATL
2,ERA_12,EVC09,12,78,71,87,ATL
2,ERA_12,EVC09,24,97,88,108,ATL
2,ERA_12,EVC09,1,22,19,25,CIN
2,ERA_12,EVC09,2,33,29,38,CIN
2,ERA_12,EVC09,3,40,36,45,CIN
2,ERA_12,EVC09,6,53,49,59,CIN
2,ERA_12,EVC09,12,63,58,69,CIN
2,ERA_12,EVC09,24,72,67,78,CIN
2,ERA_12,EVC09,1,32,29,37,RAL
2,ERA_12,EVC09,2,51,44,59,RAL
2,ERA_12,EVC09,3,62,53,73,RAL
2,ERA_12,EVC09,6,80,68,96,RAL
2,ERA_12,EVC09,12,102,87,119,RAL
2,ERA_12,EVC09,24,120,102,143,RAL
2,ERA_36,EVC09,1,7.524635,6.970931,8.073656,ATL
2,ERA_36,EVC09,2,14.05852,13.051762,15.177991,ATL
2,ERA_36,EVC09,3,19.137531,17.551608,20.784951,ATL
2,ERA_36,EVC09,6,30.076581,27.529533,32.627427,ATL
2,ERA_36,EVC09,12,42.42474,39.295139,45.843676,ATL
2,ERA_36,EVC09,24,49.878863,45.827812,54.223175,ATL
2,ERA_36,EVC09,1,9,8,10,CIN
2,ERA_36,EVC09,2,15,14,17,CIN
2,ERA_36,EVC09,3,21,19,23,CIN
2,ERA_36,EVC09,6,32,29,36,CIN
2,ERA_36,EVC09,12,44,39,48,CIN
2,ERA_36,EVC09,24,54,49,58,CIN
2,ERA_36,EVC09,1,9,8,10,RAL
2,ERA_36,EVC09,2,15,14,17,RAL
2,ERA_36,EVC09,3,21,18,23,RAL
2,ERA_36,EVC09,6,32,28,35,RAL
2,ERA_36,EVC09,12,45,40,49,RAL
2,ERA_36,EVC09,24,53,48,57,RAL
2,R2_36,EVC09,1,12,11,13,ATL
2,R2_36,EVC09,2,21,19,23,ATL
2,R2_36,EVC09,3,27,25,29,ATL
2,R2_36,EVC09,6,38,35,41,ATL
2,R2_36,EVC09,12,51,47,55,ATL
2,R2_36,EVC09,24,64,60,69,ATL
2,R2_36,EVC09,1,11,10,12,CIN
2,R2_36,EVC09,2,20,18,21,CIN
2,R2_36,EVC09,3,26,24,28,CIN
2,R2_36,EVC09,6,37,35,40,CIN
2,R2_36,EVC09,12,48,44,51,CIN
2,R2_36,EVC09,24,61,55,66,CIN
2,R2_36,EVC09,1,12,11,13,RAL
2,R2_36,EVC09,2,22,20,24,RAL
2,R2_36,EVC09,3,29,26,32,RAL
2,R2_36,EVC09,6,47,42,52,RAL
2,R2_36,EVC09,12,61,55,69,RAL
2,R2_36,EVC09,24,74,66,82,RAL
2,ERA_12,EVC25,1,26,23,29,ATL
2,ERA_12,EVC25,2,40,36,45,ATL
2,ERA_12,EVC25,3,48,43,54,ATL
2,ERA_12,EVC25,6,63,56,70,ATL
2,ERA_12,EVC25,12,78,70,87,ATL
2,ERA_12,EVC25,24,97,88,109,ATL
2,ERA_12,EVC25,1,22,19,25,CIN
2,ERA_12,EVC25,2,33,29,37,CIN
2,ERA_12,EVC25,3,40,36,45,CIN
2,ERA_12,EVC25,6,53,48,58,CIN
2,ERA_12,EVC25,12,63,58,68,CIN
2,ERA_12,EVC25,24,72,67,77,CIN
2,ERA_12,EVC25,1,32,29,37,RAL
2,ERA_12,EVC25,2,51,44,59,RAL
2,ERA_12,EVC25,3,62,54,72,RAL
2,ERA_12,EVC25,6,80,68,96,RAL
2,ERA_12,EVC25,12,102,88,122,RAL
2,ERA_12,EVC25,24,120,101,142,RAL
2,ERA_36,EVC25,1,7,7,8,ATL
2,ERA_36,EVC25,2,14,13,15,ATL
2,ERA_36,EVC25,3,19,17,20,ATL
2,ERA_36,EVC25,6,29,27,32,ATL
2,ERA_36,EVC25,12,42,39,45,ATL
2,ERA_36,EVC25,24,49,45,53,ATL
2,ERA_36,EVC25,1,9,8,9,CIN
2,ERA_36,EVC25,2,15,13,16,CIN
2,ERA_36,EVC25,3,20,18,22,CIN
2,ERA_36,EVC25,6,32,29,35,CIN
2,ERA_36,EVC25,12,43,39,48,CIN
2,ERA_36,EVC25,24,53,49,58,CIN
2,ERA_36,EVC25,1,8,8,9,RAL
2,ERA_36,EVC25,2,15,14,17,RAL
2,ERA_36,EVC25,3,20,18,23,RAL
2,ERA_36,EVC25,6,31,28,35,RAL
2,ERA_36,EVC25,12,44,40,49,RAL
2,ERA_36,EVC25,24,52,48,56,RAL
2,R2_36,EVC25,1,12,11,13,ATL
2,R2_36,EVC25,2,20,19,22,ATL
2,R2_36,EVC25,3,26,24,29,ATL
2,R2_36,EVC25,6,37,35,40,ATL
2,R2_36,EVC25,12,50,47,54,ATL
