site,plot,date sampled,"UTM-Easting (NAD83, zone 11)","UTM-Northing (NAD83, zone 11)",elevation (m),aspect (degrees),slope_uphill (%),slope_downhill (%),slope position,slope shape parallel,patterned parallel,slope shape perpendicular,patterned perpendicular,tree cover (),plot center moved?,"if moved, distance (m)",azimuth_moved (degrees),"if moved, to avoid what?",comments
LYT,15C,9/12/2009,715429,4908090,1733,128,13,3,middle,straight,yes,concave,yes,>10 to 30%,no,-999,-999,-999,
LYT,15D,9/9/2009,715932,4908109,1710,224,3,0,ridge,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,15E,9/16/2009,716413,4908175,1673,65,12,13,upper,concave,no,convex,no,>10 to 30%,yes,-999,-999 lack of trees,
LYT,15F,7/17/2010,716931,4908133,1620,10,40,28,upper,concave,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,16C,9/12/2009,715442,4907589,1745,12,3,3,middle,straight,no,straight,no,>30 to 50%,no,-999,-999,-999,
LYT,16D,9/10/2009,715951,4907610,1718,25,10,3,upper,straight,no,straight,no,>30 to 50%,no,-999,-999,-999,
LYT,16E,9/10/2009,716442,4907631,1676,0,16,4,upper,concave,no,concave,no,>10 to 30%,no,-999,-999,-999,
LYT,16F,5/30/2010,716935,4907624,1654,2,10,12,middle,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,17C,9/13/2009,715468,4907098,1768,185,22,15,upper,straight,no,straight,no,>30 to 50%,no,-999,-999,-999,
LYT,17D,9/14/2009,715971,4907113,1728,4,10,5,upper,straight,no,straight,no,>50 to 70%,no,-999,-999,-999,
LYT,17E,9/11/2009,716458,4907130,1707,350,7,7,upper,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,17F,9/11/2009,716964,4907143,1681,205,0,0,upper,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,18C,9/15/2009,715515,4906636,1729,339,11,9,upper,straight,no,straight,no,>50 to 70%,yes,-999,-999 road and lack of trees,
LYT,18D,9/15/2009,715981,4906613,1702,358,14,13,upper,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,18E,9/14/2009,716480,4906631,1694,225,11,9,upper,concave,no,concave,no,>30 to 50%,no,-999,-999,-999,
LYT,18F,9/30/2009,716936,4906636,1601,120,20,30,middle,convex,no,convex,no,>30 to 50%,no,-999,-999,-999,
LYT,19C,6/3/2010,715427,4906126,1654,350,23,30,lower,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,19D,9/29/2009,715924,4906183,1673,175,38,26,upper,convex,no,straight,no,>10 to 30%,yes,-999,-999 lack of trees,
LYT,19E,9/27/2009,716427,4906136,1640,180,15,15,upper,straight,no,straight,no,>30 to 50%,no,-999,-999,-999,
LYT,20C,9/28/2009,715440,4905627,1607,206,10,10,middle,concave,no,concave,no,>30 to 50%,no,-999,-999,-999,
LYT,20D,7/17/2010,715931,4905627,1662,322,22,20,upper,concave,no,straight,no,>30 to 50%,no,-999,-999,-999,
LYT,20E,7/16/2010,716431,4905613,1659,6,31,22,upper,straight,no,straight,no,>50 to 70%,no,-999,-999,-999,
LYT,20F,9/29/2009,716923,4905644,1604,182,22,50,upper,convex,no,straight,yes,>50 to 70%,no,-999,-999,-999,
LYT,21D,9/28/2009,715920,4905122,1620,259,20,15,middle,concave,no,concave,no,>30 to 50%,no,-999,-999,-999,
LYT,21E,7/16/2010,716432,4905144,1625,246,11,15,upper,straight,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,21F,9/27/2009,716924,4905135,1569,40,12,10,lower,straight,no,concave,no,>50 to 70%,no,-999,-999,-999,
LYT,22C,6/1/2010,715433,4904633,1570,240,28,25,middle,convex,no,straight,no,>10 to 30%,no,-999,-999,-999,
LYT,22D,6/1/2010,715933,4904629,1614,205,11,13,upper,straight,no,straight,no,>30 to 50%,no,-999,-999,-999,
LYT,22E,6/3/2010,716421,4904627,1563,225,20,5,lower,straight,no,straight,no,>50 to 70%,no,-999,-999,-999,
LYT,22F,7/17/2010,716891,4904666,1541,148,16,12,lower,straight,no,straight,no,>10 to 30%,yes,-999,-999 harvest and log pile,
