X-ray Diffraction Data of the 50 nm,,,,,
n=1 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
1,46300,67424,83870,50422,59732
1.04,45082,67631,55055,48566,52548
1.08,38939,51204,43137,34882,53662
1.12,28694,32700,46335,24836,39298
1.16,23090,30169,35700,25813,29666
1.2,23193,32150,23039,23360,32090
1.24,22441,25951,23809,15719,29445
1.28,17756,16049,24680,12375,19840
1.32,13123,12943,16702,13920,18450
1.36,12267,15537,11944,12308,20900
1.4,13137,14415,14191,7638,16884
1.44,12038,9429,13502,6304,11583
1.48,9430,6043,8529,7641,12089
1.52,7148,6554,6591,6612,13586
1.56,7079,7689,8308,4012,10168
1.6,7643,6062,7747,3358,7400
1.64,7125,3457,4654,4363,8227
1.68,5267,2564,3749,4037,9113
1.72,4055,3463,4852,2240,6670
1.76,4159,3758,4611,1839,4830
1.8,4692,2580,2715,2485,5650
1.84,4336,1204,1983,2416,6049
1.88,3231,1248,2828,1515,4469
1.92,2478,1798,2841,1052,3294
1.96,2555,1680,1635,1464,3931n=2 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
2,2991,1078,1037,1652,4387
2.04,2775,494,1597,1170,3206
2.08,1970,586,1780,752,2351
2.12,1536,906,1130,908,2777
2.16,1506,897,660,1209,3075
2.2,1810,483,1007,1008,2404
2.24,1840,222,1184,632,1672
2.28,1388,275,846,603,1927
2.32,969,480,418,884,2233
2.36,972,501,525,865,1743
2.4,1201,315,797,581,1238
2.44,1157,198,591,471,1380
2.48,938,143,310,695,1688
2.52,636,296,295,759,1275
2.56,562,362,515,520,909
2.6,694,318,489,416,964
2.64,731,189,298,536,1245
2.68,581,139,155,668,1034
2.72,416,225,295,521,702
2.76,319,342,364,346,757
2.8,471,316,264,454,941
2.84,562,188,132,566,748
2.88,439,126,173,568,574
2.92,294,170,330,356,531
2.96,242,316,248,363,653n=3 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
3,308,323,117,468,575
3.04,367,190,125,483,419
3.08,347,148,211,339,473
3.12,201,189,216,304,524
3.16,134,306,166,390,518
3.2,156,296,96,437,353
3.24,227,193,174,330,449
3.28,224,131,202,271,561
3.32,143,187,152,332,534
3.36,86,291,106,380,354
3.4,117,287,105,279,634
3.44,152,173,160,241,1548
3.48,176,124,146,280,2450
3.52,124,174,88,326,2799
3.56,75,249,76,281,2326
3.6,73,222,152,205,1676
3.64,114,184,131,312,1036
3.68,156,115,96,328,427
3.72,74,130,80,266,119
3.76,60,217,106,190,120
3.8,51,222,107,335,222
3.84,85,139,92,470,225
3.88,102,93,66,420,116
3.92,81,145,101,281,68
3.96,61,164,111,752,151n=4 theta (degrees),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.),Intensity (a.u.)
4,49,194,98,1981,176
4.04,66,98,71,3351,107
4.08,74,82,75,4090,65
4.12,75,106,106,3274,86
4.16,57,151,100,1934,130
4.2,42,163,72,874,101
4.24,51,107,59,255,47
4.28,64,64,92,138,69
4.32,49,107,76,169,120
4.36,35,134,47,159,113
4.4,36,112,60,91,52
4.44,43,85,88,88,46
4.48,67,87,100,96,80
4.52,66,84,66,103,84
4.56,42,104,60,103,53
