No.,Name,Volatility,random noise (for visulization),yield,kOH
1,Dodecane,6,-0.11,0.08,1.32E-11
2,Tridecane,6,-0.10,0.21,1.51E-11
3,Tetradecane,6,-0.03,0.28,1.68E-11
4,Pentadecane,5,0.10,0.34,1.82E-11
5,Hexadecaen,5,0.09,0.38,1.96E-11
6,Heptadecane,4,-0.13,0.42,2.1E-11
7,Octadecane,4,-0.03,0.42,2.24E-11
8,Nonadecane,4,0.01,0.42,2.38E-11
9,Eicosane,3,-0.02,0.42,2.52E-11
10,Heneicosane,3,0.05,0.42,2.67E-11
11,Docosane,3,0.04,0.42,2.81E-11
12,""2-Trimethylundecane"",6,-0.06,0.04,1.7E-11
13,""2-Trimethyldodecane"",5,-0.02,0.08,1.87E-11
14,""2-Trimethyltridecane"",5,-0.15,0.21,2.01E-11
15,""2-Trimethylpentadecane"",4,0.15,0.34,2.3E-11
16,Pristane,4,-0.10,0.34,2.44E-11
17,Phytane,3,-0.12,0.38,2.61E-11
18,Hexylclohexane,6,-0.04,0.08,1.76E-11
19,Heptylcyclohexane,6,-0.09,0.21,1.91E-11
20,Octylcyclohexane,6,0.00,0.28,2.05E-11
21,Nonylcyclohexane,5,-0.05,0.34,2.19E-11
22,Decylcyclohexane,5,0.14,0.38,2.33E-11
23,Undecylcyclohexane,4,0.13,0.42,2.47E-11
24,Dodecylcyclohexane,4,-0.13,0.42,2.61E-11
25,Tridecylcyclohexane,4,0.07,0.42,2.75E-11
26,Tetradecylcyclohexane,3,-0.07,0.42,2.89E-11
27,Pentadecylcyclohexane,3,-0.02,0.42,3.04E-11
28,Hexadecylcyclohexane,3,0.01,0.42,3.18E-11
29,Heptadecylcyclohexane,3,0.13,0.42,3.32E-11
30,Naphthalene,6,-0.02,0.21,2.3E-11
31,2-methylnaphthalene,6,0.14,0.30,4.86E-11
32,1-methylnaphthalene,6,-0.06,0.25,4.09E-11
33,C2-naphthalene,5,0.06,0.31,6E-11
34,C3-naphthalene,5,0.05,0.31,8E-11
35,C4-naphthalene,4,0.01,0.31,8E-11
36,Acenaphthylene,4,0.06,0.31,1.24E-10
37,Acenaphthene,4,0.05,0.31,8E-11
38,Fluorene,4,-0.10,0.31,1.6E-11
39,C1-Fluorene,4,-0.11,0.31,8E-11
40,Phenanthrene,4,0.15,0.31,3.2E-11
41,Anthracene,4,-0.10,0.31,1.78E-10
42,C1-Phenanthrene/anthracene,3,-0.14,0.31,5.89E-11
43,C2-Phenanthrene/anthracene,3,0.02,0.31,8E-11
44,Fluoranthene,3,0.11,0.31,3.3E-11
45,Pyrene,3,0.05,0.31,5.6E-11
46,C1-Fluoranthene/pyrene,3,-0.09,0.31,1.31E-10
47,Pentylbenzene,6,-0.04,0.04,1.01E-11
48,Hexylbenzene,6,-0.01,0.08,1.15E-11
49,Heptylbenzene,6,0.14,0.21,1.3E-11
50,Octylbenzene,5,-0.10,0.28,1.44E-11
51,Nonylbenzene,5,0.11,0.34,1.58E-11
52,Decylbenzene,4,0.04,0.38,1.72E-11
53,Undecylbenzene,4,-0.04,0.42,1.86E-11
54,Dodecylbenzene,4,-0.09,0.42,2E-11
55,Tridecylbenzene,3,-0.02,0.42,2.14E-11
56,Tetradecylbenzene,3,-0.01,0.42,2.29E-11
57,Pentadecylbenzene,3,-0.11,0.42,2.43E-11
58,B12,6,0.03,0.07,1.32E-11
59,B13,6,-0.08,0.07,1.51E-11
60,B14,6,-0.03,0.08,1.68E-11
61,B15,5,0.02,0.21,1.82E-11
62,B16,5,-0.07,0.28,1.96E-11
63,B17,4,-0.06,0.34,2.1E-11
64,B18,4,0.04,0.38,2.24E-11
65,B19,4,-0.07,0.42,2.38E-11
66,B20,3,0.10,0.42,2.52E-11
67,B21,3,0.14,0.42,2.67E-11
68,B22,3,0.07,0.42,2.81E-11
69,C12,6,-0.05,0.15,1.81E-11
70,C13,6,0.03,0.26,2.8E-11
71,C14,6,-0.12,0.30,3.84E-11
72,C15,5,0.12,0.34,4.91E-11
73,C16,5,0.11,0.38,4.98E-11
74,C17,4,0.10,0.42,2.1E-11
75,C18,4,-0.07,0.42,2.24E-11
76,C19,4,0.03,0.42,2.38E-11
77,C20,3,-0.14,0.42,2.52E-11
78,C21,3,-0.02,0.42,2.67E-11
79,C22,3,-0.06,0.42,2.81E-11
