Type,CSQ_Name,Year,Quarter,Date,Calls_Handled,Calls_answered_in_0_60_Sec,Percent_calls_answered_in_0_60_,ObjectId
311 Caller Wait Time,311,2017,Q1,2017/03/31 07:00:00+00,25156,21508,85,1
311 Caller Wait Time,311 Espanol,2017,Q1,2017/03/31 07:00:00+00,186,139,74.73,2
311 Caller Wait Time,311,2017,Q2,2017/06/30 07:00:00+00,24546,24228,98.65,3
311 Caller Wait Time,311 Espanol,2017,Q2,2017/06/30 07:00:00+00,242,215,88.84,4
311 Caller Wait Time,311,2017,Q3,2017/09/30 07:00:00+00,23520,23279,98.96,5
311 Caller Wait Time,311 Espanol,2017,Q3,2017/09/30 07:00:00+00,248,237,95.79,6
311 Caller Wait Time,311,2017,Q4,2017/12/31 07:00:00+00,20463,20272,99.12,7
311 Caller Wait Time,311 Espanol,2017,Q4,2017/12/31 07:00:00+00,161,155,96.27,8
311 Caller Wait Time,311,2018,Q1,2018/03/31 07:00:00+00,22827,22604,98.99,9
311 Caller Wait Time,311 Espanol,2018,Q1,2018/03/31 07:00:00+00,205,192,93.66,10
311 Caller Wait Time,311,2018,Q2,2018/06/30 07:00:00+00,23382,23205,99.26,11
311 Caller Wait Time,311 Espanol,2018,Q2,2018/06/30 07:00:00+00,219,206,94.06,12
311 Caller Wait Time,311,2018,Q3,2018/09/30 07:00:00+00,23794,23166,97.49,13
311 Caller Wait Time,311 Espanol,2018,Q3,2018/09/30 07:00:00+00,220,197,89.55,14
311 Caller Wait Time,311,2018,Q4,2018/12/31 07:00:00+00,20145,18956,93.51,15
311 Caller Wait Time,311 Espanol,2018,Q4,2018/12/31 07:00:00+00,81,68,83.95,16
311 Caller Wait Time,311,2019,Q1,2019/03/31 07:00:00+00,23064,22834,99.02,17
311 Caller Wait Time,311 Espanol,2019,Q1,2019/03/31 07:00:00+00,223,214,95.96,18
311 Caller Wait Time,311,2019,Q2,2019/06/30 07:00:00+00,23264,22991,98.73,19
311 Caller Wait Time,311 Espanol,2019,Q2,2019/06/30 07:00:00+00,219,206,94.06,20
311 Caller Wait Time,311,2019,Q3,2019/09/30 07:00:00+00,23769,23538,99.1,21
311 Caller Wait Time,311 Espanol,2019,Q3,2019/09/30 07:00:00+00,383,375,97.91,22
311 Caller Wait Time,311,2019,Q4,2019/12/31 07:00:00+00,21659,21468,99.08,23
311 Caller Wait Time,311 Espanol,2019,Q4,2019/12/31 07:00:00+00,266,263,98.87,24
311 Caller Wait Time,311,2020,Q1,2020/03/31 07:00:00+00,23849,23125,96.58,25
311 Caller Wait Time,311 Espanol,2020,Q1,2020/03/31 07:00:00+00,250,242,96.8,26
311 Caller Wait Time,311,2020,Q2,2020/06/30 07:00:00+00,22274,21987,98.31,27
311 Caller Wait Time,311 Espanol,2020,Q2,2020/06/30 07:00:00+00,308,293,95.13,28Target Date,311,2020,,2020/12/31 07:00:00+00,,,90,29
