Core.DepthRank,CoreName,Depth,Age.Yng,Age,Age.Old,LOI,
1,55A,360,NA,-58,NA,70.3030303,
1,55A,361,NA,-55.479,NA,72.5,
1,55A,362,NA,-52.458,NA,74.00881057,
1,55A,363,NA,-49.438,NA,76.19047619,
1,55A,364,NA,-46.417,NA,75.76923077,
1,55A,365,NA,-43.397,NA,76.05633803,
1,55A,366,NA,-40.376,NA,75.91973244,
1,55A,367,NA,-37.356,NA,75,
1,55A,368,NA,-34.335,NA,75.33783784,
1,55A,369,NA,-31.315,NA,75,
1,55A,370,NA,-28.295,NA,74.34782609,
1,55A,371,NA,-25.274,NA,73.99267399,
1,55A,372,NA,-22.254,NA,74.52830189,
1,55A,373,NA,-19.233,NA,74.13127413,
1,55A,374,NA,-16.213,NA,74.63414634,
1,55A,375,NA,-13.192,NA,74.21875,
1,55A,376,NA,-10.172,NA,73.55932203,
1,55A,377,NA,-7.151,NA,73.65853659,
1,55A,378,NA,-4.131,NA,74.70817121,
1,55A,379,NA,-1.111,NA,74.23076923,
1,55A,380,NA,1.91,NA,74.89711934,
1,55A,381,NA,4.93,NA,73.80952381,
1,55A,382,NA,7.951,NA,71.77033493,
1,55A,383,NA,10.971,NA,75.98039216,
1,55A,384,NA,13.992,NA,74.83660131,
1,55A,385,NA,17.012,NA,75.93360996,
1,55A,386,NA,20.033,NA,73.4939759,
1,55A,387,NA,23.053,NA,74.53874539,
1,55A,388,NA,26.073,NA,75.96153846,
1,55A,389,NA,29.094,NA,75,
1,55A,390,NA,32.114,NA,74.17840376,
1,55A,391,NA,35.135,NA,75.45787546,
1,55A,392,NA,38.155,NA,73.72881356,
1,55A,393,NA,41.176,NA,74.27385892,
1,55A,394,NA,44.196,NA,73.57142857,
1,55A,395,NA,47.217,NA,73.76237624,
1,55A,396,NA,50.237,NA,72.30769231,
1,55A,397,NA,53.257,NA,70.703125,
1,55A,398,NA,57.907,NA,71.8875502,
1,55A,399,NA,65.673,NA,68.72037915,
1,55A,400,NA,73.44,NA,69.6,
1,55A,401,NA,81.206,NA,73.64341085,
1,55A,402,NA,88.972,NA,73.1277533,
1,55A,403,NA,96.738,NA,71.78571429,
1,55A,404,NA,104.504,NA,68.10344828,
1,55A,405,NA,112.27,NA,73.65853659,
1,55A,406,NA,120.037,NA,73.50746269,
1,55A,407,NA,127.803,NA,74.35897436,
1,55A,408,NA,135.569,NA,74.86910995,
1,55A,409,NA,143.335,NA,71.63461538,
1,55A,410,NA,151.101,NA,72.24489796,
1,55A,411,NA,158.868,NA,74.52830189,
1,55A,412,NA,166.634,NA,75.30864198,
1,55A,413,NA,174.4,NA,74.23076923,
1,55A,414,NA,182.166,NA,74.31192661,
1,55A,415,NA,189.932,NA,74.03100775,
1,55A,416,NA,197.699,NA,73.91304348,
1,55A,417,NA,205.465,NA,73.98373984,
1,55A,418,NA,213.231,NA,74.27385892,
1,55A,419,NA,220.997,NA,72.05882353,
1,55A,420,NA,228.763,NA,70.96774194,
1,55A,421,NA,236.529,NA,70.47619048,
1,55A,422,NA,244.296,NA,72.44444444,
1,55A,423,NA,252.062,NA,71.84115523,
1,55A,424,NA,259.828,NA,70.94017094,
1,55A,425,NA,267.594,NA,70.56603774,
1,55A,426,NA,275.36,NA,71.95945946,
1,55A,427,NA,283.127,NA,73.70689655,
1,55A,428,NA,290.893,NA,77.77777778,
1,55A,429,NA,298.659,NA,80.70175439,
1,55A,430,NA,306.425,NA,80.1980198,
1,55A,431,NA,314.191,NA,79.53488372,
1,55A,432,NA,321.958,NA,81.0483871,
1,55A,433,NA,329.724,NA,79.92125984,
1,55A,434,NA,337.49,NA,72.13114754,
1,55A,435,NA,345.256,NA,78.07017544,
1,55A,436,NA,353.022,NA,76.3546798,
