site,plot,tree ,number_of_sections_crossdated,cut_height_cm),species,live?,condition,UTM-Easting,UTM-Northing,North_American_datum,zone
SLO,-999,1,4,40,Ponderosa pine,stump,eroded,622818,4865818,83,10
SLO,-999,2,1,10,Ponderosa pine,stump,eroded,622800,4865777,83,10
SLO,-999,3,0,10,Ponderosa pine,stump,eroded,622888,4865784,83,10
SLO,-999,4,1,10,Ponderosa pine,stump,eroded,622841,4865893,83,10 cut height B  cm
SLO,-999,5,2,5,Ponderosa pine,stump,eroded,622878,4865895,83,10
SLO,-999,6,2,0,Ponderosa pine,stump,eroded,622773,4865910,83,10 cut height B  cm
SLO,-999,7,0,0,Ponderosa pine,stump,eroded,622804,4865939,83,10
SLO,-999,8,1,20,Ponderosa pine,stump,eroded,622510,4865512,83,10 cut height B cm
SLO,-999,9,0,20,Ponderosa pine,stump,eroded,622527,4865487,83,10
SLO,-999,10,2,10,Ponderosa pine,stump,eroded,622597,4865542,83,10
SLO,-999,11,3,20,Ponderosa pine,stump,eroded,622634,4865586,83,10
SLO,-999,12,3,20,Ponderosa pine,stump,eroded,622660,4865607,83,10
SLO,-999,13,1,10,Ponderosa pine,stump,eroded,622510,4865455,83,10
SLO,-999,14,0,10,Ponderosa pine,stump,eroded,622475,4865464,83,10
SLO,-999,15,2,10,Ponderosa pine,stump,eroded,622514,4865426,83,10
SLO,-999,16,3,10,Ponderosa pine,stump,eroded,622531,4865407,83,10
