"Name","Lat","Lon","Parent"
"Andorra",42.5,1.5,
"United Arab Emirates",24,54,
"Afghanistan",33,65,
"Antigua and Barbuda",17.05,-61.8,
"Albania",41,20,
"Armenia",40,45,
"Angola",-12.5,18.5,
"Argentina",-34,-64,
"Austria",47.33,13.33,
"Australia",-25,135,
"Azerbaijan",40.5,47.5,
"Bosnia and Herzegovina",44.25,17.83,
"Barbados",13.17,-59.53,
"Bangladesh",24,90,
"Belgium",50.83,4,
"Burkina Faso",13,-2,
"Bulgaria",43,25,
"Bahrain",26,50.5,
"Burundi",-3.5,30,
"Benin",9.5,2.25,
"Brunei",4.5,114.67,
"Bolivia",-17,-65,
"Brazil",-10,-55,
"Bahamas",24,-76,
"Bhutan",27.5,90.5,
"Botswana",-22,24,
"Belarus",53,28,
"Belize",17.25,-88.75,
"Canada",60,-96,
"Democratic Republic of the Congo",0,25,
"Central African Republic",7,21,
"Congo",-1,15,
"Switzerland",47,8.01,
"Cote d'Ivoire",8,-5,
"Chile",-30,-71,
"Cameroon",6,12,
"China",35,105,
"Colombia",4,-72,
"Costa Rica",10,-84,
"Cuba",22,-79.5,
"Cape Verde",16,-24,
"Cyprus",35,33,
"Czech Republic",49.75,15,
"Germany",51.5,10.5,
"Djibouti",11.5,42.5,
"Denmark",56,10,
"Dominica",15.5,-61.33,
"Dominican Republic",19,-70.67,
"Algeria",28,3,
"Ecuador",-2,-77.5,
"Estonia",59,26,
"Egypt",27,30,
"Eritrea",15,39,
"Spain",40,-4,
"Ethiopia",8,38,
"Finland",64,26,
"Fiji",-18,178,
"France",46,2,
"Gabon",-1,11.75,
"United Kingdom",54,-4,
"Grenada",12.12,-61.67,
"Georgia",42,43.5,
"Ghana",8,-2,
"Gambia",13.5,-15.5,
"Guinea",11,-10,
"Equatorial Guinea",2,10,
"Greece",39,22,
"Guatemala",15.5,-90.25,
"Guinea-Bissau",12,-15,
"Guyana",5,-59,
"Honduras",15,-86.5,
"Croatia",45.17,15.5,
"Haiti",19,-72.42,
"Hungary",47,20,
"Indonesia",-5,120,
"Ireland",53,-8,
"Israel",31.5,34.75,
"India",20,77,
"Iraq",33,44,
"Iran",32,53,
"Iceland",65,-18,
"Italy",42.83,12.83,
"Jamaica",18.25,-77.5,
"Jordan",31,36,
"Japan",35.69,139.75,
"Kenya",1,38,
"Kyrgyzstan",41,75,
"Cambodia",13,105,
"Kiribati",-5,-170,
"Comoros",-12.17,44.25,
"Saint Kitts & Nevis",17.33,-62.75,
"N. Korea",40,127,
"S. Korea",37,127.5,
"Kuwait",29.5,47.75,
"Kazakhstan",48,68,
"Laos",18,105,
"Lebanon",33.83,35.83,
"Saint Lucia",13.88,-60.97,
"Liechtenstein",47.17,9.53,
"Sri Lanka",7,81,
"Liberia",6.5,-9.5,
"Lesotho",-29.5,28.25,
"Lithuania",56,24,
"Luxembourg",49.75,6.17,
"Latvia",57,25,
"Libya",25,17,
"Morocco",32,-5,
"Monaco",43.73,7.42,
"Moldova",47,29,
"Montenegro",42.5,19.3,
"Madagascar",-20,47,
"Macedonia",41.83,22,
"Mali",17,-4,
"Burma",22,98,
"Mongolia",46,105,
"Mauritania",20,-12,
"Malta",35.92,14.43,
"Mauritius",-20.3,57.58,
"Maldives",3.2,73,
"Malawi",-13.5,34,
"Mexico",23,-102,
"Malaysia",2.5,112.5,
"Mozambique",-18.25,35,
"Namibia",-22,17,
"Niger",16,8,
"Nigeria",10,8,
"Nicaragua",13,-85,
"Netherlands",52.5,5.75,
"Norway",62,10,
"Nepal",28,84,
"Naoero",-0.53,166.92,
"New Zealand",-42,174,
"Oman",21,57,
"Panama",9,-80,
"Peru",-10,-76,
"Papua New Guinea",-6,147,
"Philippines",13,122,
"Pakistan",30,70,
"Poland",52,20,
"Portugal",39.5,-8,
"Paraguay",-22.99,-58,
"Qatar",25.5,51.25,
"Romania",46,25,
