"departement","region"
1,"rhone"
2,"picardie"
3,"auvergne"
4,"provence"
5,"provence"
6,"provence"
7,"rhone"
8,"champagne"
9,"midi"
10,"champagne"
11,"languedoc"
12,"midi"
13,"provence"
14,"basse_normandie"
15,"auvergne"
16,"poitou"
17,"poitou"
18,"centre"
19,"limousin"
20,"corse"
"20B","corse"
21,"bourgogne"
22,"bretagne"
23,"limousin"
24,"aquitaine"
25,"franche"
26,"rhone"
27,"haute_normandie"
28,"centre"
29,"bretagne"
30,"languedoc"
31,"midi"
32,"midi"
33,"aquitaine"
34,"languedoc"
35,"bretagne"
36,"centre"
37,"centre"
38,"rhone"
39,"franche"
40,"aquitaine"
41,"centre"
42,"rhone"
43,"auvergne"
44,"loire"
45,"centre"
46,"midi"
47,"aquitaine"
48,"languedoc"
49,"loire"
50,"basse_normandie"
51,"champagne"
52,"champagne"
53,"loire"
54,"lorraine"
55,"lorraine"
56,"bretagne"
57,"lorraine"
58,"bourgogne"
59,"nord"
60,"picardie"
61,"basse_normandie"
62,"nord"
63,"auvergne"
64,"aquitaine"
65,"midi"
66,"languedoc"
67,"alsace"
68,"alsace"
69,"rhone"
70,"franche"
71,"bourgogne"
72,"loire"
73,"rhone"
74,"rhone"
75,"idf"
76,"haute_normandie"
77,"idf"
78,"idf"
79,"poitou"
80,"picardie"
81,"midi"
82,"midi"
83,"provence"
84,"provence"
85,"loire"
86,"poitou"
87,"limousin"
88,"lorraine"
89,"bourgogne"
90,"franche"
91,"idf"
92,"idf"
93,"idf"
94,"idf"
95,"idf"
87,"limousin"
88,"lorraine"
89,"bourgogne"
90,"franche"
91,"idf"
92,"idf"
93,"idf"
94,"idf"
95,"idf"
98,"Tahiti"
97,"Inconu"
