Sprint data from sample_pt.csv for sprint 47
iteration start: 2011-02-20, end: 2011-03-05
Totals
Effort, 234
Scheduled, 186
Unsprinted, 19
Unplanned, 9
Chaos, 20
Settings
Sprint, 47
Start, 2011-02-20
End, 2011-03-05
Day, scheduled, unsprinted, unplanned, chaos
2011-02-20,0,0,0,0
2011-02-21,2,3,0,0
2011-02-22,25,5,0,6
2011-02-23,25,5,8,9
2011-02-24,28,5,8,9
2011-02-25,36,8,9,20
2011-02-26,36,8,9,20
2011-02-27,36,8,9,20
2011-02-28,36,8,9,20
2011-03-01,44,8,9,20
2011-03-02,77,8,9,20
2011-03-03,77,8,9,20
2011-03-04,77,8,9,20
2011-03-05,77,8,9,20
