sep=;
Version CSV|Tool SunnyBeam2|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3|Language de-DE|TZO=1|DST

;SN: 2100143174;SN: 2001106936
;SB5000TL-20 ;SB 2500     
;2100143174;2001106936
;E-Total;E-Total
;Counter;Counter
DD-MM-YYYY HH:mm;kWh;kWh
01-04-2010 00:00;281,981;
01-04-2010 00:10;281,981;
01-04-2010 00:20;281,981;
01-04-2010 00:30;281,981;
01-04-2010 00:40;281,981;
01-04-2010 00:50;281,981;
01-04-2010 01:00;281,981;
01-04-2010 01:10;281,981;
01-04-2010 01:20;281,981;
01-04-2010 01:30;281,981;
01-04-2010 01:40;281,981;
01-04-2010 01:50;281,981;
01-04-2010 02:00;281,981;
01-04-2010 02:10;281,981;
01-04-2010 02:20;281,981;
01-04-2010 02:30;281,981;
01-04-2010 02:40;281,981;
01-04-2010 02:50;281,981;
01-04-2010 03:00;281,981;
01-04-2010 03:10;281,981;
01-04-2010 03:20;281,981;
01-04-2010 03:30;281,981;
01-04-2010 03:40;281,981;
01-04-2010 03:50;281,981;
01-04-2010 04:00;281,981;
01-04-2010 04:10;281,981;
01-04-2010 04:20;281,981;
01-04-2010 04:30;281,981;
01-04-2010 04:40;281,981;
01-04-2010 04:50;281,981;
01-04-2010 05:00;281,981;
01-04-2010 05:10;281,981;
01-04-2010 05:20;281,981;
01-04-2010 05:30;281,981;
01-04-2010 05:40;281,981;
01-04-2010 05:50;281,981;
01-04-2010 06:00;281,981;
01-04-2010 06:10;281,981;
01-04-2010 06:20;281,981;
01-04-2010 06:30;281,981;
01-04-2010 06:40;281,981;
01-04-2010 06:50;281,981;
01-04-2010 07:00;281,981;108,687
01-04-2010 07:10;281,989;
01-04-2010 07:20;282,008;108,687
01-04-2010 07:30;282,042;108,697
01-04-2010 07:40;282,096;108,722
01-04-2010 07:50;282,185;108,754
01-04-2010 08:00;282,286;108,787
01-04-2010 08:10;282,353;
01-04-2010 08:20;282,436;108,848
01-04-2010 08:30;282,624;108,927
01-04-2010 08:40;282,859;109,021
01-04-2010 08:50;283,158;109,136
01-04-2010 09:00;283,343;109,193
01-04-2010 09:10;283,485;
01-04-2010 09:20;283,708;109,337
01-04-2010 09:30;283,863;109,407
01-04-2010 09:40;284,264;109,578
01-04-2010 09:50;284,739;109,758
01-04-2010 10:00;285,192;109,936
01-04-2010 10:10;285,672;
01-04-2010 10:20;286,230;110,351
01-04-2010 10:30;286,747;110,533
01-04-2010 10:40;287,236;110,729
01-04-2010 10:50;287,699;110,904
01-04-2010 11:00;288,157;111,086
01-04-2010 11:10;288,677;111,301
01-04-2010 11:20;289,312;111,548
01-04-2010 11:30;289,921;111,753
01-04-2010 11:40;290,350;111,944
01-04-2010 11:50;290,901;
01-04-2010 12:00;291,521;112,401
01-04-2010 12:10;292,166;112,655
01-04-2010 12:20;292,816;112,900
01-04-2010 12:30;293,470;
01-04-2010 12:40;293,913;113,308
01-04-2010 12:50;294,434;113,529
01-04-2010 13:00;294,995;113,748
01-04-2010 13:10;295,622;114,003
01-04-2010 13:20;296,332;114,279
01-04-2010 13:30;297,059;114,558
01-04-2010 13:40;297,737;114,813
01-04-2010 13:50;298,350;115,049
01-04-2010 14:00;298,986;
01-04-2010 14:10;299,589;
01-04-2010 14:20;300,135;115,740
01-04-2010 14:30;300,636;115,946
01-04-2010 14:40;301,230;116,167
01-04-2010 14:50;301,804;116,396
01-04-2010 15:00;302,290;116,581
01-04-2010 15:10;302,780;
01-04-2010 15:20;303,160;116,911
01-04-2010 15:30;303,580;117,082
01-04-2010 15:40;303,969;117,230
01-04-2010 15:50;304,368;117,380
01-04-2010 16:00;304,684;117,506
01-04-2010 16:10;305,027;117,638
01-04-2010 16:20;305,329;
01-04-2010 16:30;305,640;117,872
01-04-2010 16:40;305,913;117,980
01-04-2010 16:50;306,159;118,071
01-04-2010 17:00;306,340;118,137
01-04-2010 17:10;306,501;118,203
01-04-2010 17:20;306,685;118,240
01-04-2010 17:30;306,800;118,312
01-04-2010 17:40;306,920;118,359
01-04-2010 17:50;307,053;118,410
01-04-2010 18:00;307,161;118,450
01-04-2010 18:10;307,249;118,484
01-04-2010 18:20;307,346;118,520
01-04-2010 18:30;307,439;118,552
01-04-2010 18:40;307,512;118,578
01-04-2010 18:50;307,580;118,602
01-04-2010 19:00;307,620;
01-04-2010 19:10;307,648;118,625
01-04-2010 19:20;307,665;118,629
01-04-2010 19:30;307,671;118,629
01-04-2010 19:40;307,671;118,629
01-04-2010 19:50;307,671;
01-04-2010 20:00;307,671;
01-04-2010 20:10;307,671;
01-04-2010 20:20;307,671;
01-04-2010 20:30;307,671;
01-04-2010 20:40;307,671;
01-04-2010 20:50;307,671;
01-04-2010 21:00;307,671;
01-04-2010 21:10;307,671;
01-04-2010 21:20;307,671;
01-04-2010 21:30;307,671;
01-04-2010 21:40;307,671;
01-04-2010 21:50;307,671;
01-04-2010 22:00;307,671;
01-04-2010 22:10;307,671;
01-04-2010 22:20;307,671;
01-04-2010 22:30;307,671;
01-04-2010 22:40;307,671;
01-04-2010 22:50;307,671;
01-04-2010 23:00;307,671;
01-04-2010 23:10;307,671;
01-04-2010 23:20;307,671;
01-04-2010 23:30;307,671;
01-04-2010 23:40;307,671;
01-04-2010 23:50;307,671;
