"GRO LAID","Council Name"
"00AA","City of London"
"00AB","Barking and Dagenham"
"00AC","Barnet"
"00AD","Bexley"
"00AE","Brent"
"00AF","Bromley"
"00AG","Camden"
"00AH","Croydon"
"00AJ","Ealing"
"00AK","Enfield"
"00AL","Greenwich"
"00AM","Hackney"
"00AN","Hammersmith and Fulham"
"00AP","Haringey"
"00AQ","Harrow"
"00AR","Havering"
"00AS","Hillingdon"
"00AT","Hounslow"
"00AU","Islington"
"00AW","Kensington and Chelsea"
"00AX","Kingston upon Thames"
"00AY","Lambeth"
"00AZ","Lewisham"
"00BA","Merton"
"00BB","Newham"
"00BC","Redbridge"
"00BD","Richmond upon Thames"
"00BE","Southwark"
"00BF","Sutton"
"00BG","Tower Hamlets"
"00BH","Waltham Forest"
"00BJ","Wandsworth"
"00BK","Westminster"
"00BL","Bolton"
"00BM","Bury"
"00BN","Manchester"
"00BP","Oldham"
"00BQ","Rochdale"
"00BR","Salford"
"00BS","Stockport"
"00BT","Tameside"
"00BU","Trafford"
"00BW","Wigan"
"00BX","Knowsley"
"00BY","Liverpool"
"00BZ","St. Helens"
"00CA","Sefton"
"00CB","Wirral"
"00CC","Barnsley"
"00CE","Doncaster"
"00CF","Rotherham"
"00CG","Sheffield"
"00CH","Gateshead"
"00CJ","Newcastle upon Tyne"
"00CK","North Tyneside"
"00CL","South Tyneside"
"00CM","Sunderland"
"00CN","Birmingham"
"00CQ","Coventry"
"00CR","Dudley"
"00CS","Sandwell"
"00CT","Solihull"
"00CU","Walsall"
"00CW","Wolverhampton"
"00CX","Bradford"
"00CY","Calderdale"
"00CZ","Kirklees"
"00DA","Leeds"
"00DB","Wakefield"
"00EB","Hartlepool"
"00EC","Middlesbrough"
"00EE","Redcar and Cleveland"
"00EF","Stockton-on-Tees"
"00EH","Darlington"
"00ET","Halton"
"00EU","Warrington"
"00EX","Blackburn with Darwen"
"00EY","Blackpool"
"00FA","Kingston upon Hull, City of"
"00FB","East Riding of Yorkshire"
"00FC","North East Lincolnshire"
"00FD","North Lincolnshire"
"00FF","York"
"00FK","Derby"
"00FN","Leicester"
"00FP","Rutland"
"00FY","Nottingham"
"00GA","Herefordshire, County of"
"00GF","Telford and Wrekin"
"00GL","Stoke-on-Trent"
"00HA","Bath and North East Somerset"
"00HB","Bristol, City of"
"00HC","North Somerset"
"00HD","South Gloucestershire"
"00HG","Plymouth"
"00HH","Torbay"
"00HN","Bournemouth"
"00HP","Poole"
"00HX","Swindon"
"00JA","Peterborough"
"00KA","Luton"
"00KF","Southend-on-Sea"
"00KG","Thurrock"
"00LC","Medway"
"00MA","Bracknell Forest"
"00MB","West Berkshire"
"00MC","Reading"
"00MD","Slough"
"00ME","Windsor and Maidenhead"
"00MF","Wokingham"
"00MG","Milton Keynes"
"00ML","Brighton and Hove"
"00MR","Portsmouth"
"00MS","Southampton"
"00MW","Isle of Wight"
"00NA","Isle of Anglesey"
"00NC","Gwynedd"
"00NE","Conwy"
"00NG","Denbighshire"
"00NJ","Flintshire"
"00NL","Wrexham"
"00NN","Powys"
"00NQ","Ceredigion"
"00NS","Pembrokeshire"
"00NU","Carmarthenshire"
"00NX","Swansea"
"00NZ","Neath Port Talbot"
"00PB","Bridgend"
"00PD","The Vale of Glamorgan"
"00PF","Rhondda, Cynon, Taff"
"00PH","Merthyr Tydfil"
"00PK","Caerphilly"
"00PL","Blaenau Gwent"
"00PM","Torfaen"
"00PP","Monmouthshire"
"00PR","Newport"
"00PT","Cardiff"
9,"Bedfordshire"
11,"Buckinghamshire"
12,"Cambridgeshire"
13,"Cheshire"
15,"Cornwall"
16,"Cumbria"
17,"Derbyshire"
18,"Devon"
19,"Dorset"
20,"Durham"
21,"East Sussex"
22,"Essex"
23,"Gloucestershire"
24,"Hampshire"
26,"Hertfordshire"
29,"Kent"
30,"Lancashire"
31,"Leicestershire"
32,"Lincolnshire"
33,"Norfolk"
34,"Northamptonshire"
35,"Northumberland"
36,"North Yorkshire"
37,"Nottinghamshire"
38,"Oxfordshire"
39,"Shropshire"
40,"Somerset"
41,"Staffordshire"
42,"Suffolk"
43,"Surrey"
44,"Warwickshire"
45,"West Sussex"
46,"Wiltshire"
47,"Worcestershire"
48,"Isles of Scilly"
