454 Software Release,2.3

sequence,all
Accuracy,Length,Percent of control keypass,Number of wells
100,100,73.27,7858
99,100,82.91,8892
98,100,85.95,9218
95,100,89.01,9546
80,100,93.64,10043
100,150,70.43,7554
99,150,80.83,8669
98,150,85.31,9150
95,150,88.00,9438
80,150,92.90,9963
100,200,66.96,7181
99,200,80.99,8686
98,200,83.66,8973
95,200,86.94,9324
80,200,92.53,9924
100,250,54.82,5879
99,250,75.89,8139
98,250,81.75,8768
95,250,85.57,9177
80,250,91.62,9826
100,300,33.72,3616
99,300,71.47,7665
98,300,78.51,8420
95,300,84.23,9034
80,300,90.84,9743
100,350,27.20,2917
99,350,60.42,6480
98,350,70.30,7540
95,350,79.82,8561
80,350,89.75,9626
100,400,17.43,1869
99,400,55.00,5899
98,400,64.45,6912
95,400,75.84,8134
80,400,88.60,9502Accuracy,Length,Percent of control keypass,Number of wells
100,100,71.62,6290
99,100,82.51,7247
98,100,86.14,7566
95,100,90.20,7922
80,100,95.61,8397
100,150,67.74,5950
99,150,79.19,6955
98,150,84.98,7464
95,150,88.89,7807
80,150,94.63,8311
100,200,62.95,5529
99,200,78.53,6897
98,200,82.74,7267
95,200,87.21,7660
80,200,93.81,8239
100,250,49.64,4360
99,250,71.44,6275
98,250,79.23,6959
95,250,85.03,7468
80,250,92.22,8100
100,300,27.97,2457
99,300,65.77,5777
98,300,74.78,6568
95,300,82.59,7254
80,300,90.70,7966
100,350,20.93,1838
99,350,54.21,4761
98,350,66.20,5814
95,350,77.39,6797
80,350,89.15,7830
100,400,13.57,1192
99,400,47.67,4187
98,400,59.49,5225
95,400,73.19,6428
80,400,87.44,7680
