State,2006,2007,2008,2009
Aguascalientes,3,27,35,34
"Baja California",163,154,604,320
"Baja California Sur",1,1,0,1
Campeche,3,2,3,2
Coahuila,17,29,53,151
Colima,2,0,3,12
Chiapas,14,12,30,30
Chihuahua,130,148,1649,2082
"Distrito Federal",137,145,137,173
Durango,64,130,268,637
Guanajuato,25,40,61,146
Guerrero,186,253,287,638
Hidalgo,16,37,37,36
Jalisco,45,93,145,212
Mexico,31,111,359,354
Michoacan,543,238,233,371
Morelos,10,17,26,77
Nayarit,1,2,5,22
"Nuevo Leon",50,107,78,99
Oaxaca,17,34,49,6
Puebla,4,2,15,26
Queretaro,0,4,7,14
"Quintana Roo",9,34,18,27
"San Luis Potosi",1,13,32,7
Sinaloa,350,346,680,767
Sonora,61,125,137,152
Tabasco,19,24,20,54
Tamaulipas,181,89,110,49
Tlaxcala,0,1,1,3
Veracruz,25,48,30,55
Yucatan,0,1,17,0
Zacatecas,12,13,24,30
