Date	INDICATORS_BCI_M	INDICATORS_CCI_M
1980-01-01	101.6588	NA
1980-02-01	101.6209	NA
1980-03-01	101.5946	NA
1980-04-01	101.5854	NA
1980-05-01	101.5694	NA
1980-06-01	101.5064	NA
1980-07-01	101.3602	NA
1980-08-01	101.1654	NA
1980-09-01	100.9607	NA
1980-10-01	100.771	NA
1980-11-01	100.5984	NA
1980-12-01	100.4441	NA
1981-01-01	100.3107	NA
1981-02-01	100.1887	NA
1981-03-01	100.071	NA
1981-04-01	99.95689	NA
1981-05-01	99.85085	NA
1981-06-01	99.76598	NA
1981-07-01	99.71864	NA
1981-08-01	99.70203	NA
1981-09-01	99.71587	NA
1981-10-01	99.76519	NA
1981-11-01	99.82868	NA
1981-12-01	99.88091	NA
1982-01-01	99.90019	NA
1982-02-01	99.88786	NA
1982-03-01	99.83813	NA
1982-04-01	99.73958	100.3671
1982-05-01	99.61403	100.1833
1982-06-01	99.48234	100.0129
1982-07-01	99.3571	99.88342
1982-08-01	99.24156	99.82497
1982-09-01	99.13935	99.8167
1982-10-01	99.05456	99.84547
1982-11-01	98.97847	99.91399
1982-12-01	98.90349	100.0121
1983-01-01	98.82834	100.1395
1983-02-01	98.76221	100.299
1983-03-01	98.72509	100.4606
1983-04-01	98.73904	100.5842
1983-05-01	98.79057	100.6406
1983-06-01	98.8717	100.6708
1983-07-01	98.98341	100.7293
1983-08-01	99.10964	100.8541
1983-09-01	99.23705	101.008
1983-10-01	99.36037	101.1367
1983-11-01	99.48649	101.1972
1983-12-01	99.62906	101.2116
1984-01-01	99.80013	101.207
1984-02-01	99.98547	101.2007
1984-03-01	100.1664	101.2053
1984-04-01	100.3271	101.2344
1984-05-01	100.4671	101.2985
1984-06-01	100.5807	101.3754
1984-07-01	100.6581	101.4381
1984-08-01	100.7123	101.4685
1984-09-01	100.7527	101.4862
1984-10-01	100.7804	101.5185
1984-11-01	100.7989	101.5819
1984-12-01	100.8065	101.6508
1985-01-01	100.7983	101.6845
1985-02-01	100.7784	101.6499
1985-03-01	100.7486	101.5792
1985-04-01	100.7072	101.5132
1985-05-01	100.6589	101.4806
1985-06-01	100.6059	101.4725
1985-07-01	100.5464	101.4756
1985-08-01	100.4777	101.4798
1985-09-01	100.3909	101.4752
1985-10-01	100.2761	101.4481
1985-11-01	100.145	101.3855
1985-12-01	100.0083	101.3021
1986-01-01	99.8715	101.2118
1986-02-01	99.73395	101.1195
1986-03-01	99.59263	101.0204
1986-04-01	99.44581	100.9006
1986-05-01	99.30071	100.7456
1986-06-01	99.17008	100.5681
1986-07-01	99.06704	100.3809
1986-08-01	98.9855	100.1914
1986-09-01	98.9235	100.0068
1986-10-01	98.88513	99.84052
1986-11-01	98.86281	99.71424
1986-12-01	98.85401	99.64185
1987-01-01	98.86197	99.66426
1987-02-01	98.88283	99.83051
1987-03-01	98.91856	100.0842
1987-04-01	98.97701	100.3708
1987-05-01	99.05695	100.6583
1987-06-01	99.16744	100.9243
1987-07-01	99.32543	101.1421
1987-08-01	99.52306	101.289
1987-09-01	99.76304	101.4023
1987-10-01	100.0545	101.5233
1987-11-01	100.3665	101.6758
1987-12-01	100.6629	101.8361
1988-01-01	100.9172	101.9631
1988-02-01	101.1421	102.0207
1988-03-01	101.3508	102.0333
1988-04-01	101.5461	102.0282
1988-05-01	101.7267	102.0231
1988-06-01	101.8805	102.0311
1988-07-01	101.9919	102.0659
1988-08-01	102.0765	102.1338
1988-09-01	102.1482	102.1984
1988-10-01	102.212	102.205
1988-11-01	102.2705	102.1061
1988-12-01	102.3229	101.9473
1989-01-01	102.3685	101.7824
1989-02-01	102.4165	101.6508
1989-03-01	102.4802	101.5589
1989-04-01	102.5688	101.5207
1989-05-01	102.6627	101.5589
1989-06-01	102.7327	101.6508
1989-07-01	102.7534	101.7824
1989-08-01	102.7403	101.9471
1989-09-01	102.7088	102.1059
1989-10-01	102.6667	102.205
1989-11-01	102.625	102.1993
1989-12-01	102.5945	102.1365
1990-01-01	102.5814	102.0712
1990-02-01	102.5725	102.0362
1990-03-01	102.5494	102.0169
1990-04-01	102.4991	101.9859
1990-05-01	102.4387	101.9225
1990-06-01	102.3926	101.8439
1990-07-01	102.3795	101.7771
1990-08-01	102.3853	101.7462
1990-09-01	102.3923	101.7478
1990-10-01	102.3885	101.7822
1990-11-01	102.3768	101.8515
1990-12-01	102.3618	101.9254
1991-01-01	102.3442	101.9634
1991-02-01	102.3199	101.9315
1991-03-01	102.2776	101.8562
1991-04-01	102.2046	101.7647
1991-05-01	102.1102	101.6691
1991-06-01	101.9999	101.5664
1991-07-01	101.8724	101.443
1991-08-01	101.7312	101.2864
1991-09-01	101.5732	101.1165
1991-10-01	101.3899	100.9604
1991-11-01	101.1862	100.8391
1991-12-01	100.9608	100.7416
1992-01-01	100.7077	100.6541
1992-02-01	100.4389	100.5673
1992-03-01	100.166	100.4715
1992-04-01	99.89802	100.3531
1992-05-01	99.64265	100.1983
1992-06-01	99.41438	100.0206
1992-07-01	99.2296	99.83296
1992-08-01	99.07495	99.64302
1992-09-01	98.94066	99.45798
1992-10-01	98.82386	99.29203
1992-11-01	98.71153	99.16883
1992-12-01	98.59196	99.10486
1993-01-01	98.46168	99.14129
1993-02-01	98.33979	99.3167
1993-03-01	98.25871	99.53938
1993-04-01	98.2466	99.6857
1993-05-01	98.26904	99.65141
1993-06-01	98.28345	99.47916
1993-07-01	98.25903	99.21017
1993-08-01	98.20467	98.87395
1993-09-01	98.13165	98.57468
1993-10-01	98.04608	98.46229
1993-11-01	97.96018	98.66649
1993-12-01	97.88948	99.04406
1994-01-01	97.85038	99.43108
1994-02-01	97.84259	99.72183
1994-03-01	97.87643	99.93823
1994-04-01	97.9689	100.1217
1994-05-01	98.09807	100.2992
1994-06-01	98.24646	100.4826
1994-07-01	98.40777	100.6738
1994-08-01	98.57428	100.8634
1994-09-01	98.74078	101.0228
1994-10-01	98.90311	101.0965
1994-11-01	99.05683	101.0258
1994-12-01	99.19169	100.8574
1995-01-01	99.2945	100.6317
1995-02-01	99.37115	100.3684
1995-03-01	99.41998	100.1097
1995-04-01	99.43151	99.91006
1995-05-01	99.41595	99.82044
1995-06-01	99.37722	99.81443
1995-07-01	99.31423	99.87775
1995-08-01	99.24524	100.0143
1995-09-01	99.19344	100.1829
1995-10-01	99.17855	100.3431
1995-11-01	99.19115	100.4692
1995-12-01	99.22453	100.5732
1996-01-01	99.27888	100.669
1996-02-01	99.34487	100.7606
1996-03-01	99.41611	100.8371
1996-04-01	99.48997	100.8725
1996-05-01	99.56319	100.8408
1996-06-01	99.63229	100.7714
1996-07-01	99.69447	100.6896
1996-08-01	99.75282	100.595
