"country","year","value","climate_model","scenario","variable"
"AGO",1960,159.819494178914,"gfdl","historic","precipitation"
"ALB",1960,56.2480477309417,"gfdl","historic","precipitation"
"ARG",1960,88.4848967690637,"gfdl","historic","precipitation"
"ARM",1960,"gfdl","historic","precipitation"
"AUS",1960,46.5772526526261,"gfdl","historic","precipitation"
"AZE",1960,33.0006326636067,"gfdl","historic","precipitation"
"BDI",1960,104.875347845515,"gfdl","historic","precipitation"
"BEN",1960,149.107800392669,"gfdl","historic","precipitation"
"BFA",1960,148.715909520373,"gfdl","historic","precipitation"
"BGD",1960,"gfdl","historic","precipitation"
"BGR",1960,50.8228171650039,"gfdl","historic","precipitation"
"BIH",1960,77.477287866774,"gfdl","historic","precipitation"
"BOL",1960,135.686826162051,"gfdl","historic","precipitation"
"BRA",1960,186.614137731155,"gfdl","historic","precipitation"
"BWA",1960,50.0836296060118,"gfdl","historic","precipitation"
"CAF",1960,167.668712474315,"gfdl","historic","precipitation"
"CAN",1960,78.0205900337358,"gfdl","historic","precipitation"
"CHL",1960,7.50427441304147,"gfdl","historic","precipitation"
"CHN",1960,90.2920172902518,"gfdl","historic","precipitation"
"CIV",1960,164.020884408495,"gfdl","historic","precipitation"
"CMR",1960,233.437030672768,"gfdl","historic","precipitation"
"COD",1960,151.690179367409,"gfdl","historic","precipitation"
"COG",1960,149.15064921543,"gfdl","historic","precipitation"
"COL",1960,128.679389275318,"gfdl","historic","precipitation"
"CRI",1960,115.959714912224,"gfdl","historic","precipitation"
"CUB",1960,71.6745863776713,"gfdl","historic","precipitation"
"DEU",1960,"gfdl","historic","precipitation"
"DJI",1960,"gfdl","historic","precipitation"
"DOM",1960,100.819550932925,"gfdl","historic","precipitation"
"DZA",1960,"gfdl","historic","precipitation"
"ECU",1960,"gfdl","historic","precipitation"
"EGY",1960,1.68262501872013,"gfdl","historic","precipitation"
"ERI",1960,72.2066737673312,"gfdl","historic","precipitation"
"ESP",1960,44.3545067215582,"gfdl","historic","precipitation"
"ETH",1960,109.544632974745,"gfdl","historic","precipitation"
"FRA",1960,71.0991045511138,"gfdl","historic","precipitation"
"GAB",1960,426.890219123752,"gfdl","historic","precipitation"
"GEO",1960,83.7797793203876,"gfdl","historic","precipitation"
"GHA",1960,171.350934233769,"gfdl","historic","precipitation"
"GIN",1960,214.481209463619,"gfdl","historic","precipitation"
"GMB",1960,149.197398603064,"gfdl","historic","precipitation"
"GNB",1960,194.084370285552,"gfdl","historic","precipitation"
"GTM",1960,70.458662669575,"gfdl","historic","precipitation"
"GUF",1960,"gfdl","historic","precipitation"
"HRV",1960,71.3340705867469,"gfdl","historic","precipitation"
"HTI",1960,74.8818191814614,"gfdl","historic","precipitation"
"HUN",1960,55.2604029038539,"gfdl","historic","precipitation"
"IDN",1960,197.823352948673,"gfdl","historic","precipitation"
"IND",1960,353.458579165047,"gfdl","historic","precipitation"
"IRN",1960,35.2075223721544,"gfdl","historic","precipitation"
"IRQ",1960,0.418260708169716,"gfdl","historic","precipitation"
"ITA",1960,87.597045644408,"gfdl","historic","precipitation"
"JOR",1960,"gfdl","historic","precipitation"
"KAZ",1960,"gfdl","historic","precipitation"
"KEN",1960,47.1494238890971,"gfdl","historic","precipitation"
"KGZ",1960,30.8722239899038,"gfdl","historic","precipitation"
"KHM",1960,198.555151882129,"gfdl","historic","precipitation"
"KOR",1960,149.457691554791,"gfdl","historic","precipitation"
"KWT",1960,"gfdl","historic","precipitation"
"LAO",1960,235.024386906677,"gfdl","historic","precipitation"
"LBY",1960,"gfdl","historic","precipitation"
"LKA",1960,129.183630503605,"gfdl","historic","precipitation"
"LSO",1960,74.1405253164601,"gfdl","historic","precipitation"
"MAR",1960,48.6234428743499,"gfdl","historic","precipitation"
"MDA",1960,67.5790082101401,"gfdl","historic","precipitation"
"MDG",1960,227.493366004262,"gfdl","historic","precipitation"
"MEX",1960,106.911188554776,"gfdl","historic","precipitation"
"MKD",1960,42.4906926484936,"gfdl","historic","precipitation"
"MLI",1960,143.970430841052,"gfdl","historic","precipitation"
"MMR",1960,43.8574099750155,"gfdl","historic","precipitation"
"MNG",1960,"gfdl","historic","precipitation"
"MOZ",1960,138.769801940049,"gfdl","historic","precipitation"
"MRT",1960,76.3108037170816,"gfdl","historic","precipitation"
"MWI",1960,120.359313829341,"gfdl","historic","precipitation"
"MYS",1960,"gfdl","historic","precipitation"
"NAM",1960,57.7564055053628,"gfdl","historic","precipitation"
"NER",1960,75.0486864880683,"gfdl","historic","precipitation"
"NGA",1960,165.204754132603,"gfdl","historic","precipitation"
"NIC",1960,33.2330164736034,"gfdl","historic","precipitation"
"NPL",1960,260.998503823242,"gfdl","historic","precipitation"
"OMN",1960,"gfdl","historic","precipitation"
"PAK",1960,69.4120301041814,"gfdl","historic","precipitation"
"PAN",1960,192.733150940713,"gfdl","historic","precipitation"
"PER",1960,120.902422474631,"gfdl","historic","precipitation"
"PHL",1960,131.775446316691,"gfdl","historic","precipitation"
"POL",1960,75.7763979927404,"gfdl","historic","precipitation"
"PRK",1960,143.604169399137,"gfdl","historic","precipitation"
"PRY",1960,183.269327393441,"gfdl","historic","precipitation"
"ROU",1960,71.1478626096049,"gfdl","historic","precipitation"
"RUS",1960,46.491434900726,"gfdl","historic","precipitation"
"RWA",1960,51.8145607868389,"gfdl","historic","precipitation"
"SAU",1960,16.7928409609633,"gfdl","historic","precipitation"
"SCG",1960,61.0713917279655,"gfdl","historic","precipitation"
"SDN",1960,114.536014287046,"gfdl","historic","precipitation"
"SEN",1960,159.537702115844,"gfdl","historic","precipitation"
"SLE",1960,350.49221488874,"gfdl","historic","precipitation"
"SLV",1960,26.2678856243985,"gfdl","historic","precipitation"
"SOM",1960,61.4313144146946,"gfdl","historic","precipitation"
"SUR",1960,"gfdl","historic","precipitation"
"SVN",1960,110.411954874061,"gfdl","historic","precipitation"
"SWZ",1960,106.544681220377,"gfdl","historic","precipitation"
"SYR",1960,32.6165283821187,"gfdl","historic","precipitation"
"TCD",1960,103.887135648225,"gfdl","historic","precipitation"
"TGO",1960,154.284953985344,"gfdl","historic","precipitation"
"THA",1960,138.754449981788,"gfdl","historic","precipitation"
"TJK",1960,12.6589520459675,"gfdl","historic","precipitation"
"TKM",1960,3.93865497442327,"gfdl","historic","precipitation"
"TLS",1960,180.153888229811,"gfdl","historic","precipitation"
"TTO",1960,195.839698638949,"gfdl","historic","precipitation"
"TUR",1960,32.8185880362246,"gfdl","historic","precipitation"
"TZA",1960,87.826811422567,"gfdl","historic","precipitation"
