[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Configuration General-1, Owner=User-1, Creation date=7/25/2007 1:24:35 PM"
Comment - 2,"Goniometer=PW3050/20 HR  (Theta/2Theta); Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=MRD Cradle; Minimum step size Phi:0.01; Minimum step size Psi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=XPERT-MPD"
Comment - 5,"Measurement program=Sara Port, Owner=SPAC, Creation date=11/17/2015 3:06:16 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Monochromator used,NO
File date and time,02/Feb/2017 13:19
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,15.00000,85.05000
No. of points, 7005
Scan type,CONTINUOUS
[Scan points]
Angle,Intensity
15.00500,75.0
15.01500,47.0
15.02500,55.0
15.03500,58.0
15.04500,61.0
15.05500,63.0
15.06500,57.0
15.07500,63.0
15.08500,59.0
15.09500,45.0
15.10500,36.0
15.11500,55.0
15.12500,45.0
15.13500,59.0
15.14500,48.0
15.15500,55.0
15.16500,58.0
15.17500,44.0
15.18500,58.0
15.19500,70.0
15.20500,56.0
15.21500,52.0
15.22500,41.0
15.23500,65.0
15.24500,52.0
15.25500,57.0
15.26500,43.0
15.27500,50.0
15.28500,64.0
15.29500,59.0
15.30500,65.0
15.31500,85.0
15.32500,64.0
15.33500,63.0
15.34500,42.0
15.35500,56.0
15.36500,50.0
15.37500,54.0
15.38500,67.0
15.39500,64.0
15.40500,60.0
15.41500,72.0
15.42500,68.0
15.43500,59.0
15.44500,76.0
15.45500,73.0
15.46500,47.0
15.47500,49.0
15.48500,55.0
15.49500,51.0
15.50500,74.0
15.51500,70.0
15.52500,63.0
15.53500,55.0
15.54500,57.0
15.55500,65.0
15.56500,60.0
15.57500,73.0
15.58500,52.0
15.59500,51.0
15.60500,78.0
15.61500,57.0
15.62500,50.0
15.63500,62.0
15.64500,68.0
15.65500,40.0
15.66500,61.0
15.67500,65.0
15.68500,63.0
15.69500,79.0
15.70500,72.0
15.71500,74.0
15.72500,48.0
15.73500,68.0
15.74500,58.0
15.75500,57.0
15.76500,63.0
15.77500,49.0
15.78500,51.0
15.79500,66.0
15.80500,61.0
15.81500,63.0
15.82500,57.0
15.83500,59.0
15.84500,71.0
15.85500,51.0
15.86500,62.0
15.87500,72.0
15.88500,63.0
15.89500,60.0
15.90500,71.0
15.91500,56.0
15.92500,60.0
15.93500,66.0
15.94500,66.0
15.95500,42.0
15.96500,61.0
15.97500,49.0
15.98500,58.0
15.99500,49.0
16.00500,68.0
16.01500,66.0
16.02500,57.0
16.03500,58.0
16.04500,59.0
16.05500,65.0
16.06500,61.0
16.07500,37.0
16.08500,65.0
16.09500,64.0
16.10500,53.0
16.11500,43.0
16.12500,47.0
16.13500,53.0
16.14500,55.0
16.15500,62.0
16.16500,46.0
16.17500,36.0
