l	Wx	Wy	Wz
390	0.005956954	0.000141832	0.02850828
395	0.014324104	0.00037695	0.068227969
400	0.033553795	0.000938568	0.159321864
405	0.058412036	0.001510656	0.277457171
410	0.116975899	0.003226921	0.557719573
415	0.215322276	0.006104498	1.030272696
420	0.383803743	0.01142273	1.843628693
425	0.602154947	0.020464298	2.912938571
430	0.781001589	0.031911301	3.811749918
435	1.03659137	0.053012892	5.121424029
440	1.239977369	0.081881939	6.219823318
445	1.341985208	0.114884111	6.872228759
450	1.395316984	0.157709832	7.354673491
455	1.348473794	0.203096147	7.379583134
460	1.25395308	0.258724845	7.197725175
465	1.087543887	0.320069666	6.618382373
470	0.850020582	0.395864242	5.601261523
475	0.631007336	0.500010035	4.626647032
480	0.433165169	0.629811281	3.68371634
485	0.258382163	0.754208623	2.745087734
490	0.140118827	0.910772374	2.036977444
495	0.065696406	1.155720454	1.578948323
500	0.022318587	1.471204846	1.238909344
505	0.010988667	1.864868309	0.972039141
510	0.042758136	2.312617449	0.727348072
515	0.134207088	2.804974255	0.515152292
520	0.292537554	3.281226914	0.361397105
525	0.519551471	3.760111562	0.271626819
530	0.804233995	4.188819962	0.20506752
535	1.090325798	4.419756635	0.14395972
540	1.393207587	4.576859634	0.0973902
545	1.739373433	4.74036079	0.064797342
550	2.110198098	4.844594157	0.042359768
555	2.466573009	4.81658467	0.027454533
560	2.82950552	4.735673663	0.018561937
565	3.193308062	4.606384536	0.012709215
570	3.543767427	4.426803031	0.009765007
575	3.941686809	4.282753834	0.008421408
580	4.313131157	4.095191648	0.008002099
585	4.480628841	3.737520256	0.006410056
590	4.567143174	3.368729789	0.004895116
595	4.808042371	3.161832728	0.004550054
600	4.939233382	2.934152009	0.003720003
605	4.901855353	2.65720315	0.002812847
610	4.738442723	2.377255824	0.001417846
615	4.430557302	2.083079584	0.000944279
620	4.025827117	1.795224873	0.000942375
625	3.483283593	1.488067652	0.000463572
630	2.926012362	1.207025647	0
635	2.509520096	1.00491947	0
640	2.106185864	0.822912539	0
645	1.67085228	0.639999404	0
650	1.291289702	0.487365073	0
655	1.009669422	0.37672165	0
660	0.770709709	0.285101833	0
665	0.580308975	0.213546042	0
670	0.4284571	0.156872165	0
675	0.306032083	0.111634345	0
680	0.220738554	0.080182808	0
685	0.146095295	0.052842979	0
690	0.094426953	0.034110177	0
695	0.06730368	0.024280441	0
700	0.0497003	0.017874669	0
705	0.035583233	0.012739676	0
710	0.025644982	0.009285252	0
715	0.016567243	0.006061186	0
720	0.010600294	0.003655274	0
725	0.007776976	0.002721941	0
730	0.005770383	0.002060851	0
735	0.004264486	0.001705794	0
740	0.003085089	0.000881454	0
745	0.002032294	0.000812918	0
750	0.001116572	0.000372191	0
755	0.000647288	0.000323644	0
760	0.000549243	0.000274621	0
765	0.000334591	0	0
770	0.00039456	0	0
775	0.000383613	0	0
780	0	0	0
785	0	0	0
790	0	0	0
795	0	0	0
800	0	0	0
805	0	0	0
810	0	0	0
815	0	0	0
820	0	0	0
825	0	0	0
830	0	0	0
