off.aut,slp.aut,rod.dens,weight,sex,tot.l,grid,session,year,month,cof.new
77.19999992,-0.231483054,0,45,Male,14,F,11,2004,6,0
50.50448808,-0.13345021,0,44.5,Male,5,A,18,2008,10,0
62.13964213,-0.172085908,0,40.5,Male,31,F,13,2010,7,0
39.05979455,-0.08643096,0,39.5,Male,1,A,6,2007,4,0
59.72814836,-0.169606831,0,39,Male,23,A,8,2011,5,1
64.37404636,-0.178986021,0,38.5,Male,13,E,8,2013,5,0
49.24122266,-0.123204846,0,36.5,Male,0,A,6,2005,4,0
64.37404636,-0.178986021,0,36,Male,54,F,8,2013,5,0
62.13964213,-0.172085908,0,34.5,Male,17,F,13,2010,7,0
77.19999992,-0.231483054,0,34.5,Male,32,C,10,2004,6,1
77.19999992,-0.231483054,0,33.5,Male,50,C,10,2004,6,0
50.50448808,-0.13345021,0,33.5,Male,5,E,13,2008,7,0
50.50448808,-0.13345021,0,33.5,Male,9,E,13,2008,7,0
49.24122266,-0.123204846,0,33,Male,1,E,6,2005,4,0
62.13964213,-0.172085908,0,32.5,Male,31,F,13,2010,7,1
77.19999992,-0.231483054,0,32.5,Male,13,C,10,2004,6,0
77.19999992,-0.231483054,0,32,Male,5,F,8,2004,5,0
77.19999992,-0.231483054,0,32,Male,48,E,8,2004,5,0
51.42889355,-0.132821386,0,31,Male,5,A,8,2002,5,1
59.72814836,-0.169606831,0,31,Male,29,C,6,2011,4,0
77.19999992,-0.231483054,0,31,Male,11,A,10,2004,6,0
50.50448808,-0.13345021,0,30.5,Male,4,E,13,2008,7,0
64.37404636,-0.178986021,0,29.5,Male,60,F,8,2013,5,0
62.13964213,-0.172085908,0,28,Male,33,F,13,2010,7,0
59.72814836,-0.169606831,0,26.5,Male,10,A,8,2011,5,0
52.63587072,-0.13971071,0,25,Male,20,A,10,2003,6,0
64.37404636,-0.178986021,0,43.5,Female,7,E,8,2013,5,0
77.19999992,-0.231483054,0,37,Female,7,F,11,2004,6,0
77.19999992,-0.231483054,0,35.5,Female,2,F,11,2004,6,0
64.37404636,-0.178986021,0,35.5,Female,12,E,8,2013,5,0
49.24122266,-0.123204846,0,33,Female,0,E,6,2005,4,0
50.4648552,-0.127622798,0,33,Female,1,F,19,2001,10,0
59.72814836,-0.169606831,0,27.5,Female,9,C,6,2011,4,0
64.37404636,-0.178986021,0,24.5,Female,26,E,8,2013,5,0
52.63587072,-0.13971071,0,22,Female,25,A,10,2003,6,0
50.4648552,-0.127622798,0,21.5,Female,6,F,19,2001,10,0
62.13964213,-0.172085908,0,37.5,Male,24,E,7,2010,4,0
59.72814836,-0.169606831,0,37.5,Male,0,C,1,2011,1,0
62.13964213,-0.172085908,0,36,Male,54,C,9,2010,5,0
64.37404636,-0.178986021,0,33.5,Male,50,E,8,2013,5,0
64.37404636,-0.178986021,0,32,Male,24,F,7,2013,4,0
39.05979455,-0.08643096,0,30,Male,0,A,6,2007,4,0
50.4648552,-0.127622798,0,29.5,Male,0,F,19,2001,10,0
52.63587072,-0.13971071,0,29,Male,18,A,10,2003,6,1
39.05979455,-0.08643096,0,28.5,Male,1,A,6,2007,4,0
62.13964213,-0.172085908,0,28,Male,86,C,9,2010,5,0
62.13964213,-0.172085908,0,27.5,Male,13,A,7,2010,4,0
59.72814836,-0.169606831,0,26.5,Male,0,C,1,2011,1,0
50.4648552,-0.127622798,0,26,Male,6,F,19,2001,10,0
50.4648552,-0.127622798,0,25,Male,1,F,19,2001,10,0
62.13964213,-0.172085908,0,24,Male,12,C,9,2010,5,0
52.63587072,-0.13971071,0,23,Male,0,E,4,2003,3,0
77.19999992,-0.231483054,0,22,Male,7,E,8,2004,5,0
51.42889355,-0.132821386,0,21.5,Male,20,F,19,2002,10,0
52.63587072,-0.13971071,0,21.5,Male,1,C,3,2003,2,0
64.37404636,-0.178986021,0,21.5,Male,6,F,8,2013,5,0
52.63587072,-0.13971071,0,19.5,Male,0,A,1,2003,1,0
50.4648552,-0.127622798,0,35,Female,33,C,8,2001,5,0
50.50448808,-0.13345021,0,34.5,Female,11,E,13,2008,7,0
49.24122266,-0.123204846,0,33.5,Female,0,A,6,2005,4,0
62.13964213,-0.172085908,0,33,Female,0,E,7,2010,4,0
77.19999992,-0.231483054,0,33,Female,1,F,11,2004,6,0
77.19999992,-0.231483054,0,33,Female,9,C,10,2004,6,0
49.24122266,-0.123204846,0,32.5,Female,0,A,6,2005,4,0
51.42889355,-0.132821386,0,32,Female,4,F,19,2002,10,0
62.13964213,-0.172085908,0,32,Female,2,F,13,2010,7,0
49.24122266,-0.123204846,0,31.5,Female,0,E,6,2005,4,0
50.50448808,-0.13345021,0,31.5,Female,3,A,18,2008,10,0
62.13964213,-0.172085908,0,29,Female,8,A,7,2010,4,0
62.13964213,-0.172085908,0,28,Female,6,F,13,2010,7,0
62.13964213,-0.172085908,0,27.5,Female,0,F,7,2010,4,0
77.19999992,-0.231483054,0,26.5,Female,3,E,8,2004,5,0
50.4648552,-0.127622798,0,25.5,Female,2,A,3,2001,2,0
51.42889355,-0.132821386,0,25,Female,2,A,8,2002,5,0
52.63587072,-0.13971071,0,25,Female,9,C,9,2003,5,0
59.72814836,-0.169606831,0,23,Female,0,A,1,2011,1,0
62.13964213,-0.172085908,0,21,Female,28,F,13,2010,7,0
52.63587072,-0.13971071,0,20,Female,17,A,10,2003,6,0
49.0284489,-0.127000139,0,20,Female,33,E,9,2006,5,0
59.72814836,-0.169606831,0,18,Female,0,C,1,2011,1,0
51.42889355,-0.132821386,0,15,Female,11,F,19,2002,10,0
62.13964213,-0.172085908,0,19,Male,8,F,9,2010,5,0
77.19999992,-0.231483054,0,18,Male,16,C,10,2004,6,0
77.19999992,-0.231483054,0,15,Male,1,F,11,2004,6,0
59.72814836,-0.169606831,0,13.5,Male,6,C,6,2011,4,0
77.19999992,-0.231483054,0,13,Male,0,F,11,2004,6,0
50.4648552,-0.127622798,0,9,Male,5,C,17,2001,9,0
50.50448808,-0.13345021,0.35,21.5,Female,1,A,3,2008,2,0
51.15384615,-0.128595318,0.49,43,Male,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,36.5,Male,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,34.5,Male,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,32,Male,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,29,Male,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,35.5,Female,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,35.5,Female,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,27.5,Female,0,F,3,2014,2,0
51.15384615,-0.128595318,0.49,22.5,Female,0,F,3,2014,2,0
77.19999992,-0.231483054,0.69,38,Male,1,A,16,2004,9,0
50.50448808,-0.13345021,0.69,37.5,Male,21,E,18,2008,10,0
51.42889355,-0.132821386,0.69,35,Male,8,F,17,2002,9,0
50.4648552,-0.127622798,0.69,32.5,Male,58,E,8,2001,5,0
50.50448808,-0.13345021,0.69,30.5,Male,31,E,11,2008,6,0
62.13964213,-0.172085908,0.69,48.5,Female,6,C,19,2010,10,0
49.24122266,-0.123204846,0.69,42.5,Female,1,C,6,2005,4,0
50.4648552,-0.127622798,0.69,38.5,Female,44,A,8,2001,5,0
50.4648552,-0.127622798,0.69,36,Female,42,A,8,2001,5,0
50.50448808,-0.13345021,0.69,33.5,Female,5,E,18,2008,10,0
50.4648552,-0.127622798,0.69,32.5,Female,1,A,16,2001,9,0
50.4648552,-0.127622798,0.69,31.5,Female,11,C,6,2001,4,0
50.4648552,-0.127622798,0.69,31.5,Female,0,A,7,2001,4,0
50.50448808,-0.13345021,0.69,13.5,Female,17,E,11,2008,6,0
59.72814836,-0.169606831,0.69,33.5,Male,2,F,21,2011,11,0
52.63587072,-0.13971071,0.69,32,Male,12,A,17,2003,9,0
52.63587072,-0.13971071,0.69,23,Male,5,A,4,2003,3,0
50.50448808,-0.13345021,0.69,23,Male,2,C,3,2008,2,0
52.63587072,-0.13971071,0.69,21,Male,55,E,8,2003,5,2
52.63587072,-0.13971071,0.69,20,Male,0,A,3,2003,2,0
52.63587072,-0.13971071,0.69,15,Male,0,A,5,2003,3,0
50.50448808,-0.13345021,0.69,34,Female,6,E,11,2008,6,0
50.4648552,-0.127622798,0.69,33.5,Female,3,A,6,2001,4,0
52.63587072,-0.13971071,0.69,33,Female,6,E,19,2003,10,0
52.63587072,-0.13971071,0.69,33,Female,32,F,17,2003,9,0
50.4648552,-0.127622798,0.69,32.5,Female,2,F,16,2001,9,0
64.37404636,-0.178986021,0.69,30,Female,0,E,1,2013,1,0
63.51479818,-0.176510026,0.69,24.5,Female,82,C,9,2012,5,0
64.37404636,-0.178986021,0.69,24.5,Female,1,C,1,2013,1,0
50.50448808,-0.13345021,0.69,24,Female,0,C,3,2008,2,0
50.50448808,-0.13345021,0.69,20.5,Female,0,C,3,2008,2,0
50.50448808,-0.13345021,0.69,19,Female,0,C,1,2008,1,0
50.4648552,-0.127622798,0.93,32.5,Male,90,C,10,2001,6,1
