% This text file includes data for each subsurface RAFOS
% float used in Collins et al., 2017.  The file contains six
% columns of ascii data at a temporal resolution of 12
% hours.  The first column is float number, the second is
% time, the third is longitude (degrees), the fourth is
% latitude (degrees), the fifth is pressure (decibars)
% and the sixth is temperature (T90).  Time is serial
% date number where a serial date number of 1 corresponds
% to Jan-1-0000.  Time is referenced to coordinated universal
% time (UTC).NaN is used when data is not available.  For
% some floats, the pressure and temperature data are erratic
% (a discussion of this issue can be found in Bower, 1994). 
% Data are smoothed as described in the Methods section
% of Collins et al., 2018.
%
% References: 
%
% Bower, A.S., 1994.  Pressure transducer tests-1986.  
% RAFOS Float Technology Workshop Proc., Woods Hole,
% MA, Woods Hole Oceanogr. Inst., 98-107.
%
% Collins, C.A., et al., 2018.  Lagrangian Observations of 
% the Along-slope Path of the California Undercurrent,
% Deep-Sea Res. II, submitted.
%
% C. A. Collins, 15 January, 2018 Email: collins@nps.edu
%
%fltno  time    lon       lat   pressure temperature
   3 728117.0  -123.559   37.793  302.5   6.93
   3 728117.5  -123.601   37.842  304.0   6.93
   3 728118.0  -123.647   37.884  309.8   6.96
   3 728118.5  -123.699   37.918  314.2   6.99
   3 728119.0  -123.760   37.944  319.4   6.94
   3 728119.5  -123.827   37.964  321.0   6.91
   3 728120.0  -123.898   37.977  324.9   6.92
   3 728120.5  -123.969   37.985  335.4   6.93
   3 728121.0  -124.034   37.995  340.7   6.97
   3 728121.5  -124.088   38.011  352.4   7.00
   3 728122.0  -124.126   38.034  356.6   6.95
   3 728122.5  -124.145   38.062  357.6   6.89
   3 728123.0  -124.148   38.093  360.9   6.89
   3 728123.5  -124.139   38.127  365.2   6.88
   3 728124.0  -124.115   38.162  360.5   6.78
   3 728124.5  -124.074   38.196  364.3   6.77
   3 728125.0  -124.014   38.231  358.0   6.76
   3 728125.5  -123.940   38.261  360.0   6.75
   3 728126.0  -123.857   38.281  357.1   6.68
   3 728126.5  -123.776   38.289  355.6   6.70
   3 728127.0  -123.705   38.288  358.2   6.69
   3 728127.5  -123.649   38.285  364.7   6.74
   3 728128.0  -123.606   38.286  364.3   6.76
   3 728128.5  -123.579   38.287  370.8   6.80
   3 728129.0  -123.567   38.285  365.8   6.77
   3 728129.5  -123.566   38.277  367.4   6.86
   3 728130.0  -123.568   38.268  357.8   6.77
   3 728130.5  -123.565   38.260  373.6   6.85
   3 728131.0  -123.559   38.252  378.8   6.89
   3 728131.5  -123.554   38.240  377.5   6.84
   3 728132.0  -123.549   38.225  364.8   6.77
   3 728132.5  -123.543   38.204  377.5   6.83
   3 728133.0  -123.538   38.179  363.3   6.77
   3 728133.5  -123.533   38.153  377.2   6.92
   3 728134.0  -123.525   38.133  371.8   6.84
   3 728134.5  -123.514   38.121  365.3   6.77
   3 728135.0  -123.502   38.123  379.6   6.93
   3 728135.5  -123.491   38.138  375.0   6.82
   3 728136.0  -123.485   38.165  381.4    NaN
   3 728136.5  -123.488   38.199  382.9    NaN
