Longitude,Latitude,Relative Height,CPS
3735.2075,14042.1015,8.7,100
3735.2075,14042.1015,8.7,96
3735.208,14042.1015,8.7,88
3735.208,14042.1015,8.7,96
3735.208,14042.1015,8.7,104
3735.208,14042.1015,8.7,92
3735.208,14042.1015,8.7,80
3735.208,14042.1015,8.7,94
3735.208,14042.1015,12.0,100
3735.208,14042.1015,12.1,106
3735.2082,14042.1015,8.7,116
3735.2082,14042.1015,8.7,106
3735.2082,14042.1015,8.7,100
3735.2082,14042.1015,8.7,98
3735.2082,14042.1015,8.7,120
3735.2082,14042.1015,8.7,96
3735.2082,14042.1015,12.1,96
3735.2082,14042.1015,12.1,102
3735.2087,14042.1015,8.7,104
3735.2094,14042.1015,12.1,72
3735.2094,14042.1015,12.1,88
3735.2099,14042.1015,10.1,86
3735.2099,14042.1015,10.1,94
3735.2099,14042.1015,12.1,126
3735.2099,14042.1015,12.1,106
3735.2102,14042.1015,10.0,84
3735.2102,14042.1015,10.1,92
3735.2102,14042.1015,10.1,100
3735.2102,14042.1015,10.1,122
3735.2106,14042.1015,11.8,122
3735.2106,14042.1015,12.0,84
3735.2114,14042.1015,11.2,130
3735.2114,14042.1015,11.3,140
3735.2114,14042.1015,11.5,160
3735.2114,14042.1015,11.7,124
3735.2119,14042.1015,11.5,184
3735.2119,14042.1015,11.7,90
3735.2126,14042.1015,11.3,122
3735.2126,14042.1015,11.7,162
3735.2377,14042.1015,6.3,142
3735.2377,14042.1015,6.3,126
3735.2377,14042.1015,6.4,150
3735.2377,14042.1015,6.4,130
3735.2382,14042.1015,5.9,132
3735.2382,14042.1015,5.9,110
3735.2382,14042.1015,6.1,144
3735.2382,14042.1015,6.1,186
3735.2382,14042.1015,6.3,170
3735.2382,14042.1015,6.3,170
3735.2382,14042.1015,6.3,152
3735.2382,14042.1015,6.4,158
3735.2382,14042.1015,6.6,134
3735.2387,14042.1015,6.1,142
3735.2387,14042.1015,6.3,148
3735.2434,14042.1015,21.5,146
3735.2434,14042.1015,21.5,154
3735.2438,14042.1015,21.4,164
3735.2438,14042.1015,21.4,184
3735.2438,14042.1015,21.4,182
3735.2067,14042.1005,8.7,124
3735.2067,14042.1005,8.7,90
3735.207,14042.1005,8.7,88
3735.207,14042.1005,8.7,88
3735.207,14042.1005,8.7,78
3735.207,14042.1005,8.7,86
3735.208,14042.1005,11.8,88
3735.208,14042.1005,11.8,98
3735.208,14042.1005,11.8,104
3735.208,14042.1005,11.8,104
3735.208,14042.1005,12.0,110
3735.208,14042.1005,12.0,110
3735.208,14042.1005,12.1,112
3735.208,14042.1005,12.1,114
3735.208,14042.1005,12.1,100
3735.208,14042.1005,12.1,116
3735.208,14042.1005,12.1,110
3735.208,14042.1005,12.1,132
3735.208,14042.1005,12.1,96
3735.2087,14042.1005,9.7,82
3735.2087,14042.1005,9.7,104
3735.2087,14042.1005,9.7,80
3735.2087,14042.1005,9.7,88
3735.2087,14042.1005,9.7,92
3735.2087,14042.1005,9.7,76
3735.2087,14042.1005,10.0,82
3735.2087,14042.1005,10.0,100
3735.2087,14042.1005,10.1,128
3735.2087,14042.1005,10.1,90
3735.2087,14042.1005,10.1,92
3735.2087,14042.1005,10.1,86
3735.2087,14042.1005,10.1,106
3735.2087,14042.1005,10.1,94
3735.2087,14042.1005,10.1,88
3735.2087,14042.1005,10.1,76
3735.2087,14042.1005,10.1,114
3735.2087,14042.1005,10.1,86
3735.2087,14042.1005,12.1,74
3735.2087,14042.1005,12.1,98
3735.2089,14042.1005,9.7,90
3735.2089,14042.1005,9.7,90
3735.2089,14042.1005,12.1,100
3735.2089,14042.1005,12.1,110
3735.2094,14042.1005,10.1,108
3735.2094,14042.1005,10.1,96
3735.2099,14042.1005,10.0,100
3735.2099,14042.1005,10.0,120
3735.2099,14042.1005,10.1,78
3735.2099,14042.1005,10.1,70
3735.2102,14042.1005,9.7,114
3735.2102,14042.1005,9.7,92
3735.2102,14042.1005,9.7,96
3735.2102,14042.1005,9.7,118
3735.2102,14042.1005,10.1,108
3735.2102,14042.1005,11.8,82
3735.2102,14042.1005,12.0,104
3735.2102,14042.1005,12.1,84
3735.2102,14042.1005,12.1,88
3735.2102,14042.1005,13.5,116
3735.2102,14042.1005,13.7,92
3735.2106,14042.1005,11.8,96
3735.2106,14042.1005,12.0,112
3735.2111,14042.1005,10.3,122
3735.2111,14042.1005,11.4,78
3735.2111,14042.1005,11.6,104
3735.2111,14042.1005,11.6,104
3735.2111,14042.1005,11.7,104
3735.2111,14042.1005,11.7,84
3735.2111,14042.1005,11.7,104
3735.2111,14042.1005,11.7,108
3735.2111,14042.1005,11.7,120
3735.2111,14042.1005,11.7,90
3735.2111,14042.1005,11.7,94
3735.2111,14042.1005,11.7,90
3735.2111,14042.1005,11.7,98
3735.2111,14042.1005,11.7,90
3735.2111,14042.1005,11.8,90
3735.2111,14042.1005,11.8,96
3735.2111,14042.1005,11.8,104
3735.2111,14042.1005,11.8,78
3735.2111,14042.1005,11.8,90
3735.2111,14042.1005,12.0,102
3735.2111,14042.1005,12.0,82
3735.2111,14042.1005,12.0,102
3735.2111,14042.1005,12.0,112
3735.2111,14042.1005,12.0,90
3735.2111,14042.1005,12.0,128
3735.2111,14042.1005,12.0,84
3735.2111,14042.1005,12.0,92
3735.2111,14042.1005,12.0,86
3735.2111,14042.1005,12.1,98
3735.2111,14042.1005,12.1,98
3735.2111,14042.1005,12.1,68
3735.2111,14042.1005,13.7,132
3735.2111,14042.1005,13.7,94
3735.2111,14042.1005,13.7,90
3735.2111,14042.1005,13.7,94
3735.2126,14042.1005,10.5,166
3735.2126,14042.1005,10.6,180
3735.2126,14042.1005,11.0,164
3735.2189,14042.1005,5.9,94
3735.2189,14042.1005,6.0,74
3735.2189,14042.1005,6.0,110
3735.2189,14042.1005,6.0,88
3735.2189,14042.1005,6.0,102
3735.2189,14042.1005,6.0,98
3735.2189,14042.1005,6.4,90
3735.2189,14042.1005,6.4,94
3735.2194,14042.1005,4.2,96
3735.2194,14042.1005,4.2,102
3735.2194,14042.1005,4.2,86
3735.2194,14042.1005,4.2,80
3735.2194,14042.1005,4.2,64
3735.2194,14042.1005,4.2,96
3735.2194,14042.1005,4.2,60
3735.2194,14042.1005,4.2,66
3735.2194,14042.1005,4.2,80
3735.2194,14042.1005,4.2,86
3735.2194,14042.1005,4.2,94
3735.2194,14042.1005,4.2,100
3735.2194,14042.1005,4.3,94
3735.2194,14042.1005,4.5,70
3735.2194,14042.1005,4.5,84
3735.2194,14042.1005,4.6,92
3735.2194,14042.1005,4.6,96
3735.2194,14042.1005,4.7,88
3735.2194,14042.1005,4.7,88
3735.2194,14042.1005,4.7,74
3735.2194,14042.1005,4.7,98
3735.2194,14042.1005,5.9,90
3735.2194,14042.1005,5.9,46
3735.2194,14042.1005,5.9,116
3735.2194,14042.1005,5.9,84
3735.2194,14042.1005,5.9,84
3735.2194,14042.1005,6.0,90
3735.2194,14042.1005,6.0,84
3735.2194,14042.1005,6.0,88
3735.2194,14042.1005,6.0,70
3735.2194,14042.1005,6.0,102
3735.2194,14042.1005,6.0,110
3735.2194,14042.1005,6.0,96
3735.2194,14042.1005,6.0,96
3735.2199,14042.1005,4.1,78
3735.2199,14042.1005,4.2,84
3735.2199,14042.1005,4.2,70
3735.2199,14042.1005,4.2,112
3735.2199,14042.1005,4.2,92
3735.2199,14042.1005,4.2,88
3735.2199,14042.1005,4.2,88
3735.2199,14042.1005,4.2,106
3735.2199,14042.1005,4.2,110
3735.2199,14042.1005,4.2,78
3735.2199,14042.1005,4.2,82
3735.2199,14042.1005,4.2,100
3735.2199,14042.1005,4.2,94
3735.2199,14042.1005,4.2,70
3735.2199,14042.1005,4.6,90
3735.2199,14042.1005,4.6,78
3735.2199,14042.1005,4.7,116
3735.2199,14042.1005,4.7,88
3735.2199,14042.1005,4.7,90
3735.2199,14042.1005,4.7,110
3735.2199,14042.1005,4.7,104
