#EXPORTTYPE:                 ,DATA ALL                                 ,,,
#FILE:                       ,Be-Al-Sc-Zr-VIM-1400.ngb-ds3              ,,,
#FORMAT:                     ,NETZSCH5                                 ,,,
#FTYPE:                      ,ANSI                                     ,,,
#IDENTITY:                   ,Be-Al-Sc-Zr-VIM-1400                      ,,,
#DECIMAL:                    ,POINT                                    ,,,
#SEPARATOR:                  ,COMMA                                    ,,,
#MTYPE:                      ,DSC                                      ,,,
#INSTRUMENT:                 ,NETZSCH STA 449F3                        ,,,
#PROJECT:                    ,ATF                                      ,,,
#DATE/TIME:                  ,2018/6/4 16:56:56 (UTC+8)                ,,,
#CORR. FILE:                 ,baseline-1500-10kmin 2018-5-22 .ngb-bs3,,,
#TEMPCAL:                    ,575_STA449F3_SIC_69_S_A20193_Tcal.ngb-ts3,,,
#SENSITIVITY:                ,575_STA449F3_SIC_69_S_A20193_Scal.ngb-es3,,,
#LABORATORY:                 ,ATF                                      ,,,
#OPERATOR:                   ,zy                                       ,,,
#REMARK:                     ,                                         ,,,
#SAMPLE:                     ,Be-Al-Sc-Zr-AM-1400                      ,,,
#SAMPLE MASS /mg:            ,36.4,,,
#MATERIAL:                   ,                                     ,,,
#REFERENCE:                  ,Al2O3                                    ,,,
#REFERENCE MASS /mg:         ,0,,,
#TYPE OF CRUCIBLE:           ,DSC/TG pan Al2O3                         ,,,
#SAMPLE CRUCIBLE MASS /mg:   ,0,,,
#REFERENCE CRUCIBLE MASS /mg:,0,,,
#PROTECTIVE GAS:             ,ARGON                                    ,,,
#FLOW RATE /(ml/min):        ,40,,,
#PURGE GAS 1:                ,<not defined>                            ,,,
#FLOW RATE 1:                ,                                         ,,,
#PURGE GAS 2:                ,ARGON                                    ,,,
#FLOW RATE 2 /(ml/min):      ,40,,,
#DSC RANGE /V:              ,5000,,,
#TG RANGE /mg:               ,35000,,,
#TAU-R:                      ,---                                      ,,,
#CORR. CODE:                 ,20,,,
#EXO:                        ,-1,,,
#RANGE:                      ,40/10.0(K/min)/1400C                  ,,,
#SEGMENT:                    ,S1/1                                     ,,,
#SEG. 1:                     ,40C/10.0(K/min)/1400C                  ,,,
,,,,
##Temp./C,Time/min,DSC/(mW/mg),Mass/%,Sensit./(uV/mW)
39.991,0,5.71E-05,100,1.10038
40.491,0.55536,1.48E-02,99.99911,1.09972
40.991,0.72766,3.00E-02,99.9941,1.09905
41.491,0.86354,4.40E-02,100.00489,1.09838
41.991,0.98098,5.75E-02,100.01566,1.09772
42.491,1.08635,7.03E-02,100.01332,1.09705
42.991,1.18241,8.29E-02,100.00984,1.09638
43.491,1.27143,9.48E-02,100.0051,1.09572
43.991,1.35512,0.10627,100.00813,1.09505
44.491,1.43466,0.11751,100.01489,1.09438
44.991,1.51065,0.12878,100.00557,1.09372
45.491,1.58358,0.13933,100.00959,1.09305
45.991,1.65383,0.14978,100.01894,1.09238
46.491,1.72181,0.1599,100.0145,1.09172
46.991,1.78772,0.16997,100.00124,1.09105
47.491,1.85179,0.17968,100.01522,1.09038
47.991,1.91417,0.189,100.01102,1.08972
48.491,1.97504,0.19822,100.00174,1.08905
48.991,2.03458,0.20707,100.00052,1.08838
49.491,2.09297,0.21585,100.0089,1.08772
49.991,2.15024,0.22446,100.00354,1.08705
50.491,2.20646,0.23301,100.01048,1.08638
50.991,2.26174,0.24132,100.01058,1.08572
51.491,2.31597,0.2494,100.01617,1.08505
51.991,2.36936,0.25735,100.02192,1.08438
52.491,2.42193,0.26521,100.02514,1.08372
52.991,2.47372,0.2728,100.02971,1.08305
53.491,2.52487,0.28015,100.02627,1.08238
53.991,2.57538,0.28748,100.02676,1.08172
54.491,2.62536,0.29454,100.03063,1.08105
54.991,2.67491,0.30162,100.01762,1.08038
55.491,2.724,0.30861,100.02498,1.07972
55.991,2.77269,0.31555,100.02782,1.07905
56.491,2.82092,0.32233,100.02889,1.07838
56.991,2.86869,0.32889,100.02484,1.07772
57.491,2.91601,0.33495,100.0249,1.07705
57.991,2.9629,0.34117,100.01987,1.07638
58.491,3.00942,0.34742,100.01724,1.07572
58.991,3.05562,0.35338,100.01621,1.07505
59.491,3.10153,0.35967,100.02221,1.07438
59.991,3.14712,0.36533,100.0244,1.07372
60.491,3.19244,0.37104,100.02137,1.07305
60.991,3.23744,0.37669,100.02073,1.07239
61.491,3.28213,0.38194,100.02041,1.07172
61.991,3.32653,0.38741,100.02638,1.07105
62.491,3.37067,0.39289,100.02057,1.07039
