CalBP	OC_(wt%)	TC_(wt%)		CalBP	OC+SD_(wt%)	TC+SD_(wt%)		CalYr_AD	CalBP	Marine_Temp_(degC)
-65	7.01	7.23		-65	7.23			2006.0	-56	11.5
-40	5.70	7.19		-40	7.19			2005.0	-55	8.2
-15	5.81	7.15		-15	7.15			2004.0	-54	9.8
10	5.42	7.11		10	7.11			2003.0	-53	10.5
35	5.11	7.29		35	7.29	7.16		2002.0	-52	11.9
60	4.58	6.84		60	6.84	7.03		2001.0	-51	10.8
85	4.20	4.56		85	4.56	6.11		2000.0	-50	11.0
110	4.19	3.85		110	3.85	5.35		1999.0	-49	10.3
135	4.28	2.72		135	2.72	4.79		1998.0	-48	8.9
160	4.39	2.57		160	2.57	4.68		1997.0	-47	8.8
185	4.54	2.65		185	2.65	4.71		1996.0	-46	9.3
210	4.62	2.75		210	2.75	4.77		1995.0	-45	10.3
235	4.68	2.80		235	2.80	4.82		1994.0	-44	9.3
260	4.59	2.27		260	2.27	4.72		1993.0	-43	10.0
285	4.06	2.17		285	2.17	4.94		1992.0	-42	10.1
310	3.54	1.84		310	1.84	5.22		1991.0	-41	10.2
335	3.34	1.46		335	1.46	5.07		1990.0	-40	12.1
360	3.31	0.91		360	0.91	4.19		1989.0	-39	10.0
385	3.27	1.86		385	1.86	3.60		1988.0	-38	9.4
410	3.22	2.09		410	2.09	3.62		1987.0	-37	8.3
435	3.21	2.06		435	2.06	3.62		1986.0	-36	10.3
460	3.21	2.03		460	2.03	3.64		1985.0	-35	9.0
485	3.20	2.01		485	2.01	3.66		1984.0	-34	9.4
510	3.20	1.98		510	1.98	3.64		1983.0	-33	8.1
535	3.19	1.96		535	1.96	3.63		1982.0	-32	9.3
560	3.19	1.93		560	1.93	3.62		1981.0	-31	8.7
585	3.18	1.90		585	1.90	3.61		1980.0	-30	7.8
610	3.17	1.87		610	1.87	3.60		1979.0	-29	8.5
635	3.17	1.85		635	1.85	3.59		1978.0	-28	9.8
660	3.16	1.82		660	1.82	3.58		1977.0	-27	9.5
685	3.16	1.79		685	1.79	3.57		1976.0	-26	6.7
710	3.15	1.77		710	1.77	3.56		1975.0	-25	8.3
735	3.15	1.74		735	1.74	3.55		1974.0	-24	8.8
760	3.14	1.71		760	1.71	3.54		1973.0	-23	9.5
785	3.14	1.69		785	1.69	3.53		1972.0	-22	10.0
810	3.13	1.66		810	1.66	3.52		1971.0	-21	8.9
835	3.13	1.63		835	1.63	3.51		1970.0	-20	7.8
860	3.12	1.61		860	1.61	3.50		1969.0	-19	8.5
885	3.12	1.58		885	1.58	3.49		1968.0	-18	7.8
910	3.12	1.55		910	1.55	3.49		1967.0	-17	9.0
935	3.11	1.52		935	1.52	3.48		1966.0	-16	8.5
960	3.11	1.49		960	1.49	3.47		1965.0	-15	8.2
985	3.10	1.46		985	1.46	3.46		1964.0	-14	9.5
1010	3.10	1.43		1010	1.43	3.45		1963.0	-13	9.6
1035	3.09	1.40		1035	1.40	3.45		1962.0	-12	8.6
1060	3.07	1.37		1060	1.37	3.44		1961.0	-11	8.2
1085	3.06	1.35		1085	1.35	3.43		1960.0	-10	8.0
1110	3.05	1.34		1110	1.34	3.40		1959.0	-9	8.7
1135	3.04	1.34		1135	1.34	3.38		1958.0	-8	9.5
1160	3.02	1.33		1160	1.33	3.35		1957.0	-7	10.8
1185	3.00	1.32		1185	1.32	3.32		1956.0	-6	8.5
1210	2.98	1.32		1210	1.32	3.30		1955.0	-5	8.5
1235	2.97	1.31		1235	1.31	3.28		1953.2	-4	9.7
1260	2.95	1.31		1260	1.31	3.26		1952.4	-3	8.6
1285	2.93	1.31		1285	1.31	3.24		1951.6	-2	11.8
1310	2.91	1.31		1310	1.31	3.22		1950.7	-1	12.3
1335	2.90	1.31		1335	1.31	3.20		1949.9	0	11.8
1360	2.88	1.31		1360	1.31	3.18		1949.1	1	9.5
1385	2.86	1.31		1385	1.31	3.17		1948.2	2	9.1
1410	2.84	1.31		1410	1.31	3.15		1947.4	3	8.2
1435	2.83	1.31		1435	1.31	3.13		1946.6	4	8.5
1460	2.81	1.31		1460	1.31	3.12		1945.7	5	8.8
1485	2.79	1.31		1485	1.31	3.10		1944.9	6	9.6
1510	2.77	1.31		1510	1.31	3.09		1944.1	7	10.1
1535	2.76	1.31		1535	1.31	3.08		1943.2	8	9.3
1560	2.74	1.31		1560	1.31	3.06		1942.4	9	9.1
1585	2.72	1.31		1585	1.31	3.05		1941.6	10	11.1
1610	2.70	1.31		1610	1.31	3.04		1940.7	11	9.2
1635	2.69	1.31		1635	1.31	3.03		1939.9	12	10.1
1660	2.67	1.31		1660	1.31	3.01		1939.1	13	8.7
1685	2.65	1.31		1685	1.31	3.00		1938.2	14	8.5
1710	2.65	1.31		1710	1.31	2.99		1937.4	15	8.8
1735	2.65	1.31		1735	1.31	2.98		1936.6	16	7.9
1760	2.65	1.31		1760	1.31	2.97		1935.7	17	8.8
1785	2.66	1.32		1785	1.32	2.97		1934.9	18	8.7
1810	2.66	1.32		1810	1.32	2.97		1934.1	19	9.5
1835	2.67	1.33		1835	1.33	2.98		1933.2	20	9.9
1860	2.67	1.32		1860	1.32	2.98		1932.4	21	10.0
