a	b	c	d	e	f	g	h	i	j
1	2	2	3	96	9	6	515	2	1
1	3	2	3	92	9	2	491	2	0
1	4	2	3	94	9	4	555	2	0
1	5	2	3	76	7	6	427	1	0
1	6	2	3	81	8	1	523	2	0
1	7	2	3	84	8	4	803	2	0
1	8	2	3	98	9	8	515	1	0
1	9	2	3	82	8	2	467	2	0
1	10	2	3	73	7	3	516	1	1
1	11	2	3	72	7	2	603	2	0
1	12	2	3	99	9	9	595	1	0
1	13	2	3	93	9	3	579	2	0
1	14	2	3	69	6	9	540	1	0
1	15	2	3	66	6	6	516	1	0
1	16	2	3	77	7	7	492	1	0
1	17	2	3	89	8	9	499	1	0
1	18	2	3	71	7	1	539	2	0
1	19	2	3	74	7	4	467	2	0
1	20	2	3	68	6	8	515	1	0
1	21	2	3	91	9	1	459	2	0
1	22	2	3	63	6	3	563	2	0
1	23	2	3	79	7	9	571	1	0
1	24	2	3	87	8	7	619	1	0
1	25	2	3	83	8	3	555	2	0
1	26	2	3	62	6	2	571	2	0
1	27	2	3	61	6	1	476	2	0
1	28	2	3	86	8	6	547	1	0
1	29	2	3	88	8	8	556	1	0
1	30	2	3	97	9	7	556	1	0
1	31	2	3	67	6	7	476	1	0
1	1	2	2	49	4	9	603	1	0
1	2	2	2	47	4	7	531	2	1
1	3	2	2	46	4	6	515	2	1
1	4	2	2	38	3	8	515	1	0
1	5	2	2	17	1	7	491	1	0
1	6	2	2	36	3	6	707	2	1
1	7	2	2	29	2	9	676	1	0
1	8	2	2	44	4	4	587	2	0
1	9	2	2	16	1	6	675	1	0
1	10	2	2	41	4	1	556	2	0
1	11	2	2	12	1	2	731	2	0
1	12	2	2	14	1	4	772	1	1
1	13	2	2	21	2	1	1075	2	0
1	14	2	2	39	3	9	619	1	0
1	15	2	2	13	1	3	547	2	0
1	16	2	2	28	2	8	659	1	0
1	17	2	2	32	3	2	539	2	0
1	18	2	2	43	4	3	563	2	0
1	19	2	2	34	3	4	531	1	1
1	20	2	2	48	4	8	555	1	0
1	21	2	2	37	3	7	555	1	0
1	22	2	2	27	2	7	588	1	0
1	23	2	2	19	1	9	547	1	0
1	24	2	2	24	2	4	515	1	1
1	25	2	2	26	2	6	507	1	0
1	26	2	2	31	3	1	492	2	0
1	27	2	2	23	2	3	532	2	0
1	28	2	2	11	1	1	428	2	0
1	29	2	2	22	2	2	444	2	0
1	30	2	2	33	3	3	467	2	0
1	31	2	2	42	4	2	587	2	0
1	1	2	1	13	1	3	395	2	0
1	2	2	1	66	6	6	579	1	0
1	3	2	1	42	4	2	644	2	0
1	4	2	1	14	1	4	803	1	1
1	5	2	1	29	2	9	547	1	0
1	6	2	1	63	6	3	555	2	0
1	7	2	1	16	1	6	524	2	1
1	8	2	1	68	6	8	484	1	0
1	9	2	1	92	9	2	748	2	0
1	10	2	1	67	6	7	587	1	0
1	11	2	1	93	9	3	675	2	0
1	12	2	1	24	2	4	611	1	1
1	13	2	1	46	4	6	555	1	0
1	14	2	1	38	3	8	499	1	0
1	15	2	1	94	9	4	763	2	0
1	16	2	1	44	4	4	491	2	0
1	17	2	1	41	4	1	555	2	0
1	18	2	1	88	8	8	515	1	0
1	19	2	1	36	3	6	556	1	0
1	20	2	1	61	6	1	483	2	0
1	21	2	1	78	7	8	531	1	0
1	22	2	1	71	7	1	547	2	0
1	23	2	1	21	2	1	523	2	0
1	24	2	1	22	2	2	580	2	0
1	25	2	1	27	2	7	740	1	0
1	26	2	1	72	7	2	516	2	0
1	27	2	1	32	3	2	499	2	0
1	28	2	1	96	9	6	547	1	0
1	29	2	1	11	1	1	539	2	0
1	30	2	1	81	8	1	451	2	0
1	31	2	1	19	1	9	547	1	0
1	32	2	1	47	4	7	515	1	0
1	33	2	1	23	2	3	531	2	0
1	34	2	1	43	4	3	443	2	0
1	35	2	1	83	8	3	459	1	1
1	36	2	1	26	2	6	660	1	0
1	37	2	1	91	9	1	539	2	0
1	38	2	1	84	8	4	667	2	0
1	39	2	1	48	4	8	627	1	0
1	40	2	1	97	9	7	667	1	0
1	41	2	1	98	9	8	596	1	0
1	42	2	1	99	9	9	460	1	0
1	43	2	1	73	7	3	460	2	0
1	44	2	1	87	8	7	643	1	0
1	45	2	1	18	1	8	555	1	0
1	46	2	1	17	1	7	515	1	0
