Gamma Energy	Intensity
keV	
	
	Location
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
--	--
0.596	0
1.3585	0
2.121	0
2.8835	0
3.646	0
4.4085	0
5.171	0
5.9335	0
6.696	0
7.4585	0
8.221	0
8.9835	0
9.746	0
10.5085	0
11.271	0
12.0335	0
12.796	0
13.5585	0
14.321	0
15.0835	0
15.846	0
16.6085	0
17.371	0
18.1335	0
18.896	0
19.6585	0
20.421	0
21.1835	0
21.946	0
22.7085	0
23.471	0
24.2335	0
24.996	0
25.7585	0
26.521	0
27.2835	0
28.046	4826
28.8085	4987
29.571	4915
30.3335	5125
31.096	5142
31.8585	5287
32.621	5384
33.3835	5203
34.146	5227
34.9085	5408
35.671	5454
36.4335	5565
37.196	5491
37.9585	5503
38.721	5552
39.4835	5563
40.246	5503
41.0085	5617
41.771	5511
42.5335	5572
43.296	5502
44.0585	5520
44.821	5895
45.5835	5551
46.346	5712
47.1085	5619
47.871	5598
48.6335	5593
49.396	5576
50.1585	5718
50.921	5750
51.6835	5773
52.446	5810
53.2085	5798
53.971	5714
54.7335	5786
55.496	5754
56.2585	5707
57.021	5792
57.7835	5629
58.546	5688
59.3085	5903
60.071	5886
60.8335	5679
61.596	5797
62.3585	5856
63.121	5687
63.8835	5795
64.646	5755
65.4085	5728
66.171	5762
66.9335	5735
67.696	5818
68.4585	5594
69.221	5710
69.9835	5542
70.746	5707
71.5085	5599
72.271	5606
73.0335	5632
73.796	5445
74.5585	5523
75.321	5479
76.0835	5471
76.846	5403
77.6085	5367
78.371	5204
79.1335	5387
79.896	5290
80.6585	5234
81.421	5208
82.1835	5212
82.946	5253
83.7085	5299
84.471	5081
85.2335	5047
85.996	5002
86.7585	4979
87.521	5033
88.2835	4821
89.046	4901
89.8085	5003
90.571	4847
91.3335	4735
92.096	4857
92.858	4766
93.621	4761
94.383	4627
95.146	4633
95.909	4552
96.671	4595
97.433	4596
98.196	4571
98.959	4289
99.721	4408
100.483	4370
101.246	4438
102.008	4348
102.771	4292
103.534	4320
104.296	4348
105.058	4179
105.821	4208
106.584	4095
107.346	4146
108.108	4086
108.871	4107
109.633	3878
110.396	4002
111.159	3950
111.921	3879
112.683	3807
113.446	3702
114.209	3770
114.971	3859
115.733	3723
116.496	3689
117.258	3712
118.021	3771
118.784	3517
119.546	3610
120.309	3607
121.071	3509
121.833	3554
122.596	3481
123.358	3420
124.121	3374
124.883	3302
125.646	3405
126.409	3231
127.171	3232
127.934	3108
128.696	3163
129.458	3158
130.221	3037
130.983	2931
131.746	3120
132.508	3077
133.271	2967
134.034	2820
134.796	2932
135.558	2877
