007A1FS20AE075004200000NT    	
6	2643
6	3316
7	5559
2	2445
2	2790
4	7697
6	2370
2	2864
2	5691
2	5763
2	2918
6	2573
2	3746
3	4558
2	1449
6	4304
6	5198
6	4881
6	6538
4	4717
5	5851
5	3173
3	2253
4	8431
5	9172
2	3689
6	3022
5	2158
4	6391
4	5599
3	2186
3	6186
3	3343
3	6984
3	1868
4	6765
3	4961
1	8610
4	5258
6	4981
5	2414
6	4295
3	2794
3	7131
2	2673
6	3008
5	2493
6	2923
6	5072
6	1825
7	2298
2	3692
1	2976
2	3622
6	1817
3	5015
4	3837
5	2413
5	1661
2	6178
3	4144
3	4311
3	3287
5	2393
5	4246
3	3606
6	2436
6	3311
6	2748
2	1932
2	3959
4	6419
3	2616
3	3727
7	4096
5	8219
6	3168
5	2803
4	2972
2	4136
1	9990
2	3068
5	2671
1	4464
2	2900
3	2782
6	2072
1	7447
2	4630
7	2419
4	2598
5	3972
3	4268
3	1408
5	2230
3	2521
5	2205
5	1639
6	4229
5	2995
3	3809
6	2248
2	3757
3	2999
5	1737
5	2810
5	5183
5	3121
3	3583
6	4777
1	5768
1	3744
6	6173
6	1838
5	5127
7	3231
6	2565
6	2745
2	6039
1	3193
1	2185
3	4109
0	0
3	4436
3	2541
6	5344
5	1831
4	2933
2	2392
5	3506
3	2318
3	5602
3	4941
2	1938
3	2221
6	2185
3	3910
6	3515
7	2988
2	3361
1	9013
5	3644
5	5044
6	2121
1	2663
1	2698
1	2530
6	1789
6	2388
7	1903
5	2743
2	4464
2	2436
6	2074
6	3200
4	3086
010A1MS18AE066005600000NT	
2	2567
3	3075
3	2489
6	1853
5	3239
5	3464
6	3516
7	3793
3	6233
2	3172
2	1927
2	2155
4	1528
5	2208
5	6032
3	3171
3	3190
3	2948
6	1938
0	0
6	3944
2	2199
2	1937
5	3189
3	2479
3	2493
3	4451
5	1748
4	4508
5	1983
3	8127
3	3929
3	1549
4	3808
3	2997
4	5327
4	2108
3	2049
3	2589
5	2160
4	7334
4	2537
5	4049
4	2399
2	3157
5	6967
4	2413
5	2895
4	2397
4	6497
4	4869
3	6564
3	1691
3	3587
4	2318
3	3533
4	2622
5	3486
4	3500
4	2878
5	2876
4	4088
5	2579
5	9429
5	3101
3	2763
4	3734
4	6676
4	4089
4	1804
4	1812
4	5290
1	2742
1	2875
5	1881
6	4472
6	2625
5	2044
5	4871
4	3943
4	4582
5	7777
5	2436
5	1621
4	2859
5	3789
2	2240
2	7625
3	3202
5	1453
5	2848
5	1762
4	4151
5	4275
3	2501
4	3018
3	3407
4	4499
3	2635
5	5095
3	2861
5	5863
4	2990
4	2584
4	2883
3	1711
2	2612
4	3031
5	2910
4	5292
3	5413
3	1988
5	5735
5	2776
4	1676
4	3231
4	3737
4	4827
3	2740
4	4057
3	6283
3	5172
3	3772
4	2594
3	2755
5	4803
5	2841
3	1868
3	5440
5	5290
5	2705
5	2504
5	1469
3	1804
3	2129
4	4053
5	4801
5	2215
6	3246
2	5646
3	3468
4	4481
5	2814
5	3178
3	4985
4	3487
4	3372
4	2049
5	2026
5	2544
4	5219
3	2072
4	5453
5	2306
4	2316
4	3828
017A2FN34ME000000002122NV	
1	1096
1	2404
1	2293
6	4341
6	3662
6	3503
1	1448
1	2133
1	3393
6	2220
6	2128
6	4874
4	2056
5	6641
5	9840
4	5399
4	7809
5	6690
6	7394
6	7159
5	3746
2	3474
1	1507
3	5806
4	5998
1	3390
5	6981
4	4662
5	3290
5	5217
4	6770
2	6466
1	1716
2	1772
0	0
1	1668
1	2021
1	1342
5	3564
6	4639
4	4903
4	4253
5	8069
1	1221
4	1646
4	1528
4	7459
5	6826
5	2718
5	3091
3	4901
1	2961
1	3710
3	9685
5	8627
2	5125
4	5623
1	3497
1	3558
5	5153
6	7040
4	7236
5	8055
1	4378
4	8589
4	3322
5	4210
4	7541
5	6888
1	3076
0	0
4	1570
2	3086
3	3949
3	2802
2	2777
3	3600
1	5457
1	1234
0	0
2	8181
3	3131
2	3197
2	3128
1	1415
1	2360
6	2510
6	2872
6	2568
6	2181
6	3599
1	2805
1	2742
6	5619
6	2904
0	0
6	7523
1	1817
1	2140
6	5985
1	1521
1	6996
1	2088
1	1551
1	2783
1	4069
6	5706
6	2787
1	3591
1	2193
1	2141
1	6408
6	3144
6	2520
1	1998
1	1534
1	1916
6	1981
6	1725
6	2322
1	2086
1	1741
1	1616
6	2194
6	979
6	2495
1	5099
1	1398
6	5216
6	1917
6	2651
6	4812
1	1766
1	4616
1	3773
6	5831
6	2126
6	3481
1	1902
1	1161
1	3692
1	9439
6	2173
6	1801
1	4068
1	1104
1	2253
6	5184
6	4943
6	2754
1	4335
1	2108
6	2127
6	1677
6	2690
6	1741
018A2FN19AS000000002122NT	
1	1096
1	2404
1	2293
6	4341
6	3662
6	3503
1	1448
1	2133
1	3393
6	2220
6	2128
6	4874
4	2056
5	6641
5	9840
4	5399
4	7809
5	6690
6	7394
6	7159
5	3746
2	3474
1	1507
3	5806
4	5998
1	3390
5	6981
4	4662
5	3290
5	5217
4	6770
2	6466
1	1716
2	1772
0	0
1	1668
1	2021
1	1342
5	3564
6	4639
4	4903
4	4253
5	8069
1	1221
4	1646
4	1528
4	7459
5	6826
5	2718
5	3091
3	4901
1	2961
1	3710
3	9685
5	8627
2	5125
4	5623
1	3497
1	3558
5	5153
6	7040
4	7236
5	8055
1	4378
4	8589
4	3322
5	4210
4	7541
5	6888
1	3076
0	0
4	1570
2	3086
3	3949
3	2802
2	2777
3	3600
1	5457
1	1234
0	0
2	8181
3	3131
2	3197
2	3128
1	1415
1	2360
6	2510
6	2872
6	2568
6	2181
6	3599
1	2805
1	2742
6	5619
6	2904
0	0
6	7523
1	1817
1	2140
6	5985
1	1521
1	6996
1	2088
1	1551
1	2783
1	4069
6	5706
6	2787
1	3591
1	2193
1	2141
1	6408
6	3144
6	2520
1	1998
1	1534
1	1916
6	1981
6	1725
6	2322
1	2086
1	1741
1	1616
6	2194
6	979
6	2495
1	5099
1	1398
6	5216
6	1917
6	2651
6	4812
1	1766
1	4616
1	3773
6	5831
6	2126
6	3481
1	1902
1	1161
1	3692
1	9439
6	2173
6	1801
1	4068
1	1104
1	2253
6	5184
6	4943
6	2754
1	4335
1	2108
6	2127
6	1677
6	2690
6	1741
019A2FS19AE074009800000NT	
3	2257
3	2623
3	3644
6	1280
5	3418
5	1626
4	1948
5	2305
4	2245
1	1465
2	2940
2	3007
2	2708
5	3996
4	2829
3	3062
3	2850
5	3194
6	2461
6	3149
5	1948
2	1733
2	2033
2	1421
2	3405
3	4488
2	129
3	2159
4	2118
4	2926
2	1946
2	3094
3	2086
5	2395
3	1646
3	3242
2	2379
1	3006
4	2171
4	1902
4	3595
5	5833
6	1803
6	2200
5	2919
2	1571
2	3369
2	2496
3	2618
1	116
4	2932
2	2625
2	2040
2	2519
2	2799
2	139
3	3210
4	2132
5	2927
5	2565
4	3511
5	4771
4	6966
3	3717
2	2537
2	1763
2	2909
2	1873
2	3356
2	2658
2	5185
6	1972
1	1218
6	2451
5	1299
1	3177
4	2495
3	1772
4	4047
7	1638
3	2013
5	1665
2	1261
5	1737
2	6252
5	2828
3	2479
5	2549
3	2275
5	7332
7	3438
6	1829
4	2624
4	2166
1	1592
2	3195
3	2897
2	2735
4	4482
6	3208
3	2043
2	3892
2	2657
3	4241
6	1928
1	1991
3	2486
2	2624
1	3458
1	1971
5	5388
2	3224
6	2555
6	2483
2	2401
2	3252
3	2271
6	2075
6	2423
2	4741
2	2757
2	1405
3	3709
6	2265
2	1955
6	6820
6	2914
3	2419
3	1576
6	2593
3	1414
6	4461
3	1789
4	2648
2	2051
3	2311
6	3047
5	2946
2	2061
6	1814
7	2924
2	2802
1	4809
2	2303
2	4226
1	2465
3	4051
6	4050
6	2355
5	2284
2	2853
1	2038
2	2759
6	3316
6	3870
6	5552
026A1MS20AE066005500000NV	
7	6183
5	1776
6	2979
1	1772
2	2529
2	7118
2	3040
7	1707
1	3719
4	3451
2	6122
7	1868
2	2656
3	4592
5	2925
7	2145
6	2384
7	3934
6	2266
5	2462
2	5670
2	6140
1	1314
0	0
5	3297
1	1643
5	3378
6	2273
3	1558
3	2428
5	2577
5	2831
6	3635
2	1936
7	3416
5	8105
2	2947
2	1968
5	6028
6	6608
5	4133
6	3063
2	5003
1	2682
2	5428
6	3247
3	6143
6	5704
7	2961
6	5956
3	4557
2	3301
1	8385
3	2929
5	3000
4	9011
3	8725
4	2863
5	3679
4	5497
3	6061
2	3034
4	1591
2	6381
5	4924
3	4336
3	4167
3	3809
4	2094
4	3013
3	5748
3	3121
3	4228
5	3527
5	3085
3	4097
3	1078
3	3435
1	1223
1	1212
1	1688
3	1984
4	1616
2	1206
2	3557
1	2996
1	2373
2	3059
2	2763
2	2664
6	7217
5	3829
2	2284
3	2879
5	4308
2	4098
2	3734
3	2276
7	2246
7	3598
1	2031
5	2264
1	2704
2	4522
5	2869
5	3791
5	4141
2	3183
2	2579
3	4182
2	5410
2	1701
6	3762
6	3539
4	2218
5	3456
4	6321
4	2125
3	2330
4	8241
2	3841
2	2597
3	2108
4	6604
6	2689
6	2806
4	5009
5	2155
5	3567
3	3709
3	3883
2	2882
2	2746
6	7422
3	5266
5	2224
2	2556
5	1955
2	4358
6	2918
5	3715
4	4986
2	3685
2	2002
2	1935
3	2139
2	5348
7	2670
5	3364
5	4130
5	2923
3	2038
3	6044
3	2803
4	7234
3	5183
029A1FS18AE054006500000NV	
3	5075
2	4331
2	2033
6	2406
5	2737
5	2895
7	3290
7	3253
4	286
1	2259
1	2921
3	1928
1	2576
1	3833
1	1257
7	3345
2	2312
6	4436
5	2487
6	7816
6	8534
1	2057
1	4133
3	6631
1	1614
7	3178
7	4006
1	2093
1	2555
2	7572
