Consecutive	Larva_ID	Temp	Diet	Date_eclosion	Day_of_death/release	Days_Survived	Surv_yes1_no2
1	1	15	HL	19-Dec-16	3-Jan-17	15	1
2	2	20	HL	7-Dec-16	22-Dec-16	15	1
3	3	25	HL	30-Nov-16	15-Dec-16	15	1
4	4	20	HL	12-Dec-16	12-Dec-16	0	2
5	5	20	HL	12-Dec-16	12-Dec-16	0	2
6	6	25	HL	5-Dec-16	20-Dec-16	15	1
7	7	25	HL	5-Dec-16	5-Dec-16	0	2
8	8	25	HL	5-Dec-16	5-Dec-16	0	2
9	9	25	HL	5-Dec-16	5-Dec-16	0	2
10	10	25	HL	5-Dec-16	5-Dec-16	0	2
11	11	25	HL	8-Dec-16	19-Dec-16	11	2
12	12	20	HL	22-Dec-16	6-Jan-17	15	1
13	13	20	HL	22-Dec-16	6-Jan-17	15	1
14	14	30	HL	19-Dec-16	21-Dec-16	2	2
15	15	15	HL	5-Jan-17	9-Jan-17	4	2
16	16	20	HL	28-Dec-16	12-Jan-17	15	1
17	17	20	HL	28-Dec-16	12-Jan-17	15	1
18	18	20	HL	28-Dec-16	12-Jan-17	15	1
19	19	25	HL	26-Dec-16	26-Dec-16	0	2
20	20	20	HL	5-Jan-17	9-Jan-17	4	2
21	21	20	HL	5-Jan-17	20-Jan-17	15	1
22	22	25	HL	2-Jan-17	17-Jan-17	15	1
23	23	25	HL	9-Jan-17	24-Jan-17	15	1
25	25	30	HL	9-Jan-17	24-Jan-17	15	1
26	26	25	HL	12-Jan-17	16-Jan-17	4	2
27	27	20	HL	6-Dec-16	9-Dec-16	3	2
28	28	25	HL	12-Dec-16	12-Dec-16	0	2
29	29	20	HL	7-Dec-16	12-Dec-16	5	2
30	30	25	HL	5-Dec-16	5-Dec-16	0	2
31	31	15	HL	14-Dec-16	29-Dec-16	15	1
32	32	30	HL	6-Dec-16	6-Dec-16	0	2
33	33	15	HL	20-Dec-16	26-Dec-16	6	2
34	34	25	HL	5-Dec-16	8-Dec-16	3	2
35	35	30	HL	5-Dec-16	19-Dec-16	14	2
36	36	15	HL	9-Dec-16	13-Dec-16	4	2
37	37	20	HL	9-Dec-16	24-Dec-16	15	1
38	38	25	HL	5-Dec-16	20-Dec-16	15	1
39	39	30	HL	9-Dec-16	9-Dec-16	0	2
40	40	15	HL	22-Dec-16	29-Dec-16	7	2
41	41	20	HL	13-Dec-16	19-Dec-16	6	2
42	42	25	HL	5-Dec-16	20-Dec-16	15	1
43	43	30	HL	9-Dec-16	12-Dec-16	3	2
44	44	20	HL	9-Jan-17	24-Jan-17	15	1
45	45	15	HL	23-Jan-17	6-Feb-17	14	2
