[Measurement conditions]
Sample identification,LA05_0R0_0R2a
Comment,
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.38mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,03-Apr-2019 14:21
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,3.010000000,74.990000000
Scan step size,0.0200000
No. of points, 3599
Scan type,CONTINUOUS
Time per step,10.160
[Scan points]
Angle,Intensity
3.020000000,536.6
3.040000000,541.5
3.060000000,542.6
3.080000000,492.7
3.100000000,516.1
3.120000000,505.1
3.140000000,533.8
3.160000000,528.5
3.180000000,524.3
3.200000000,526.6
3.220000000,524.6
3.240000000,556.4
3.260000000,519.8
3.280000000,555.4
3.300000000,547.8
3.320000000,552.0
3.340000000,603.6
3.360000000,621.1
3.380000000,576.6
3.400000000,621.4
3.420000000,588.4
3.440000000,601.0
3.460000000,607.2
3.480000000,583.8
3.500000000,653.8
3.520000000,685.3
3.540000000,659.8
3.560000000,642.6
3.580000000,640.8
3.600000000,654.2
3.620000000,623.8
3.640000000,704.0
3.660000000,652.1
3.680000000,648.4
3.700000000,669.9
3.720000000,621.6
3.740000000,636.4
3.760000000,696.3
3.780000000,650.9
3.800000000,698.0
3.820000000,664.2
3.840000000,667.0
3.860000000,671.6
3.880000000,689.2
3.900000000,673.7
3.920000000,672.3
3.940000000,727.0
3.960000000,704.2
3.980000000,675.0
4.000000000,704.0
4.020000000,726.4
4.040000000,704.7
4.060000000,752.0
4.080000000,740.7
4.100000000,740.1
4.120000000,722.6
4.140000000,744.6
4.160000000,743.1
4.180000000,700.1
4.200000000,711.1
4.220000000,715.1
4.240000000,687.0
4.260000000,719.9
4.280000000,731.1
4.300000000,757.6
4.320000000,716.3
4.340000000,723.9
4.360000000,726.4
4.380000000,732.5
4.400000000,708.7
4.420000000,729.0
4.440000000,717.2
4.460000000,734.0
4.480000000,668.9
4.500000000,728.2
4.520000000,728.1
4.540000000,722.4
4.560000000,727.6
4.580000000,727.5
4.600000000,718.7
4.620000000,752.8
4.640000000,748.4
4.660000000,747.3
4.680000000,705.0
4.700000000,733.6
4.720000000,717.1
4.740000000,707.0
4.760000000,737.9
4.780000000,705.4
4.800000000,713.1
4.820000000,697.2
4.840000000,689.7
4.860000000,726.2
4.880000000,721.6
4.900000000,725.5
4.920000000,734.6
4.940000000,713.9
4.960000000,725.5
4.980000000,655.5
5.000000000,703.0
5.020000000,734.0
5.040000000,701.4
5.060000000,732.2
5.080000000,704.3
5.100000000,722.3
5.120000000,671.0
5.140000000,698.4
5.160000000,731.7
5.180000000,700.3
5.200000000,719.3
5.220000000,742.1
5.240000000,688.2
5.260000000,699.2
5.280000000,712.1
5.300000000,689.7
5.320000000,689.5
5.340000000,661.8
5.360000000,710.8
5.380000000,670.6
5.400000000,663.1
5.420000000,692.1
5.440000000,673.4
5.460000000,696.1
5.480000000,682.3
5.500000000,650.8
5.520000000,674.2
5.540000000,666.6
5.560000000,669.8
5.580000000,613.3
5.600000000,658.0
5.620000000,625.2
5.640000000,665.0
5.660000000,612.2
5.680000000,661.4
5.700000000,655.9
5.720000000,697.3
5.740000000,698.5
5.760000000,639.6
5.780000000,654.8
5.800000000,635.5
5.820000000,647.0
5.840000000,688.0
5.860000000,595.1
5.880000000,581.4
5.900000000,672.7
5.920000000,665.3
5.940000000,674.0
5.960000000,605.0
5.980000000,630.7
6.000000000,619.8
6.020000000,637.7
6.040000000,611.7
6.060000000,614.0
6.080000000,646.2
6.100000000,659.0
6.120000000,670.2
6.140000000,661.6
6.160000000,623.6
6.180000000,598.5
6.200000000,621.7
6.220000000,605.3
6.240000000,651.2
6.260000000,585.9
6.280000000,582.1
6.300000000,606.3
6.320000000,662.5
6.340000000,644.2
6.360000000,584.4
6.380000000,580.6
6.400000000,614.4
6.420000000,634.3
6.440000000,594.6
6.460000000,630.3
6.480000000,627.0
6.500000000,638.0
6.520000000,606.5
6.540000000,596.3
6.560000000,584.6
6.580000000,607.8
6.600000000,592.6
6.620000000,611.5
6.640000000,579.2
6.660000000,577.8
6.680000000,612.6
6.700000000,648.1
6.720000000,611.1
6.740000000,551.2
6.760000000,582.0
6.780000000,610.9
6.800000000,613.1
6.820000000,590.1
6.840000000,575.1
6.860000000,612.0
6.880000000,572.1
6.900000000,549.8
6.920000000,586.5
6.940000000,583.6
6.960000000,611.7
6.980000000,615.7
7.000000000,593.7
7.020000000,594.4
7.040000000,557.2
7.060000000,578.4
7.080000000,580.6
7.100000000,639.3
7.120000000,592.6
7.140000000,653.8
7.160000000,607.9
7.180000000,587.5
7.200000000,592.3
7.220000000,588.6
7.240000000,592.8
7.260000000,599.7
7.280000000,583.1
7.300000000,596.7
7.320000000,589.9
7.340000000,589.9
7.360000000,589.7
7.380000000,621.6
7.400000000,599.2
7.420000000,606.6
7.440000000,604.0
7.460000000,609.7
7.480000000,613.0
7.500000000,631.3
7.520000000,621.2
7.540000000,601.9
7.560000000,631.0
7.580000000,624.5
7.600000000,651.5
7.620000000,651.2
7.640000000,659.2
7.660000000,677.1
7.680000000,640.3
7.700000000,678.6
7.720000000,695.2
7.740000000,706.5
7.760000000,694.7
7.780000000,665.6
7.800000000,662.8
7.820000000,703.4
7.840000000,717.5
7.860000000,717.3
7.880000000,704.2
7.900000000,773.2
7.920000000,746.2
7.940000000,759.9
7.960000000,759.9
7.980000000,801.8
8.000000000,829.8
8.020000000,848.7
8.040000000,859.4
8.060000000,859.4
8.080000000,862.0
8.100000000,880.4
8.120000000,919.9
8.140000000,950.5
8.160000000,935.9
8.180000000,968.1
8.200000000,988.3
8.220000000,1055.4
8.240000000,1098.8
8.260000000,1143.3
8.280000000,1116.4
8.300000000,1199.2
8.320000000,1161.4
8.340000000,1278.9
8.360000000,1335.2
8.380000000,1314.5
8.400000000,1371.3
8.420000000,1464.9
8.440000000,1502.8
8.460000000,1557.3
8.480000000,1575.0
8.500000000,1707.6
8.520000000,1766.7
8.540000000,1748.8
8.560000000,1793.4
8.580000000,1885.1
8.600000000,1889.2
8.620000000,2018.1
8.640000000,2048.5
8.660000000,2141.3
8.680000000,2224.6
8.700000000,2296.6
8.720000000,2285.5
8.740000000,2454.2
8.760000000,2442.0
8.780000000,2493.1
8.800000000,2547.1
8.820000000,2684.7
8.840000000,2696.3
8.860000000,2616.2
8.880000000,2629.1
8.900000000,2651.5
8.920000000,2417.4
8.940000000,2375.9
8.960000000,2189.9
8.980000000,2140.1
9.000000000,1976.6
9.020000000,1937.3
9.040000000,1679.1
9.060000000,1607.1
9.080000000,1543.3
9.100000000,1408.9
9.120000000,1211.9
9.140000000,1262.0
9.160000000,1147.0
9.180000000,1071.9
9.200000000,1035.9
9.220000000,959.5
9.240000000,894.9
9.260000000,941.0
9.280000000,787.3
9.300000000,827.0
9.320000000,764.7
9.340000000,717.1
9.360000000,712.7
9.380000000,715.3
9.400000000,659.1
9.420000000,685.3
9.440000000,635.4
9.460000000,613.5
9.480000000,587.6
9.500000000,598.1
9.520000000,601.4
9.540000000,594.2
9.560000000,583.6
9.580000000,545.0
9.600000000,529.4
9.620000000,537.0
9.640000000,506.6
9.660000000,507.7
9.680000000,480.1
9.700000000,499.1
9.720000000,505.7
9.740000000,509.6
9.760000000,522.5
9.780000000,497.1
9.800000000,475.8
9.820000000,456.6
9.840000000,439.7
9.860000000,488.0
9.880000000,468.8
9.900000000,459.2
9.920000000,484.9
9.940000000,446.9
9.960000000,459.4
9.980000000,470.1
10.000000000,490.5
