well,strain,primers,dilution,Cp,remove
A1,341-2_MQ,,,34.63,
A2,341-2_LB,,,29.61,
A3,341-2_QLP,,,29.93,
A4,343-4_MQ,,,32.59,
A5,343-4_LB,,,32.11,
A6,343-4_QLP,,,29.65,
A7,EcN,G,1,11.59,
A8,EcN,G,0.2,14.1,
A9,EcN,G,0.04,16.08,
A10,EcN,G,0.008,19.64,
A11,EcN,G,0.0016,22.94,
A12,EcN,G,0.00032,24.3,
B1,EcN,P,1,30.09,x
B2,EcN,P,0.2,29.62,x
B3,EcN,P,0.04,27.96,x
B4,EcN,P,0.008,22.73,x
B5,EcN,P,0.0016,30.06,x
B6,EcN,P,0.00032,29.88,x
B7,EcN,G,1,11.43,
B8,EcN,G,0.2,13.63,
B9,EcN,G,0.04,15.67,
B10,EcN,G,0.008,18.9,
B11,EcN,G,0.0016,21.8,
B12,EcN,G,0.00032,23.23,
C1,OXB,P,1,5,
C2,OXB,P,0.2,7.41,
C3,OXB,P,0.04,10.22,
C4,OXB,P,0.008,13.55,
C5,OXB,P,0.0016,16.07,
C6,OXB,P,0.00032,17.62,
C7,OXB,G,1,11.49,
C8,OXB,G,0.2,13.6,
C9,OXB,G,0.04,15.65,
C10,OXB,G,0.008,19.63,
C11,OXB,G,0.0016,22.26,
C12,OXB,G,0.00032,24.5,
D1,AT,P,1,5,
D2,AT,P,0.2,6.77,
D3,AT,P,0.04,9.08,
D4,AT,P,0.008,12.84,
D5,AT,P,0.0016,15.12,
D6,AT,P,0.00032,16.6,
D7,AT,G,1,11.35,
D8,AT,G,0.2,13.02,
D9,AT,G,0.04,15.46,
D10,AT,G,0.008,19.02,
D11,AT,G,0.0016,21.94,
D12,AT,G,0.00032,23.63,
E1,HS,P,1,5,
E2,HS,P,0.2,6,
E3,HS,P,0.04,31.05,x
E4,HS,P,0.008,12.6,
E5,HS,P,0.0016,14.69,
E6,HS,P,0.00032,16.28,
E7,HS,G,1,11.5,
E8,HS,G,0.2,13.81,
E9,HS,G,0.04,16.22,
E10,HS,G,0.008,19.21,
E11,HS,G,0.0016,22.16,
E12,HS,G,0.00032,24.05,
F1,MCC,P,1,5,
F2,MCC,P,0.2,7.4,
F3,MCC,P,0.04,9.82,
F4,MCC,P,0.008,13.01,
F5,MCC,P,0.0016,15.48,
F6,MCC,P,0.00032,17.14,
F7,MCC,G,1,11.29,
F8,MCC,G,0.2,13.24,
F9,MCC,G,0.04,16.13,
F10,MCC,G,0.008,19.42,
F11,MCC,G,0.0016,21.89,
F12,MCC,G,0.00032,23.97,
G1,MCC,P,1,5,
G2,MCC,P,0.2,7.01,
G3,MCC,P,0.04,9.8,
G4,MCC,P,0.008,13.16,
G5,MCC,P,0.0016,15.74,
G6,MCC,P,0.00032,17.51,
G7,MCC,G,1,11.74,
G8,MCC,G,0.2,13.69,
G9,MCC,G,0.04,16.12,
G10,MCC,G,0.008,18.51,
G11,MCC,G,0.0016,22.27,
G12,MCC,G,0.00032,24.55,
H1,MCC,P,1,5,
H2,MCC,P,0.2,7.23,
H3,MCC,P,0.04,9.81,
H4,MCC,P,0.008,13.18,
H5,MCC,P,0.0016,15.55,
H6,MCC,P,0.00032,17.2,
H7,MCC,G,1,11.93,
H8,MCC,G,0.2,14.14,
H9,MCC,G,0.04,16.9,
H10,MCC,G,0.008,20.99,
H11,MCC,G,0.0016,23.51,
H12,MCC,G,0.00032,25.02,
