Id:14POPI01A,in:,0,az:,90,dip:,0,str:,0,m:,1.49,com:35_R,,,,,
L:,-24.47,G:,-65.42,H:0000,T:2014,9,14,0,0,azm:,0,azs:,0,Or:A12_0_3_90,Fm:,||Li:ceramique|Loc:jujuy
,0D0,-2.77E-06,6.69E-07,4.77E-07,0,C1,89,,,,,,,,,
,100RA,-2.83E-06,6.42E-07,4.69E-07,0,C1,90,,,,,,,,,
,100VA,-2.84E-06,6.60E-07,5.94E-07,0,C1,92,,,,,,,,,
,150RB,-2.88E-06,6.30E-07,4.39E-07,0,C1,93,,,,,,,,,
,150VB,-2.88E-06,6.24E-07,6.72E-07,0,C1,92,,,,,,,,,
,200RC,-2.87E-06,5.29E-07,3.66E-07,0,C1,90,,,,,,,,,
,200VC,-2.88E-06,5.11E-07,6.83E-07,0,C1,92,,,,,,,,,
,250RD,-2.82E-06,4.75E-07,1.33E-07,0,C1,99,,,,,,,,,
,250VD,-2.83E-06,4.34E-07,6.89E-07,0,C1,98,,,,,,,,,
,100PD,-2.81E-06,4.79E-07,5.69E-07,0,C1,0,,,,,,,,,
,300RE,-2.76E-06,2.93E-07,-1.31E-08,0,C1,98,,,,,,,,,
,300VE,-2.78E-06,2.09E-07,7.86E-07,0,C1,100,,,,,,,,,
,340RF,-2.68E-06,2.09E-07,-7.71E-08,0,C1,99,,,,,,,,,
,340VF,-2.70E-06,1.65E-07,9.78E-07,0,C1,99,,,,,,,,,
,250PF,-2.70E-06,1.58E-07,4.56E-07,0,C1,99,,,,,,,,,
,385RG,-2.55E-06,-3.95E-08,-2.07E-07,0,C1,101,,,,,,,,,
,385VG,-2.61E-06,-1.27E-07,1.23E-06,0,C1,99,,,,,,,,,
,430RH,-2.10E-06,1.57E-08,-5.63E-07,0,C1,96,,,,,,,,,
,430VH,-2.19E-06,-1.78E-07,1.48E-06,0,C1,0,,,,,,,,,
,340PH,-2.15E-06,-7.13E-08,4.85E-07,0,C1,102,,,,,,,,,
,470RI,-1.34E-06,2.81E-08,-1.19E-06,0,C1,99,,,,,,,,,
,470VI,-1.45E-06,-1.77E-07,1.75E-06,0,C1,96,,,,,,,,,
,495RJ,-7.91E-07,1.09E-07,-1.53E-06,0,C1,96,,,,,,,,,
,495VJ,-9.28E-07,-1.80E-07,1.99E-06,0,C1,101,,,,,,,,,
,430PJ,-8.26E-07,-3.08E-08,-1.08E-07,0,C1,95,,,,,,,,,
,515RK,-4.39E-07,1.27E-07,-1.90E-06,0,C1,93,,,,,,,,,
,515VK,-5.87E-07,-1.61E-07,2.09E-06,0,C1,94,,,,,,,,,
,530RL,-2.43E-07,1.56E-07,-2.08E-06,0,C1,94,,,,,,,,,
,530VL,-3.96E-07,-1.72E-07,2.17E-06,0,C1,93,,,,,,,,,
,495PL,-2.48E-07,1.16E-07,-1.37E-06,0,C1,0,,,,,,,,,
,530X+,2.88E-06,-2.70E-08,-1.09E-07,0,C1,92,,,,,,,,,
