subj_idx,rt,response,sensoryCondition,session,half,corrChoice,stimCodedCorrChoice,third,stimName,keyHit
1,2.7419,0,5,1,1,1,0,1,AT,2
1,0.74642,1,2,1,1,1,0,1,T,1
1,0.5417,1,4,1,1,1,0,1,AT,1
1,0.6977,1,3,1,1,2,1,1,AT,2
1,0.60927,1,5,1,1,2,1,1,AT,2
1,1.083,1,4,1,1,2,1,1,AT,2
1,0.47525,1,1,1,1,1,0,1,A,1
1,0.47142,1,3,1,1,1,0,1,AT,1
1,0.73968,1,2,1,1,2,1,1,T,2
1,0.81908,1,1,1,1,2,1,1,A,2
1,0.56821,1,3,1,1,2,1,1,AT,2
1,0.50416,1,1,1,1,2,1,1,A,2
1,0.64829,1,1,1,1,1,0,1,A,1
1,1.018,1,2,1,1,2,1,1,T,2
1,0.66036,1,4,1,1,2,1,1,AT,2
1,0.67196,1,4,1,1,1,0,1,AT,1
1,1.5716,1,2,1,1,1,0,1,T,1
1,0.70424,1,5,1,1,2,1,1,AT,2
1,0.59573,1,3,1,1,1,0,1,AT,1
1,0.54166,1,5,1,1,1,0,1,AT,1
1,0.92473,1,3,1,1,2,1,1,AT,2
1,0.69153,1,4,1,1,1,0,1,AT,1
1,0.66501,1,4,1,1,2,1,1,AT,2
1,0.48872,1,1,1,1,1,0,1,A,1
1,0.6109,1,5,1,1,2,1,1,AT,2
1,0.61072,1,3,1,1,1,0,1,AT,1
1,0.78661,1,2,1,1,2,1,1,T,2
1,0.56175,1,5,1,1,1,0,1,AT,1
1,0.48173,1,2,1,1,1,0,1,T,1
1,0.92386,1,1,1,1,2,1,1,A,2
1,0.7247,0,1,1,1,2,1,1,A,1
1,0.58809,1,5,1,1,1,0,1,AT,1
1,0.57003,1,2,1,1,1,0,1,T,1
1,0.87405,1,2,1,1,2,1,1,T,2
1,0.67102,1,3,1,1,2,1,1,AT,2
1,0.56256,1,4,1,1,2,1,1,AT,2
1,0.8505,1,5,1,1,2,1,1,AT,2
1,0.76953,1,1,1,1,1,0,1,A,1
1,0.50481,1,3,1,1,1,0,1,AT,1
1,0.501,1,4,1,1,1,0,1,AT,1
1,0.54018,1,4,1,1,1,0,1,AT,1
1,0.45027,1,1,1,1,1,0,1,A,1
1,0.55046,1,4,1,1,2,1,1,AT,2
1,0.9705,1,2,1,1,1,0,1,T,1
1,1.0731,1,5,1,1,2,1,1,AT,2
1,1.3475,1,2,1,1,2,1,1,T,2
1,1.1828,0,3,1,1,2,1,1,AT,1
1,1.0688,1,1,1,1,2,1,1,A,2
1,0.61707,1,3,1,1,1,0,1,AT,1
1,0.48884,1,5,1,1,1,0,1,AT,1
1,0.53906,1,4,1,1,1,0,1,AT,1
1,1.7551,1,4,1,1,2,1,1,AT,2
1,1.2692,0,3,1,1,2,1,1,AT,1
1,0.53677,1,5,1,1,1,0,1,AT,1
1,0.47287,1,3,1,1,1,0,1,AT,1
1,0.45306,1,2,1,1,1,0,1,T,1
1,0.66133,1,1,1,1,2,1,1,A,2
1,0.61302,0,2,1,1,2,1,1,T,1
1,0.63092,1,1,1,1,1,0,1,A,1
1,1.0427,1,5,1,1,2,1,1,AT,2
1,0.66012,1,1,1,1,1,0,1,A,1
1,1.9458,1,5,1,1,1,0,1,AT,1
1,0.65918,1,4,1,1,2,1,1,AT,2
1,1.8909,1,1,1,1,2,1,1,A,2
1,0.88832,1,2,1,1,2,1,1,T,2
1,0.55928,1,3,1,1,2,1,1,AT,2
1,0.74324,1,5,1,1,2,1,1,AT,2
1,0.54864,1,4,1,1,1,0,1,AT,1
1,0.60281,1,2,1,1,1,0,1,T,1
1,0.50858,1,3,1,1,1,0,1,AT,1
1,0.57883,1,1,1,1,1,0,1,A,1
1,0.56483,1,5,1,1,2,1,1,AT,2
1,1.4229,1,3,1,1,2,1,1,AT,2
1,0.78801,1,3,1,1,1,0,1,AT,1
1,0.59528,1,2,1,1,1,0,1,T,1
1,0.5592,1,4,1,1,2,1,1,AT,2
1,0.50522,1,5,1,1,1,0,1,AT,1
1,0.51945,1,4,1,1,1,0,1,AT,1
1,0.66172,1,2,1,1,2,1,1,T,2
1,1.0253,1,1,1,1,2,1,1,A,2
1,0.71879,1,1,1,1,1,0,1,A,1
1,0.60029,1,4,1,1,1,0,1,AT,1
1,0.43621,1,3,1,1,1,0,1,AT,1
1,1.5245,1,5,1,1,2,1,1,AT,2
