Transaction Date,Transaction Reference,Merchant,Total
10/2/2013,PCCL1709300,FT SOLUTIONS LTD         ,516
10/3/2013,PCCL1709546,OPUS RESTAURANT          ,1463
10/3/2013,PCCL1709870,PAYPAL  SUBMARINEIN      ,1207.78
10/5/2013,PCCL1710901,SHANGRI-LA HOTEL KL      ,1592.28
10/5/2013,PCCL1710939,HOTEL NEW OTANI          ,795.11
10/9/2013,PCCL1711209,Park Royal Darling       ,871.43
10/9/2013,PCCL1711146,Park Royal Darling       ,816.32
10/10/2013,PCCL1711291,CARVI HOTEL              ,750.4
10/10/2013,PCCL1711089,Park Royal Darling       ,930.65
10/11/2013,PCCL1711293,CHARTERED INS OF         ,660
10/11/2013,PCCL1711296,VISA SWIFT               ,511.1
10/11/2013,PCCL1710913,Park Royal Darling       ,2948.36
10/11/2013,PCCL1711419,Park Royal Darling       ,1086.24
10/12/2013,PCCL1710958,Park Royal Darling       ,1128.26
10/15/2013,PCCL1710932,THE DORCHESTER HOTEL     ,7386.72
10/16/2013,PCCL1710933,THE DORCHESTER HOTEL     ,592
10/16/2013,PCCL1710934,THE DORCHESTER HOTEL     ,1000
10/16/2013,PCCL1710935,THE DORCHESTER HOTEL     ,1000
10/17/2013,PCCL1711030,INTERCONTINENTAL ADELAIDE,580.82
10/22/2013,PCCL1710646,VISION GAIN LTD          ,2038.8
10/23/2013,PCCL1711109,THE DUPONT HOTEL         ,610.73
10/23/2013,PCCL1711110,THE DUPONT HOTEL         ,610.73
10/23/2013,PCCL1710623,GRAND HYATT MUSCAT       ,655.2
10/23/2013,PCCL1710997,THE DUPONT HOTEL         ,610.73
10/24/2013,PCCL1711080,CIVIL SERVICE LEARNING   ,804.88
10/24/2013,PCCL1710656,GRAND HYATT MUSCAT       ,723.95
10/25/2013,PCCL1711185,LE PONT DE LA TOUR       ,742.5
10/26/2013,PCCL1711118,GES LIMITED              ,2023.34
10/28/2013,PCCL1710964,REGENT SPORE-FRONT OFC   ,611.5
01/10/2013,455003155,Hogg Robinson Group Ltd,$501.50
01/10/2013,455003156,Hogg Robinson Group Ltd,$501.50
01/10/2013,455003154,Hogg Robinson Group Ltd,$553.50
01/10/2013,455700101,Hogg Robinson Group Ltd,$697.99
02/10/2013,455320895,Hogg Robinson Group Ltd,"$1,613.85"
02/10/2013,455700099,Hogg Robinson Group Ltd,"$1,967.19"
03/10/2013,455692600,Hogg Robinson Group Ltd,$912.15
03/10/2013,455692384,Hogg Robinson Group Ltd,-$702.59
03/10/2013,455692599,Hogg Robinson Group Ltd,"$2,501.95"
03/10/2013,455692602,Hogg Robinson Group Ltd,"$2,975.15"
03/10/2013,455692604,Hogg Robinson Group Ltd,"$2,604.95"
03/10/2013,455692601,Hogg Robinson Group Ltd,"$2,501.95"
04/10/2013,455692387,Hogg Robinson Group Ltd,"-$1,123.00"
04/10/2013,456262950,Hogg Robinson Group Ltd,$798.50
04/10/2013,456261399,Hogg Robinson Group Ltd,"$3,275.27"
04/10/2013,455692616,Hogg Robinson Group Ltd,"$5,190.25"
04/10/2013,455692610,Hogg Robinson Group Ltd,"$4,217.95"
04/10/2013,455993272,Hogg Robinson Group Ltd,"$1,426.87"
04/10/2013,456261401,Hogg Robinson Group Ltd,"$2,228.90"
07/10/2013,456537662,Hogg Robinson Group Ltd,"$2,458.45"
08/10/2013,456537730,Hogg Robinson Group Ltd,"$3,299.85"
08/10/2013,456537721,Hogg Robinson Group Ltd,"$2,658.05"
08/10/2013,456537722,Hogg Robinson Group Ltd,"$2,658.05"
08/10/2013,456537436,Hogg Robinson Group Ltd,"$2,838.39"
08/10/2013,456537728,Hogg Robinson Group Ltd,"$5,124.04"
09/10/2013,457196067,Hogg Robinson Group Ltd,"$1,276.02"
09/10/2013,457196065,Hogg Robinson Group Ltd,$587.58
10/10/2013,456971306,Hogg Robinson Group Ltd,"-$2,689.69"
10/10/2013,457112268,Hogg Robinson Group Ltd,"$5,419.45"
10/10/2013,457775150,Hogg Robinson Group Ltd,-$610.15
10/10/2013,457112269,Hogg Robinson Group Ltd,"$2,993.65"
10/10/2013,457112267,Hogg Robinson Group Ltd,"$3,439.65"
10/10/2013,457112264,Hogg Robinson Group Ltd,"$4,043.85"
11/10/2013,457037603,Hogg Robinson Group Ltd,"$1,173.00"
11/10/2013,457514731,Hogg Robinson Group Ltd,"$1,157.95"
11/10/2013,457775155,Hogg Robinson Group Ltd,"$3,578.25"
11/10/2013,456937248,Hogg Robinson Group Ltd,$712.30
11/10/2013,456937249,Hogg Robinson Group Ltd,$712.30
11/10/2013,457021347,Hogg Robinson Group Ltd,"$1,178.90"
11/10/2013,457112312,Hogg Robinson Group Ltd,"$4,335.25"
11/10/2013,457112273,Hogg Robinson Group Ltd,"$4,594.25"
11/10/2013,457112271,Hogg Robinson Group Ltd,"$4,378.65"
11/10/2013,457775156,Hogg Robinson Group Ltd,"$1,543.58"
14/10/2013,458046695,Hogg Robinson Group Ltd,"$2,706.38"
14/10/2013,458046771,Hogg Robinson Group Ltd,$604.16
14/10/2013,457775073,Hogg Robinson Group Ltd,"$2,902.79"
15/10/2013,458044001,Hogg Robinson Group Ltd,"$4,011.44"
15/10/2013,458043999,Hogg Robinson Group Ltd,$875.00
15/10/2013,458044000,Hogg Robinson Group Ltd,"$2,434.05"
15/10/2013,458045726,Hogg Robinson Group Ltd,"$2,868.79"
15/10/2013,458043998,Hogg Robinson Group Ltd,"$1,271.25"
15/10/2013,458330595,Hogg Robinson Group Ltd,$979.79
16/10/2013,458325569,Hogg Robinson Group Ltd,"$1,940.15"
16/10/2013,458325572,Hogg Robinson Group Ltd,"$2,434.35"
16/10/2013,458325571,Hogg Robinson Group Ltd,"$2,943.35"
18/10/2013,459321743,Hogg Robinson Group Ltd,"$5,369.93"
18/10/2013,459321740,Hogg Robinson Group Ltd,"$3,827.71"
18/10/2013,459321744,Hogg Robinson Group Ltd,"$6,131.73"
