Recipient,Total net ODA (millions)
Afghanistan,3572.6
Vietnam,1677.1
Cote d'Ivoire,1326.6
Ethiopia,1160.7
Tanzania,1118.3
Kenya,1053.7
Congo, Dem. Rep.,1051.9
Pakistan,1006.5
India,956.2
Mozambique,939.4
South Sudan,902.9
Bangladesh,829.8
Iraq,702.9
West Bank & Gaza Strip,694.1
Brazil,685.8
Uganda,591
Morocco,567.5
Nigeria,567.3
Jordan,544.5
Ghana,538.7
Haiti,519.9
Mali,466.9
Senegal,449.6
Colombia,444.1
South Africa,432
Zimbabwe,424.7
Somalia,421.5
Zambia,412.5
Malawi,407.5
Cambodia,396.5
Burkina Faso,339.7
Lebanon,337.8
Papua New Guinea,336.4
Nepal,328.8
Syria,316.3
Sudan,297.4
Niger,268.7
Ukraine,268.2
Rwanda,268
Yemen,253.6
Tunisia,237
Mongolia,229.1
Georgia,227.5
Sri Lanka,225.9
Mexico,219.6
Myanmar,215.7
Liberia,214
Peru,212.3
Bolivia,209.7
Egypt,192.6
Kosovo,188.6
Laos,179.5
Solomon Islands,171.8
Benin,165.5
Guatemala,163.9
Cameroon,162.5
Chad,158.9
Nicaragua,157.8
Burundi,142.7
El Salvador,138.2
Cape Verde,138.2
Azerbaijan,136.2
Bosnia-Herzegovina,134.7
Timor-Leste,133
Namibia,126.8
Honduras,125.8
Sierra Leone,120.6
Dominican Republic,119.6
Madagascar,118.7
St. Helena,106.2
Mauritania,106
Tajikistan,102.7
Lesotho,101.1
Albania,100.5
Serbia,99.6
Guinea,92.5
Kyrgyz Republic,88.4
Angola,84.5
Moldova,81.8
Turkey,78.5
Ecuador,73.2
Togo,72.3
Micronesia, Fed. States,72.2
Wallis & Futuna,71.7
Chile,70.3
China,69.9
Armenia,68.4
Iran,68.3
Libya,65.4
Algeria,62.4
Vanuatu,62.1
Fiji,54.9
Mauritius,54.5
Djibouti,54.4
Samoa,54.3
Bhutan,50.8
Former Yugoslav Republic of Macedonia,49.9
Marshall Islands,49.1
Central African Rep.,46.2
Uzbekistan,44.2
Botswana,40
Tonga,40
Belarus,39.3
Gabon,38.4
Kiribati,38.4
Argentina,38.4
Swaziland,34.5
Cuba,33.3
Congo, Rep.,30.5
Korea, Dem. Rep.,25.7
Panama,25.2
Paraguay,24.1
Guinea-Bissau,23.5
Kazakhstan,23.1
Montserrat,21.3
Montenegro,20.6
Comoros,19.9
Guyana,19.8
Venezuela,19.5
Gambia,19.3
Sao Tome & Principe,18
Nauru,17.4
Costa Rica,15.3
Tuvalu,14.6
Suriname,14.4
Niue,12.3
Maldives,12.2
Tokelau,11.8
Cook Islands,11.5
Dominica,10
Eritrea,9.7
Palau,9.3
Turkmenistan,8.5
Equatorial Guinea,8.5
Malaysia,5.3
Seychelles,3.8
Uruguay,3.3
Belize,2.6
St. Kitts-Nevis,2
Antigua and Barbuda,1.1
St. Lucia,0.9
Grenada,0.7
Anguilla,0.3
St.Vincent & Grenadines,0.1
